wind_mps,wind_label,controller,peak_ct_m,rms_ct_m,effort_var,sat_pct,in5_pct,fail_flag,act_deg_factor,cmd_lag_rms,dist_rmse,dist_corr,sat_err_rms,constraint_dom_idx
5.0,5mps,L1,54.3240,25.4067,9.388521,41.6828,14.8869,1,1.0000,0.311568,NaN,NaN,NaN,NaN
5.0,5mps,PID_CASCADE,19.4019,7.9346,0.057855,0.0000,57.0281,0,1.0000,0.031990,NaN,NaN,NaN,NaN
5.0,5mps,ADRC,3.4162,1.0998,1.543464,0.0000,100.0000,0,1.0000,0.475412,14.222784,-0.037774,NaN,NaN
5.0,5mps,ACA_ADRC,3.4186,1.1005,1.542546,0.0000,100.0000,0,1.0000,0.475228,14.222782,-0.037775,0.060744,0.079906
8.0,8mps,L1,50.7118,26.2006,11.039148,49.9369,9.4724,1,1.1050,0.363484,NaN,NaN,NaN,NaN
8.0,8mps,PID_CASCADE,31.0133,14.4594,0.112064,0.0000,27.6665,1,1.1050,0.052377,NaN,NaN,NaN,NaN
8.0,8mps,ADRC,7.8478,2.4223,3.628669,0.0000,95.2192,0,1.1050,0.813791,28.328325,-0.043110,NaN,NaN
8.0,8mps,ACA_ADRC,7.8555,2.4233,3.616734,0.0000,95.2284,0,1.1050,0.811777,28.328320,-0.043113,0.683034,0.510093
10.0,10mps,L1,47.4550,25.3566,11.144396,53.9332,9.6262,1,1.1750,0.398345,NaN,NaN,NaN,NaN
10.0,10mps,PID_CASCADE,103.1485,67.0825,0.047689,0.0000,0.0000,1,1.1750,0.032788,NaN,NaN,NaN,NaN
10.0,10mps,ADRC,13.7381,2.9234,3.900869,0.0000,92.1827,0,1.1750,0.882264,28.578552,-0.043876,NaN,NaN
10.0,10mps,ACA_ADRC,13.7529,2.9271,3.887657,0.0000,92.1643,0,1.1750,0.879743,28.578537,-0.043872,0.621542,0.451711
12.0,12mps,L1,46.1938,22.4764,10.132578,42.1504,11.6444,1,1.2450,0.392331,NaN,NaN,NaN,NaN
12.0,12mps,PID_CASCADE,229.4253,139.7318,0.032143,0.0000,0.0000,1,1.2450,0.035237,NaN,NaN,NaN,NaN
12.0,12mps,ADRC,20.7950,4.8766,4.987247,0.0123,76.6590,0,1.2450,1.062708,43.821962,-0.041262,NaN,NaN
12.0,12mps,ACA_ADRC,20.8074,4.8771,4.963350,0.0031,76.5913,0,1.2450,1.058538,43.821973,-0.041267,1.487245,0.780119
15.0,15mps,L1,45.2165,17.5905,7.191586,18.3972,16.7451,1,1.3500,0.343326,NaN,NaN,NaN,NaN
15.0,15mps,PID_CASCADE,442.2090,272.5147,0.015995,0.0000,0.0000,1,1.3500,0.031434,NaN,NaN,NaN,NaN
15.0,15mps,ADRC,37.1099,8.1945,4.853597,1.7966,76.5052,0,1.3500,1.113481,43.734200,-0.047253,NaN,NaN
15.0,15mps,ACA_ADRC,37.1130,8.1963,4.832740,1.7628,76.4928,0,1.3500,1.109213,43.734209,-0.047246,1.441197,0.779262
20.0,20mps,L1,67.6723,29.1474,3.512441,36.3544,32.0628,1,1.5250,0.169007,NaN,NaN,NaN,NaN
20.0,20mps,PID_CASCADE,769.9304,461.2194,0.010786,0.0000,0.0000,1,1.5250,0.031064,NaN,NaN,NaN,NaN
20.0,20mps,ADRC,60.1979,24.2656,5.138912,30.8814,48.7925,1,1.5250,0.944690,44.110564,-0.038736,NaN,NaN
20.0,20mps,ACA_ADRC,60.1979,24.2654,5.129033,30.8137,48.7340,1,1.5250,0.941836,44.110522,-0.038733,3.279964,1.136510
