wind_mps,wind_label,controller,peak_ct_m,rms_ct_m,effort_var,sat_pct,in5_pct,fail_flag,act_deg_factor,cmd_lag_rms,sysid_gain_err,sysid_tau_err
5.0,5mps,L1,49.0147,24.0664,9.468806,39.3447,12.8319,1,1.0000,0.315705,0.000000,0.000000
5.0,5mps,PID_CASCADE,19.1149,8.0154,0.044382,0.0000,56.7513,0,1.0000,0.030384,0.000000,0.000000
5.0,5mps,ADRC_FIXED,2.9318,0.8940,3.495156,0.0000,100.0000,0,1.0000,0.888700,0.000000,0.000000
5.0,5mps,ADRC_ADAPTIVE,2.9748,0.8986,3.688636,0.0000,100.0000,0,1.0000,0.926133,0.000006,0.005036
8.0,8mps,L1,45.8696,25.0249,10.921819,50.5707,10.1923,1,1.1050,0.372320,0.000000,0.000000
8.0,8mps,PID_CASCADE,31.2684,14.9557,0.103799,0.0000,26.6728,1,1.1050,0.049775,0.000000,0.000000
8.0,8mps,ADRC_FIXED,6.0653,1.8421,5.812613,0.0000,98.8617,0,1.1050,1.263247,0.000000,0.000000
8.0,8mps,ADRC_ADAPTIVE,6.4553,1.8970,5.972198,0.0000,98.4433,0,1.1050,1.292664,0.000008,0.005033
10.0,10mps,L1,43.5825,25.4773,11.399250,55.5145,9.1032,1,1.1750,0.392973,0.000000,0.000000
10.0,10mps,PID_CASCADE,104.7958,70.6309,0.049190,0.0000,0.0000,1,1.1750,0.032577,0.000000,0.000000
10.0,10mps,ADRC_FIXED,12.2127,2.5519,6.021218,0.0000,95.3884,0,1.1750,1.366172,0.000000,0.000000
10.0,10mps,ADRC_ADAPTIVE,12.4644,2.6036,6.168075,0.0000,95.1361,0,1.1750,1.392894,0.000007,0.005031
12.0,12mps,L1,41.8785,21.4329,10.041296,40.6091,11.7828,1,1.2450,0.392732,0.000000,0.000000
12.0,12mps,PID_CASCADE,209.8204,130.7914,0.035958,0.0000,0.0000,1,1.2450,0.036599,0.000000,0.000000
12.0,12mps,ADRC_FIXED,16.1146,3.4598,6.504829,0.1661,89.3370,0,1.2450,1.515458,0.000000,0.000000
12.0,12mps,ADRC_ADAPTIVE,16.0755,3.4594,6.656677,0.1569,89.5555,0,1.2450,1.533433,0.000007,0.005029
15.0,15mps,L1,42.4978,16.0677,6.401275,16.2590,23.4733,1,1.3500,0.335281,0.000000,0.000000
15.0,15mps,PID_CASCADE,435.3065,260.8183,0.022751,0.0000,0.0000,1,1.3500,0.033556,0.000000,0.000000
15.0,15mps,ADRC_FIXED,30.7153,6.4080,6.556340,2.6857,79.3663,0,1.3500,1.596816,0.000000,0.000000
15.0,15mps,ADRC_ADAPTIVE,30.7140,6.4594,6.753023,2.4242,78.4956,0,1.3500,1.641501,0.000014,0.005030
20.0,20mps,L1,67.0600,30.7952,3.385814,39.0863,23.2549,1,1.5250,0.162312,0.000000,0.000000
20.0,20mps,PID_CASCADE,788.1427,474.6666,0.011614,0.0000,0.0000,1,1.5250,0.032217,0.000000,0.000000
20.0,20mps,ADRC_FIXED,58.5810,24.0723,5.637251,33.6410,48.3526,1,1.5250,1.294514,0.000000,0.000000
20.0,20mps,ADRC_ADAPTIVE,58.5810,24.0579,5.423359,33.8040,49.1309,1,1.5250,1.385548,0.000016,0.005028
