t,st,state,px,pz,vx,vz,th_deg,q_dps,estX,estZ,estVx,estVz,thEst_deg,uTVC,deploy,keff,thrust,legs,chute
14.011,4,BOOST,0.000,0.000,0.000,0.000,0.00,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.500,8.000,0.15,0,0
14.031,4,BOOST,0.000,0.000,0.000,0.000,0.00,0.000,0.000,-0.264,0.000,-0.004,-0.00,0.002,0.500,8.000,3.08,0,0
14.051,4,BOOST,0.000,0.000,0.000,0.000,0.00,0.000,0.000,-0.124,-0.000,0.007,-0.00,0.002,0.500,8.000,6.01,0,0
14.071,4,BOOST,0.000,0.000,0.000,0.005,-0.00,-0.064,-0.000,-0.032,-0.001,0.024,-0.00,-0.000,0.500,8.000,8.95,0,0
14.091,4,BOOST,0.000,0.001,0.001,0.067,-0.00,-0.247,-0.000,-0.020,-0.001,0.080,-0.00,0.001,0.500,8.000,11.88,0,0
14.111,4,BOOST,0.000,0.003,0.001,0.203,-0.01,-0.428,-0.000,-0.022,-0.001,0.205,-0.01,0.008,0.500,8.000,14.81,0,0
14.131,4,BOOST,0.000,0.009,0.001,0.412,-0.02,-0.610,-0.000,-0.006,0.000,0.410,-0.02,0.020,0.500,8.000,17.75,0,0
14.151,4,BOOST,0.000,0.020,0.002,0.694,-0.03,-0.791,-0.000,-0.040,0.000,0.643,-0.04,0.033,0.500,8.000,20.68,0,0
14.171,4,BOOST,0.000,0.038,0.002,1.037,-0.05,-0.974,-0.000,-0.010,0.001,0.996,-0.05,0.037,0.500,8.000,21.69,0,0
14.191,4,BOOST,0.000,0.062,0.001,1.377,-0.07,-1.160,-0.000,0.005,0.000,1.327,-0.07,0.044,0.500,8.000,21.11,0,0
14.211,4,BOOST,0.000,0.093,0.001,1.701,-0.10,-1.350,-0.000,0.062,-0.001,1.696,-0.09,0.057,0.500,8.000,20.54,0,0
14.231,4,BOOST,0.000,0.131,0.001,2.012,-0.13,-1.544,-0.000,0.102,-0.001,2.017,-0.12,0.067,0.500,8.000,19.97,0,0
14.251,4,BOOST,0.000,0.174,-0.000,2.308,-0.16,-1.744,-0.000,0.157,-0.003,2.335,-0.15,0.081,0.500,8.000,19.40,0,0
14.271,4,BOOST,0.000,0.223,-0.001,2.590,-0.20,-1.949,-0.000,0.219,-0.004,2.646,-0.19,0.095,0.500,8.000,18.83,0,0
14.291,4,BOOST,0.000,0.278,-0.002,2.857,-0.24,-2.160,-0.000,0.260,-0.005,2.888,-0.23,0.111,0.500,8.000,18.26,0,0
14.311,4,BOOST,0.000,0.337,-0.004,3.110,-0.28,-2.377,-0.000,0.329,-0.006,3.163,-0.27,0.125,0.500,8.000,17.69,0,0
14.331,4,BOOST,-0.000,0.402,-0.006,3.349,-0.33,-2.600,-0.000,0.382,-0.008,3.375,-0.32,0.147,0.500,8.000,17.11,0,0
14.351,4,BOOST,-0.000,0.472,-0.008,3.573,-0.39,-2.828,-0.001,0.449,-0.010,3.597,-0.38,0.169,0.500,8.000,16.54,0,0
14.371,4,BOOST,-0.000,0.545,-0.010,3.783,-0.45,-3.061,-0.001,0.529,-0.012,3.826,-0.44,0.190,0.500,8.000,15.97,0,0
14.391,4,BOOST,-0.001,0.623,-0.013,3.979,-0.51,-3.300,-0.001,0.596,-0.015,3.997,-0.50,0.207,0.500,8.000,15.40,0,0
14.411,4,BOOST,-0.001,0.705,-0.016,4.161,-0.58,-3.543,-0.001,0.690,-0.018,4.212,-0.57,0.231,0.500,8.000,14.83,0,0
14.431,4,BOOST,-0.001,0.790,-0.019,4.328,-0.64,-1.541,-0.002,0.783,-0.022,4.400,-0.63,0.260,0.500,8.000,14.26,0,0
14.451,4,BOOST,-0.002,0.878,-0.022,4.481,-0.68,-1.804,-0.002,0.857,-0.025,4.519,-0.67,0.232,0.500,8.000,13.69,0,0
14.471,4,BOOST,-0.002,0.969,-0.026,4.619,-0.71,-2.070,-0.003,0.939,-0.028,4.635,-0.70,0.209,0.500,8.000,13.11,0,0
14.491,4,BOOST,-0.003,1.062,-0.029,4.743,-0.76,-2.340,-0.003,1.032,-0.032,4.760,-0.75,0.224,0.500,8.000,12.54,0,0
14.511,4,BOOST,-0.003,1.159,-0.033,4.853,-0.80,-0.719,-0.004,1.112,-0.035,4.833,-0.79,0.262,0.500,8.000,12.00,0,0
14.531,4,BOOST,-0.004,1.257,-0.036,4.956,-0.79,0.864,-0.004,1.211,-0.038,4.940,-0.78,0.235,0.500,7.935,12.00,0,0
