variant,variant_idx,seed,pass,rms_post_deg,peak_post_deg,false_sat_flag,late_det_flag,mean_confidence_post,shield_fraction_post
Legacy JOINT,1,1,1,7.72437211854733,12.7589889603423,0,0,1,0.000832639467110741
Legacy JOINT,1,2,1,2.61508363536446,6.62015234732305,0,0,1,0.00333055786844296
Legacy JOINT,1,3,1,3.18261769417133,8.63935782900298,0,0,1,0.00999167360532889
Legacy JOINT,1,4,1,3.00703316246419,7.66145650388622,0,0,1,0.00666111573688593
Legacy JOINT,1,5,1,3.38279409362911,6.89822409900222,0,0,1,0.00333055786844296
Legacy JOINT,1,6,1,3.86711288469237,9.09059098849694,0,0,1,0.0124895920066611
Legacy JOINT,1,7,1,3.92441197112352,8.8483235090531,0,0,1,0.00333055786844296
Legacy JOINT,1,8,1,3.68913574228998,8.65620367254802,0,0,1,0.0124895920066611
Legacy JOINT,1,9,1,3.02485735658908,7.919789826377,0,0,1,0.00249791840133222
Legacy JOINT,1,10,1,4.64847734438717,12.8573821455503,0,0,1,0.00582847626977519
Legacy JOINT,1,11,1,5.38472285249784,9.81670223699332,1,0,1,0.00832639467110741
Legacy JOINT,1,12,1,4.42509067332608,11.3372549364908,1,0,1,0.00166527893422148
Legacy JOINT,1,13,1,2.95364775157861,6.31700370546383,1,0,1,0.0116569525395504
Legacy JOINT,1,14,1,7.12703172768026,22.2644161830603,0,0,1,0.00416319733555371
Legacy JOINT,1,15,1,4.88754695741164,14.0161281908315,1,0,1,0.000832639467110741
Legacy JOINT,1,16,1,3.37650602479826,6.80463946705143,0,0,1,0.00749375520399667
Legacy JOINT,1,17,1,3.53986781285185,7.11502797769583,0,0,1,0.00915903413821815
Legacy JOINT,1,18,1,6.15088063154924,11.7987701151025,0,0,1,0.0158201498751041
Legacy JOINT,1,19,1,5.00170508605446,17.0308241629763,0,0,1,0
Legacy JOINT,1,20,1,4.39202248391805,7.98458719634176,0,0,1,0.000832639467110741
Legacy JOINT,1,21,1,3.36352601870471,9.59466034046897,0,0,1,0.00749375520399667
Legacy JOINT,1,22,1,2.97595936645914,9.25131950599256,0,0,1,0.00499583680266445
Legacy JOINT,1,23,1,5.88044862240973,10.6889738347353,0,0,1,0.00749375520399667
Legacy JOINT,1,24,1,2.64006193644685,6.56423356791945,1,0,1,0.00166527893422148
Legacy JOINT,1,25,1,3.56656357107741,7.86834971143294,1,0,1,0.00999167360532889
Legacy JOINT,1,26,1,3.77326086708425,7.27772185857123,1,0,1,0.00666111573688593
Legacy JOINT,1,27,1,4.29307073742848,15.6825781355091,0,0,1,0
Legacy JOINT,1,28,1,5.71244638935705,12.5826052151332,1,0,1,0.00416319733555371
Legacy JOINT,1,29,1,2.93908519428279,9.44279913974523,1,0,1,0.00666111573688593
Legacy JOINT,1,30,1,7.09226463460404,12.2810064709748,1,0,1,0.00249791840133222
Safety-Cert JOINT,2,1,1,7.72035928451632,14.7074418421562,0,0,0.716443058127239,0.00749375520399667
Safety-Cert JOINT,2,2,1,4.75498279656849,13.5965454504038,0,0,0.712566451971504,0.00416319733555371
Safety-Cert JOINT,2,3,1,2.65903404182218,6.00314917689329,0,0,0.721122715106572,0.00416319733555371
Safety-Cert JOINT,2,4,1,3.23186791873904,9.68583868427326,0,0,0.714296816393981,0.00582847626977519
Safety-Cert JOINT,2,5,1,5.78426020125009,18.9204496096037,0,0,0.714427353233427,0.00166527893422148
Safety-Cert JOINT,2,6,1,3.84971687921166,8.03511529458697,0,0,0.714558326157277,0.0149875104079933
Safety-Cert JOINT,2,7,1,4.11979345107925,10.9538749615701,0,0,0.717306728979823,0.0108243130724396
Safety-Cert JOINT,2,8,1,4.40212083303189,11.5455346127133,1,0,0.711885433311522,0.00499583680266445
Safety-Cert JOINT,2,9,1,3.30989277120077,9.67880914938779,0,0,0.714353046503215,0.00499583680266445
Safety-Cert JOINT,2,10,1,5.40893855010504,16.0886636540523,0,0,0.711967580674335,0.00333055786844296
Safety-Cert JOINT,2,11,1,5.11355572913101,9.7228410982549,0,0,0.718333453112194,0.00416319733555371
Safety-Cert JOINT,2,12,1,4.52069153017848,10.7771498330703,0,0,0.722751837351788,0.0208159866777685
Safety-Cert JOINT,2,13,1,3.41721015874818,8.92893885651698,1,0,0.713629006621313,0.00333055786844296
Safety-Cert JOINT,2,14,1,4.78341457205489,9.04141105297982,0,0,0.710325621205169,0.00915903413821815
Safety-Cert JOINT,2,15,1,3.78837313442838,7.73518072888224,0,0,0.719346042004393,0.0108243130724396
Safety-Cert JOINT,2,16,1,3.7555115685473,9.73244820152018,0,0,0.710715079529102,0.00249791840133222
Safety-Cert JOINT,2,17,1,4.88107346365891,14.1956308356354,1,0,0.715854044035497,0.000832639467110741
Safety-Cert JOINT,2,18,1,6.12975823446189,12.4861223088624,0,0,0.717537509995881,0.0124895920066611
Safety-Cert JOINT,2,19,1,2.88882576189502,6.59246190500031,0,0,0.712389819572623,0.00416319733555371
Safety-Cert JOINT,2,20,1,4.00263573037251,7.92792779156854,0,0,0.714122323012026,0.00666111573688593
Safety-Cert JOINT,2,21,1,2.87410238106638,6.55077234483215,0,0,0.715057269938737,0.00749375520399667
Safety-Cert JOINT,2,22,1,2.73090336472402,6.47101593605695,0,0,0.719924569419706,0.0116569525395504
Safety-Cert JOINT,2,23,1,7.42117664912436,18.2201320091886,0,0,0.711389897615741,0.00333055786844296
Safety-Cert JOINT,2,24,1,3.17846030932802,8.11240437100241,0,0,0.714857567904267,0.0249791840133222
Safety-Cert JOINT,2,25,1,3.73690261650172,8.56739615336116,1,0,0.707281084920157,0.000832639467110741
Safety-Cert JOINT,2,26,1,4.01307876551377,8.52217617924561,0,0,0.715532261695531,0.00666111573688593
Safety-Cert JOINT,2,27,1,3.50417593485294,11.5426021705422,0,0,0.710601078838068,0.00915903413821815
Safety-Cert JOINT,2,28,1,5.22828597279028,11.3165068299851,0,0,0.714650942793824,0.0133222314737719
Safety-Cert JOINT,2,29,1,3.66970063589225,12.7629038958932,1,0,0.711344321829322,0.00499583680266445
Safety-Cert JOINT,2,30,1,7.30305639379031,12.3001136820278,0,0,0.716112236085021,0.00416319733555371
