iter,sweep_param,gate_disturb_gain,conf_min,conf_resid_gain,conf_floor_blend,safety_cmd_slew_frac,theta_guard_rad_deg,pass_frac,rms_post_deg,peak_post_deg,false_sat_frac,late_det_frac,conf_mean_post,shield_frac_post,score,viable
1,legacy,0,1,0,1,10,90,1,4.31524590024624,10.2217912026795,0.2,0,1,0.00603663613655287,199.321215110415,1
2,start_safety_cert,0.1,0.75,1,0.85,4,80,1,4.60226880512086,11.0661871365029,0.55,0,0.755700532857874,0.0344296419650291,153.588431648333,1
3,gate_disturb_gain,0,0.75,1,0.85,4,80,1,4.6238015302689,11.215521672861,0.45,0,0.755021527219796,0.0337635303913405,165.542547022969,1
4,gate_disturb_gain,0.05,0.75,1,0.85,4,80,1,4.71811979069369,12.0552892857672,0.5,0,0.756144329206075,0.0350541215653622,159.357059396563,1
5,gate_disturb_gain,0.1,0.75,1,0.85,4,80,1,4.60226880512086,11.0661871365029,0.55,0,0.755700532857874,0.0344296419650291,153.588431648333,1
6,gate_disturb_gain,0.15,0.75,1,0.85,4,80,1,4.43679632101124,10.2168634532643,0.5,0,0.75533281968184,0.03488759367194,159.911300444784,1
7,gate_disturb_gain,0.2,0.75,1,0.85,4,80,1,4.38326507296798,10.3611759725656,0.5,0,0.755907112923975,0.0345545378850958,160.027918906071,1
8,conf_min,0,0.7,1,0.85,4,80,1,4.29726350782696,10.2441225234354,0.4,0,0.71479278274997,0.0343880099916736,171.707882297412,1
9,conf_min,0,0.8,1,0.85,4,80,1,4.25718747986886,10.454831327731,0.45,0,0.801197470755674,0.0326810990840966,166.838545896658,1
10,conf_min,0,0.9,1,0.85,4,80,1,4.45870179967635,10.8850712952072,0.6,0,0.900000587723693,0.0316402997502082,149.62948105533,1
11,conf_min,0,1,1,0.85,4,80,0.95,116.801630796246,177.275337534705,0.5,0,1,0.0802664446294754,-573.245393149527,0
12,conf_resid_gain,0,0.7,0,0.85,4,80,0.95,116.801630796246,177.275337534705,0.5,0,0.923679189491478,0.0802664446294754,-574.161242875629,0
13,conf_resid_gain,0,0.7,0.5,0.85,4,80,1,4.55904818898415,11.4088262752525,0.5,0,0.766019648917374,0.0380516236469609,159.769726419864,1
14,conf_resid_gain,0,0.7,1,0.85,4,80,1,4.29726350782696,10.2441225234354,0.4,0,0.71479278274997,0.0343880099916736,171.707882297412,1
15,conf_resid_gain,0,0.7,1.5,0.85,4,80,1,4.47633691312005,10.0654982712458,0.4,0,0.703042277294654,0.0304746044962531,171.240036665326,1
16,conf_floor_blend,0,0.7,1,0.8,4,80,1,4.26339309294201,10.1693252202392,0.3,0,0.718280361236898,0.0359283930058285,183.805151004912,1
17,conf_floor_blend,0,0.7,1,0.9,4,80,0.95,5.50061607901973,13.5747907412068,0.45,0,0.7189717700142,0.0571606994171524,-347.830856513206,0
18,conf_floor_blend,0,0.7,1,1,4,80,1,4.05236188414563,9.55579664299238,0.4,0,0.719127816669187,0.0315986677768526,172.272020689524,1
19,safety_cmd_slew_frac,0,0.7,1,0.8,3,80,0.9,256.433028066129,452.740094549893,0.8,0,0.722809090669206,0.191465445462115,-903.724070607924,0
20,safety_cmd_slew_frac,0,0.7,1,0.8,4,80,1,4.26339309294201,10.1693252202392,0.3,0,0.718280361236898,0.0359283930058285,183.805151004912,1
21,safety_cmd_slew_frac,0,0.7,1,0.8,5,80,1,4.31909294092749,10.5114775203796,0.35,0,0.714264107979316,0.0165278934221482,177.80076026652,1
22,safety_cmd_slew_frac,0,0.7,1,0.8,6,80,1,4.35105004773933,10.2729289774438,0.3,0,0.714948012837631,0.0138218151540383,183.766701537341,1
23,safety_cmd_slew_frac,0,0.7,1,0.8,8,80,1,4.42610083055006,10.8177767523966,0.15,0,0.715196612344944,0.00686927560366361,201.67520348221,1
24,safety_cmd_slew_frac,0,0.7,1,0.8,10,80,1,4.38984004849688,10.6791531666624,0.2,0,0.714797469257536,0.00549542048293089,195.753926170233,1
25,theta_guard_rad,0,0.7,1,0.8,8,75,1,4.42610083055006,10.8177767523966,0.15,0,0.715196612344944,0.00686927560366361,201.67520348221,1
26,theta_guard_rad,0,0.7,1,0.8,8,80,1,4.42610083055006,10.8177767523966,0.15,0,0.715196612344944,0.00686927560366361,201.67520348221,1
27,theta_guard_rad,0,0.7,1,0.8,8,85,1,4.42610083055006,10.8177767523966,0.15,0,0.715196612344944,0.00686927560366361,201.67520348221,1
28,theta_guard_rad,0,0.7,1,0.8,8,90,1,4.42610083055006,10.8177767523966,0.15,0,0.715196612344944,0.00686927560366361,201.67520348221,1
