scenario_idx,ctrl_idx,disturb_amp,seed,rms_post_deg,peak_post_deg
1,1,0.5,1,6.79216162061603,10.0377099485106
1,1,0.5,2,0.447458980232695,1.21066485486929
1,1,0.5,3,0.564182361985579,1.15744025223477
1,1,0.5,4,0.454027704265622,0.852509630459671
1,1,0.5,5,2.4221616588257,4.70770557885392
1,1,0.5,6,2.52663851500495,3.36904582555428
1,1,0.5,7,3.03908103020165,4.6345560361796
1,1,0.5,8,3.01432806902256,4.54465804617246
1,1,1,1,29.1542967306134,85.3536659937529
1,1,1,2,136.875792055222,368.928003461013
1,1,1,3,74.8180437430639,267.549146054084
1,1,1,4,1.49912321740677,10.566634022371
1,1,1,5,3.1406955989408,15.2569127419351
1,1,1,6,12.421394254093,46.7469240396139
1,1,1,7,126.952883802722,298.109253432675
1,1,1,8,78.5156857818388,290.402693417868
1,1,1.5,1,14.4907828535405,72.8414100507442
1,1,1.5,2,66.924444906633,286.610299760811
1,1,1.5,3,147.376428687122,401.993616047833
1,1,1.5,4,18.2497398197256,61.5282237233709
1,1,1.5,5,131.975037190889,492.731176992486
1,1,1.5,6,258.15047744878,769.712914677221
1,1,1.5,7,145.114365597818,461.006358260765
1,1,1.5,8,247.920697367061,546.141374490746
1,1,2,1,101.620876197129,358.553400408137
1,1,2,2,186.812216164445,595.519411955318
1,1,2,3,174.093780324224,576.874173678187
1,1,2,4,72.8693457831282,197.543979299646
1,1,2,5,187.353375649541,428.344350499365
1,1,2,6,317.097008791264,841.721368630892
1,1,2,7,292.192796847375,623.059036372827
1,1,2,8,213.556884405408,691.030161998902
1,1,2.5,1,263.035864713501,876.365423171003
1,1,2.5,2,275.304731304806,902.824795222293
1,1,2.5,3,307.638211282299,675.01783694462
1,1,2.5,4,326.004025386226,928.821408625632
1,1,2.5,5,301.963337498889,901.742731089545
1,1,2.5,6,267.300805184207,566.624076697112
1,1,2.5,7,243.290507545408,513.945769620667
1,1,2.5,8,273.228703570421,889.640563365057
1,1,3,1,327.545948065952,685.188371176416
1,1,3,2,368.559061840529,770.673243923508
1,1,3,3,321.075514708981,663.08522659673
1,1,3,4,356.219322115977,733.535346050993
1,1,3,5,346.468068265932,723.912494996944
1,1,3,6,382.084239977116,950.119063671255
1,1,3,7,372.234683831951,804.121505830023
1,1,3,8,365.606461845712,773.976938606773
1,1,3.5,1,371.682477176742,955.830143883573
1,1,3.5,2,386.104704493421,1008.85889969211
1,1,3.5,3,380.882571587281,882.288646675527
1,1,3.5,4,364.651692481867,815.239291758236
1,1,3.5,5,373.165696572266,1074.80243160912
1,1,3.5,6,293.635671051016,860.401236150135
1,1,3.5,7,357.690697581962,1082.68762610896
1,1,3.5,8,355.661389463661,1101.53514986013
1,1,4,1,295.769562384478,897.189482647821
1,1,4,2,304.601684738712,951.137789869838
1,1,4,3,329.67268236917,1044.67614058286
1,1,4,4,324.677240928512,1034.74524410159
1,1,4,5,293.573010779802,773.368858319567
1,1,4,6,387.406352197145,775.159359190403
1,1,4,7,283.688708610139,730.435041305052
1,1,4,8,289.115917414119,582.53539375219
1,2,0.5,1,202.250788369438,664.979939702441
1,2,0.5,2,109.706151496085,394.853164823641
1,2,0.5,3,75.8776959023968,202.524465448872
1,2,0.5,4,193.277188823556,672.557412312061
1,2,0.5,5,124.723629739029,299.698342499629
1,2,0.5,6,107.700719870947,403.484624031706
1,2,0.5,7,64.7949663715304,242.117134615594
1,2,0.5,8,207.850925913031,568.325881721429
1,2,1,1,177.066605111818,402.197707238597
1,2,1,2,291.06341130435,621.134477056902
1,2,1,3,259.783537321846,563.60770153557
1,2,1,4,316.127832683323,700.703109649773
1,2,1,5,195.954377326136,431.807323570187
1,2,1,6,320.168752983161,878.877932691417
1,2,1,7,295.256412163248,639.845283919645
1,2,1,8,296.417408066413,920.389139513158
1,2,1.5,1,251.981250768761,830.629697338508
1,2,1.5,2,244.675269483306,750.580709585478
1,2,1.5,3,275.550531818438,592.053897307239
1,2,1.5,4,335.283451372445,901.862607076674
1,2,1.5,5,273.572570799431,576.70480640203
1,2,1.5,6,306.21587141937,638.97936024065
1,2,1.5,7,245.035278957413,761.561952851998
1,2,1.5,8,305.158632634816,634.284596426133
1,2,2,1,236.755985860975,740.507574567616
1,2,2,2,358.929979521289,736.831956505766
1,2,2,3,225.783300414888,592.112451637433
1,2,2,4,245.720794265244,512.248571857614
1,2,2,5,305.231629950357,634.147512883381
1,2,2,6,339.340079905773,715.712706810916
1,2,2,7,265.720017261986,876.898335991539
1,2,2,8,238.13899959319,565.299992757638
1,2,2.5,1,325.288189408239,684.957182875072
1,2,2.5,2,385.294162003616,908.389835990511
1,2,2.5,3,336.523257905176,699.929292375984
1,2,2.5,4,280.004785905535,635.001987520996
1,2,2.5,5,370.24146036799,875.5342820128
1,2,2.5,6,380.534930368878,896.71802768656
1,2,2.5,7,324.034959474743,801.384546617613
1,2,2.5,8,353.053060348701,737.442297833531
1,2,3,1,371.770666014942,944.744031369271
1,2,3,2,347.313359326956,1086.63215203003
1,2,3,3,328.36250641915,684.091153698628
1,2,3,4,364.731874927111,753.866886777302
1,2,3,5,343.974254046103,1078.86086248039
1,2,3,6,288.383945722098,789.153868079426
1,2,3,7,305.110437630343,633.351505416921
1,2,3,8,351.455829480624,1099.83245244515
1,2,3.5,1,345.097038042647,1064.90564591767
1,2,3.5,2,366.671954110804,1092.53985773398
1,2,3.5,3,389.735811040545,948.2798161408
1,2,3.5,4,358.613106533291,772.608716135809
1,2,3.5,5,349.804793120742,1089.49907109804
1,2,3.5,6,313.818765084615,638.706394071966
1,2,3.5,7,379.616172123593,808.146603391962
1,2,3.5,8,338.742722008652,691.982122174621
1,2,4,1,309.37313897464,964.833275972944
1,2,4,2,391.145983723085,822.380906539644
1,2,4,3,295.210390327785,634.740439257435
1,2,4,4,289.6227039217,863.376243881855
1,2,4,5,302.231657513756,918.208771799162
1,2,4,6,412.323642255397,816.377173478279
1,2,4,7,381.21778896416,1070.70826845163
1,2,4,8,398.04854137558,976.167456344024
1,3,0.5,1,6.73336434315438,10.1014135111739
1,3,0.5,2,0.729805562788391,2.86160983288881
1,3,0.5,3,0.624475316815846,1.32009955894398
1,3,0.5,4,0.538240141989581,1.64161386742038
1,3,0.5,5,2.50644387953005,5.24524235666285
1,3,0.5,6,2.51656543657716,3.48372641199539
1,3,0.5,7,3.06398060433949,4.58332234463266
1,3,0.5,8,3.05303521581194,4.54858120352109
1,3,1,1,7.09915560857642,10.9904734378506
1,3,1,2,0.939966677332885,3.14541570624744
1,3,1,3,1.06550587412557,3.13940609348948
1,3,1,4,0.746343805387841,2.84211358974287
1,3,1,5,2.57922875227311,7.18659384657172
1,3,1,6,2.87140801827,5.63408256128716
1,3,1,7,3.18307391181728,6.94663271287649
1,3,1,8,3.3312125951988,6.7309919468761
1,3,1.5,1,6.6271636296454,11.1482230045921
1,3,1.5,2,1.43694229961675,3.84439357293662
1,3,1.5,3,1.52593658628831,4.30186944107898
1,3,1.5,4,1.54084404548935,4.77705142959697
1,3,1.5,5,2.88835493113592,6.6344661619299
1,3,1.5,6,3.53987050874764,7.24921644004458
1,3,1.5,7,3.46515532514435,7.14683074500779
1,3,1.5,8,3.3251870227178,6.67988605499076
1,3,2,1,7.14082811481497,12.2384991123682
1,3,2,2,1.93498925460869,6.95854266681997
1,3,2,3,2.21483526979589,7.78766626576179
1,3,2,4,1.64160852554403,4.23981339551647
1,3,2,5,2.93626926921806,6.69352269200623
1,3,2,6,3.65001839096006,8.76558702973116
1,3,2,7,3.76353409284365,7.8907128616962
1,3,2,8,3.06718009464434,6.10943734033557
1,3,2.5,1,7.133998290156,11.990946910743
1,3,2.5,2,2.45557673724812,7.195317723285
1,3,2.5,3,2.28577738050566,5.88785517270515
1,3,2.5,4,2.68754522176718,7.86141101963222
1,3,2.5,5,3.01785440373581,6.9622030253569
1,3,2.5,6,3.56190644551562,11.2614848892466
1,3,2.5,7,3.67527588866599,7.03252645463359
1,3,2.5,8,3.45739776002885,8.50622617741738
1,3,3,1,7.08705191127659,12.2789015959812
1,3,3,2,3.49917979194975,11.2592094626869
1,3,3,3,2.33523808333906,5.77516535824861
1,3,3,4,2.8327139965972,9.01178293832706
1,3,3,5,3.67524707253253,10.2764049954159
1,3,3,6,3.38625720165262,10.0943011952683
1,3,3,7,4.58493640713779,13.9566231596448
1,3,3,8,4.17651635613339,10.9067220160125
1,3,3.5,1,7.6183437976166,14.6991734656175
1,3,3.5,2,3.74014887728829,11.6808549489276
1,3,3.5,3,3.21073823909747,11.2408431635257
1,3,3.5,4,2.7059893732479,6.30683488024454
1,3,3.5,5,3.68433325819977,8.57907896285905
1,3,3.5,6,3.69870546572346,11.2853847156837
1,3,3.5,7,3.96261135436286,9.93942262416003
1,3,3.5,8,3.83407796754821,8.31075353781751
1,3,4,1,7.39652793721391,13.1232625664652
1,3,4,2,3.33263293418148,7.93423225460452
1,3,4,3,4.54355392348432,16.3324010608698
1,3,4,4,3.34810771971337,8.91355922501802
1,3,4,5,4.03877953095598,8.80523314300638
1,3,4,6,4.11907822692862,10.008211605692
