slew_scale_post,slew_drop_pct,ctrl_idx,mean_rms_deg,std_rms_deg,controller
0.9,10,1,2.42712153635752,2.09084525658014,Fixed LQR
0.9,10,2,2.40312892231808,2.10083518763653,keff-only
0.9,10,3,2.42712153635752,2.09084525658014,slew-aware
0.9,10,4,2.41217538440819,2.09913350362223,Joint Adaptive
0.8,20,1,2.42712153635752,2.09084525658014,Fixed LQR
0.8,20,2,2.39950902325764,2.10324330047275,keff-only
0.8,20,3,2.42712153635752,2.09084525658014,slew-aware
0.8,20,4,2.41217538440819,2.09913350362223,Joint Adaptive
0.7,30,1,2.42712153635752,2.09084525658014,Fixed LQR
0.7,30,2,2.40528167630985,2.10659301348746,keff-only
0.7,30,3,2.42712153635752,2.09084525658014,slew-aware
0.7,30,4,2.41199109444549,2.09912317094929,Joint Adaptive
0.6,40,1,2.42712153635752,2.09084525658014,Fixed LQR
0.6,40,2,2.40471637409255,2.09927517418527,keff-only
0.6,40,3,2.42712153635752,2.09084525658014,slew-aware
0.6,40,4,2.41051675087892,2.09886848842999,Joint Adaptive
0.5,50,1,2.4275177680628,2.09080995301328,Fixed LQR
0.5,50,2,2.42100101723861,2.09038457932232,keff-only
0.5,50,3,2.4275177680628,2.09080995301328,slew-aware
0.5,50,4,2.41163456988065,2.09832427674152,Joint Adaptive
