Comment,Designator,Footprint,LCSC
100k,"R58,R65,R67",R_0603_1608Metric,
100nF,"C11,C12,C13,C14,C15,C3,C33,C4",C_0603_1608Metric,
100uF 16V,C39,CP_Elec_6.3x7.7,
10k,"R23,R37,R41,R42,R43,R50,R51,R52,R53,R54,R56,R57,R66,R68,R69,R70,R80,R81",R_0603_1608Metric,
10uF,C44,C_0805_2012Metric,
150141M173100,LED1,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,
1uF,"C45,C46",C_0603_1608Metric,
220uF 25V 8x10,C10,CP_Elec_8x10,C165536
22uF 16V,"C2,C5,C6,C7,C8,C9",C_1206_3216Metric,
330,"R62,R63",R_0603_1608Metric,
390,"R38,R39",R_0603_1608Metric,
4.7k,"R55,R60,R61",R_0603_1608Metric,
4.7uH PNLS6045-4R7M,L2,L_Bourns_SRN6045TA,C2849535
470,R64,R_0603_1608Metric,
470uF 10V 6.3x7.7,C43,CP_Elec_6.3x7.7,C116423
47k,R59,R_0603_1608Metric,
54.9k,R79,R_0603_1608Metric,
6.8uH SWPA6045S6R8MT,L1,L_Bourns_SRN6045TA,C57254
620,R40,R_0603_1608Metric,
AON6403,"Q20,Q21",AON6403_DFN5x6 (DFN-8 5x6),C2760089
AP2112K-3.3,U8,SOT-23-5,
AP63205WU-7,U2,TSOT-23-6,
BM12B-GHS-TBT-LF-SN,J_SENSOR1,JST_GH_BM12B-GHS-TBT_1x12-1MP_P1.25mm_Vertical,C2983891
CSD17301Q5A,"Q16,Q17,Q18,Q19",TI_SON5x6_Q5A (SON 5x6),C129940
DSWB01LHGET,"SW1,SW2",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,
IRLML6344,Q22,SOT-23,
LED0805-BLUE,LED4,LED_0805_2012Metric,
LED0805-GREEN,LED2,LED_0805_2012Metric,
LED0805-YELLOW,LED3,LED_0805_2012Metric,
Molex Micro-Fit 3.0 43045-0212 2P 3.0mm vertical,"P1O,P2O,P3O,P4O",Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,C22383211
Pin Header 1x3 2.54mm male vertical,"JA1,JB1,JC1,JD1,JX1,JY1,JZ1",PinHeader_1x03_P2.54mm_Vertical,C49257
Red LED 0805,"P1,P2,P3,P4",LED_0805_2012Metric,C84256
SS14,"D1,D4",D_SMA,C2480
TPS565208,U3,SOT-23-6,
TS665CJ,BUTTON1,SW_PUSH_6mm,
QMB-09B-03 passive buzzer 9mm THT,BUZZER,Buzzer_D9.0mm_P4.00mm,C96256
