Designator,Mid X,Mid Y,Layer,Rotation
BUTTON1,156.1240,-92.1120,Top,0
BUZZER,169.1100,-77.5430,Top,0
C10,176.8250,-48.8410,Top,0
C11,177.0150,-59.3820,Bottom,0
C12,177.0150,-61.0330,Bottom,0
C13,177.0150,-57.7310,Bottom,0
C14,169.3320,-85.0360,Bottom,180
C15,160.0610,-50.3650,Top,270
C2,163.9100,-62.4780,Top,0
C3,147.4330,-65.9780,Top,90
C33,177.1930,-68.0180,Top,0
C39,178.8570,-76.2730,Top,180
C4,166.7920,-65.3510,Top,90
C43,127.4550,-76.2730,Top,0
C44,122.7230,-51.3810,Top,90
C45,147.2340,-59.5090,Top,270
C46,154.0920,-59.3820,Top,0
C5,157.0130,-64.8430,Top,90
C6,159.9340,-64.8430,Top,90
C7,176.0630,-64.8430,Top,90
C8,178.8570,-64.8430,Top,90
C9,144.5330,-62.4300,Top,0
D1,182.0320,-64.8430,Top,90
D4,169.2370,-74.4950,Bottom,180
JA1,145.7100,-79.5750,Top,90
JB1,149.5200,-79.5750,Top,90
JC1,153.3300,-79.5750,Top,90
JD1,157.1400,-79.5750,Top,90
JX1,134.2800,-79.5750,Top,90
JY1,138.0900,-79.5750,Top,90
JZ1,141.9000,-79.5750,Top,90
J_SENSOR1,134.0260,-50.1110,Top,180
L1,151.9330,-65.4780,Top,0
L2,171.1100,-65.4780,Top,0
LED1,153.2030,-95.5770,Top,180
LED2,160.0610,-84.5280,Top,90
LED3,163.1090,-84.5280,Top,90
LED4,166.1570,-84.5280,Top,90
P1,136.8200,-84.5580,Top,90
P1O,166.7920,-43.5860,Top,0
P2,139.8680,-84.5280,Top,90
P2O,157.3940,-43.5860,Top,0
P3,143.0430,-84.5280,Top,90
P3O,147.9960,-43.5860,Top,0
P4,146.0910,-84.5280,Top,90
P4O,138.5980,-43.5860,Top,0
Q16,166.7920,-48.4670,Bottom,90
Q17,157.3940,-48.4670,Bottom,90
Q18,138.5980,-48.4670,Bottom,90
Q19,147.9960,-48.4670,Bottom,90
Q20,179.4920,-76.3580,Bottom,270
Q21,166.9610,-49.9840,Top,0
Q22,174.6660,-74.6220,Bottom,90
R23,152.9490,-85.1630,Top,0
R37,136.8200,-84.5280,Bottom,90
R38,159.0450,-58.4930,Bottom,270
R39,161.5850,-58.4930,Bottom,270
R40,164.1250,-58.4930,Bottom,270
R41,139.8680,-84.5280,Bottom,90
R42,146.0910,-84.5280,Bottom,90
R43,143.0430,-84.5280,Bottom,90
R50,156.5050,-58.4930,Bottom,270
R51,153.9650,-58.4930,Bottom,270
R52,148.8850,-58.4930,Bottom,270
R53,151.4250,-58.4930,Bottom,270
R54,170.6650,-59.3820,Bottom,0
R55,173.8400,-59.3820,Bottom,0
R56,170.6650,-61.0330,Bottom,0
R57,173.8400,-61.0330,Bottom,0
R58,170.6650,-57.7310,Bottom,0
R59,173.8400,-57.7310,Bottom,0
R60,163.1090,-74.2410,Bottom,90
R61,164.7600,-74.2410,Bottom,90
R62,160.0610,-84.5280,Bottom,90
R63,163.1090,-84.5280,Bottom,90
R64,166.1570,-84.5280,Bottom,90
R65,169.3320,-86.6360,Bottom,180
R66,169.3320,-83.4360,Bottom,180
R67,161.7120,-50.3650,Top,270
R68,158.4100,-50.3650,Top,90
R69,174.6660,-77.4160,Bottom,180
R70,147.6150,-52.5240,Top,0
R79,155.9970,-61.0330,Top,0
R80,159.5530,-61.0330,Top,0
R81,147.6150,-50.8730,Top,0
SW1,166.7920,-91.1320,Top,270
SW2,146.5990,-91.1320,Top,270
U2,144.5330,-65.4780,Top,90
U3,163.6170,-65.4780,Top,0
U8,150.4090,-60.2710,Top,180
