Time(ms),Altitude(m),VertVel(m/s),GyroX,GyroY,GyroZ,AngVelX,AngVelY,AccelX,AccelY,AccelZ,ServoX,ServoY
38608,0.01,0.06,-0.85,-3.35,-13.24,-0.10,-0.05,-0.08,-0.41,8.73,-0.29,-1.33
38660,0.01,0.05,-1.51,-2.31,-13.24,0.16,0.17,-0.06,-0.45,8.71,-0.75,-0.95
38711,0.03,0.09,-1.96,-1.63,-13.24,-0.28,-0.35,-0.16,-0.51,8.69,-0.87,-0.69
38763,0.03,0.08,-2.41,-0.99,-13.23,0.33,-0.15,0.23,-0.32,9.45,-0.66,-0.17
38815,0.04,0.12,-2.64,-0.71,-13.23,0.21,-0.10,0.06,-0.23,8.54,-1.02,-0.27
38866,0.03,0.03,-2.78,-0.51,-13.22,-0.07,-0.17,-0.40,-0.60,8.59,-1.17,-0.46
38918,0.03,0.02,-2.82,-0.29,-13.25,-0.33,-1.46,0.10,-0.61,9.25,-1.31,-0.49
38970,0.04,0.08,-2.77,-0.44,-13.23,2.60,-2.24,0.05,0.12,8.76,-1.18,-1.05
39021,0.07,0.17,-1.48,-1.52,-13.19,21.29,-25.83,-1.20,-0.05,16.24,5.00,-5.00
39073,0.07,0.13,-0.05,-2.59,-13.03,40.03,-34.48,0.50,-3.53,19.62,5.00,-5.00
39124,0.08,0.17,0.28,-2.61,-13.01,24.84,-10.82,0.32,-1.22,19.62,5.00,-5.00
39176,0.14,0.36,-0.98,-3.86,-13.31,-1.18,20.03,0.11,-5.90,19.62,-0.17,5.00
39227,0.14,0.29,-2.57,-3.57,-13.43,-15.22,11.58,-0.63,-2.34,19.62,-5.00,3.29
39279,0.17,0.34,-1.74,-3.26,-13.27,28.33,8.42,-1.60,-0.85,19.62,5.00,2.63
39331,0.26,0.61,-0.03,-2.70,-12.84,51.47,13.23,-0.52,0.18,19.62,5.00,4.04
39382,0.33,0.77,-0.56,-2.02,-12.55,10.40,16.08,-0.97,-1.92,19.62,5.00,5.00
39434,0.41,0.90,-1.76,-1.52,-12.44,-7.39,16.57,-0.72,0.18,19.62,-4.55,5.00
39485,0.61,1.52,-2.22,-1.05,-12.57,2.28,21.74,-0.93,-0.76,19.62,-0.13,5.00
39537,0.73,1.66,-1.89,-0.65,-12.90,16.53,25.77,-1.09,-0.71,19.62,5.00,5.00
39589,0.86,1.84,-1.06,-0.49,-13.41,30.13,20.04,-1.24,-0.93,19.62,5.00,5.00
39640,1.16,2.67,-0.57,-0.76,-14.15,28.14,12.48,-1.79,-1.33,19.62,5.00,4.78
39692,1.34,2.81,-0.06,-0.90,-15.15,36.55,13.35,-1.33,-1.69,19.62,5.00,4.71
39743,1.72,3.73,-0.04,-0.76,-16.41,28.25,20.18,-0.65,-0.58,19.62,5.00,5.00
39795,1.96,3.93,-0.01,-0.52,-18.09,36.04,26.08,-1.11,-1.97,19.62,5.00,5.00
39847,2.24,4.21,0.50,-0.55,-20.06,50.00,21.67,-1.30,-0.65,19.62,5.00,5.00
