Time(ms),DelayMS,SlewDPS,Altitude(m),VertVel(m/s),GyroX,GyroY,GyroZ,AngVelX,AngVelY,AccelX,AccelY,AccelZ,ServoX,ServoY,Saturated,ComputeTime_us
41746,0,0,0.03,0.12,-1.98,1.65,-46.81,-0.04,0.04,0.28,-0.37,8.78,0.00,0.00,0,691
41797,0,0,0.01,0.03,-1.97,1.64,-46.87,-0.18,0.18,0.31,-0.34,8.78,0.00,0.00,0,690
41847,0,0,0.04,0.15,-1.97,1.64,-46.93,-0.14,-0.04,0.32,-0.29,8.81,0.00,0.00,0,691
41897,0,0,0.06,0.17,-1.97,1.65,-46.99,0.11,-0.46,0.50,-0.39,8.69,0.00,0.00,0,690
41947,0,0,0.06,0.14,-1.96,1.65,-47.05,0.27,0.53,0.17,-0.17,8.68,0.00,0.00,0,691
41997,0,0,0.06,0.11,-1.96,1.65,-47.10,-0.73,0.32,0.45,-0.38,8.94,0.00,0.00,0,691
42047,0,0,0.06,0.09,-1.97,1.65,-47.16,0.20,0.17,0.24,0.11,8.73,0.00,0.00,0,691
42096,0,0,0.04,0.01,-2.00,1.67,-47.21,-1.65,0.28,-0.07,-0.44,8.68,0.00,0.00,0,691
42146,0,0,0.06,0.07,-2.06,1.71,-47.25,-0.91,0.67,0.09,-0.16,8.88,0.00,0.00,0,690
42197,0,0,0.07,0.11,-2.08,1.69,-47.30,-1.31,0.61,0.27,-0.43,13.46,0.00,0.00,0,690
42247,0,0,0.06,0.03,-2.25,1.61,-47.35,-4.93,-1.82,0.48,-0.58,18.34,0.00,0.00,0,690
42296,0,0,0.10,0.20,-2.68,1.67,-47.29,-12.44,4.57,0.75,-0.70,19.62,0.00,0.00,0,690
42347,0,0,0.10,0.16,-3.44,2.00,-47.12,-16.84,11.50,-1.84,-6.91,19.62,0.00,0.00,0,690
42397,0,0,0.15,0.30,-4.20,2.61,-46.80,-11.16,18.84,1.13,0.70,19.62,0.00,0.00,0,691
42447,0,0,0.23,0.60,-4.66,3.34,-46.41,-6.82,14.96,0.42,0.04,19.62,0.00,0.00,0,691
42496,0,0,0.25,0.53,-4.85,4.09,-45.95,-4.03,14.36,0.05,-0.23,19.62,0.00,0.00,0,690
42547,0,0,0.29,0.60,-5.25,5.09,-45.41,-10.99,23.81,0.25,-0.58,19.62,0.00,0.00,0,691
42597,0,0,0.44,1.06,-5.85,6.35,-44.75,-14.12,25.28,-0.11,-0.38,18.83,0.00,0.00,0,691
42647,0,0,0.48,1.03,-6.55,7.67,-43.99,-14.85,24.79,-0.28,-0.03,17.74,0.00,0.00,0,691
42697,0,0,0.53,1.00,-7.30,8.68,-43.26,-15.34,16.85,-0.18,0.01,17.17,0.00,0.00,0,691
42747,0,0,0.63,1.21,-8.01,9.39,-42.58,-12.75,13.83,-0.06,-0.26,18.07,0.00,0.00,0,690
42796,0,0,0.78,1.56,-8.69,10.10,-41.87,-12.82,15.23,-0.01,0.09,16.25,0.00,0.00,0,691
42846,0,0,0.86,1.59,-9.35,10.93,-41.15,-13.85,17.94,0.12,0.06,15.99,0.00,0.00,0,690
42896,0,0,0.98,1.74,-10.12,11.87,-40.40,-17.06,18.33,-0.11,0.10,15.96,0.00,0.00,0,691
42947,0,0,1.29,2.62,-11.08,12.77,-39.64,-20.41,16.53,-0.19,-0.04,15.74,0.00,0.00,0,691
42997,0,0,1.42,2.63,-12.17,13.47,-38.96,-22.08,11.25,-0.21,0.29,15.21,0.00,0.00,0,690
43047,0,0,1.54,2.57,-13.36,13.94,-38.30,-24.61,7.37,-0.12,0.08,14.95,0.00,0.00,0,691
43097,0,0,1.83,3.24,-14.60,14.35,-37.65,-23.75,8.35,0.07,0.36,15.07,0.00,0.00,0,690
43147,0,0,1.98,3.18,-15.73,14.80,-37.04,-21.50,9.47,0.08,0.31,15.06,0.00,0.00,0,690
43197,0,0,2.15,3.24,-16.73,15.31,-36.52,-19.83,10.43,-0.04,0.14,14.84,0.00,0.00,0,690
43247,0,0,2.52,4.05,-17.67,15.76,-36.11,-20.14,8.33,-0.20,0.02,14.27,0.00,0.00,0,690
