commanded_deg,actual_deg_est,slew_deg_per_s,slew_raw_counts_per_s,transition_avg_slew_deg_s,transition_net_slew_deg_s,rolling_up_net_slew_deg_s,rolling_down_net_slew_deg_s,endpoint_util_pct,fb_x_raw
70.000,70.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,512
110.000,72.500,250.000,500.000,250.000,250.000,0.000,0.000,0.00,545
110.000,82.000,200.000,400.000,225.000,475.000,0.000,0.000,0.00,628
110.000,95.000,180.000,360.000,200.000,500.000,0.000,0.000,0.00,742
110.000,108.000,150.000,300.000,180.000,400.000,0.000,0.000,0.00,855
110.000,110.000,80.000,160.000,170.000,200.000,200.000,0.000,100.00,872
70.000,107.500,-250.000,-500.000,250.000,250.000,200.000,0.000,100.00,850
70.000,98.000,-200.000,-400.000,225.000,475.000,200.000,0.000,100.00,768
70.000,85.000,-180.000,-360.000,200.000,500.000,200.000,0.000,100.00,655
70.000,72.000,-150.000,-300.000,180.000,400.000,200.000,0.000,100.00,542
70.000,70.000,-80.000,-160.000,170.000,180.000,200.000,180.000,100.00,525
110.000,72.500,250.000,500.000,250.000,250.000,200.000,180.000,100.00,545
110.000,110.000,80.000,160.000,210.000,210.000,205.000,180.000,100.00,872
70.000,107.500,-250.000,-500.000,250.000,250.000,205.000,180.000,100.00,850
70.000,70.000,-80.000,-160.000,170.000,180.000,205.000,185.000,100.00,525
