rocket_id,regime,b0_ratio,sr,rms
R0091,FRAGILE,0.1,0.0,77.84299392566817
R0146,FRAGILE,0.1,0.0,94.11189023144533
R0267,FRAGILE,0.1,0.0,97.05127874123399
R0373,FRAGILE,0.1,0.0,174.55833771050825
R0430,FRAGILE,0.1,0.0,27.112996955884444
R0491,FRAGILE,0.1,0.0,148.54830523143323
R0503,FRAGILE,0.1,0.0,91.38039661555818
R0504,FRAGILE,0.1,0.0,86.76675112037128
R0523,FRAGILE,0.1,0.3333333333333333,9.75419404599975
R0641,FRAGILE,0.1,0.0,73.95559776983707
R0671,FRAGILE,0.1,0.0,76.2457997458817
R0680,FRAGILE,0.1,0.0,36.75201008312681
R0688,FRAGILE,0.1,0.0,84.01041535360228
R0748,FRAGILE,0.1,0.0,192.06335570981764
R0759,FRAGILE,0.1,0.0,119.32774590174607
R0866,FRAGILE,0.1,0.0,54.35578944070512
R0954,FRAGILE,0.1,0.0,52.60406450916711
R0958,FRAGILE,0.1,0.0,97.91862886386578
R0982,FRAGILE,0.1,0.0,92.54905053370322
R1021,FRAGILE,0.1,0.0,140.84758879249566
R1070,FRAGILE,0.1,0.0,77.41394119587643
R1082,FRAGILE,0.1,0.0,49.02725300602604
R1094,FRAGILE,0.1,0.0,73.49451698637905
R1165,FRAGILE,0.1,0.0,81.88602441456017
R1171,FRAGILE,0.1,0.0,42.38203237250451
R0712,EASY,0.1,0.0,129.54843928071946
R1147,EASY,0.1,1.0,1.8852685154995044
R0059,EASY,0.1,0.0,59.1602007253944
R0071,EASY,0.1,0.0,28.564665556145048
R1057,EASY,0.1,0.0,19.02542088269321
R0357,EASY,0.1,0.0,69.18245869112592
R0658,EASY,0.1,0.0,46.37441282299559
R0247,EASY,0.1,0.0,24.89038303845248
R0303,EASY,0.1,0.0,20.398076531629993
R0333,EASY,0.1,0.0,47.561314449980564
R0024,EASY,0.1,0.3333333333333333,10.180464355419915
R0202,EASY,0.1,0.0,24.996045693638024
R0912,EASY,0.1,1.0,5.581983927733497
R0236,EASY,0.1,0.6666666666666666,8.919660348009813
R0477,EASY,0.1,0.0,34.664845314729995
R0948,EASY,0.1,0.0,22.524584068168043
R0332,EASY,0.1,1.0,7.028851919927274
