td,latency_steps,omega_c_max
20.006681237393053,1,50.0
20.006681237393053,2,50.0
20.006681237393053,3,50.0
20.006681237393053,4,30.0
20.006681237393053,6,20.0
20.006681237393053,8,15.0
20.006681237393053,10,15.0
20.006681237393053,12,10.0
90.5486166662971,1,15.0
90.5486166662971,2,10.0
90.5486166662971,3,10.0
90.5486166662971,4,7.0
90.5486166662971,6,7.0
90.5486166662971,8,5.0
90.5486166662971,10,5.0
90.5486166662971,12,3.0
199.88145765652598,1,10.0
199.88145765652598,2,10.0
199.88145765652598,3,7.0
199.88145765652598,4,5.0
199.88145765652598,6,3.0
199.88145765652598,8,0.0
199.88145765652598,10,0.0
199.88145765652598,12,0.0
