td,latency_steps,omega_c_max,n_passing,max_sr_found
19.994276910701778,1,30.0,8,1.0
19.994276910701778,2,20.0,7,1.0
19.994276910701778,3,20.0,7,1.0
19.994276910701778,4,15.0,6,1.0
19.994276910701778,6,15.0,6,1.0
19.994276910701778,8,10.0,5,1.0
19.994276910701778,10,10.0,5,1.0
19.994276910701778,12,7.0,4,1.0
49.99307071616899,1,15.0,6,1.0
49.99307071616899,2,10.0,5,1.0
49.99307071616899,3,10.0,5,1.0
49.99307071616899,4,7.0,4,1.0
49.99307071616899,6,7.0,4,1.0
49.99307071616899,8,5.0,3,1.0
49.99307071616899,10,5.0,3,1.0
49.99307071616899,12,3.0,2,1.0
90.30850741268695,1,20.0,7,1.0
90.30850741268695,2,15.0,6,1.0
90.30850741268695,3,7.0,4,1.0
90.30850741268695,4,7.0,4,1.0
90.30850741268695,6,5.0,3,1.0
90.30850741268695,8,3.0,2,1.0
90.30850741268695,10,3.0,2,0.9
90.30850741268695,12,3.0,2,0.8
129.90858263506908,1,15.0,6,1.0
129.90858263506908,2,10.0,5,1.0
129.90858263506908,3,10.0,5,1.0
129.90858263506908,4,7.0,4,1.0
129.90858263506908,6,7.0,4,1.0
129.90858263506908,8,5.0,3,1.0
129.90858263506908,10,5.0,3,1.0
129.90858263506908,12,5.0,3,1.0
198.27930034172823,1,10.0,5,1.0
198.27930034172823,2,10.0,5,1.0
198.27930034172823,3,7.0,4,1.0
198.27930034172823,4,7.0,4,1.0
198.27930034172823,6,5.0,3,1.0
198.27930034172823,8,5.0,3,0.9
198.27930034172823,10,3.0,2,0.9
198.27930034172823,12,3.0,2,0.9
295.7391938958793,1,10.0,3,1.0
295.7391938958793,2,10.0,3,1.0
295.7391938958793,3,7.0,2,1.0
295.7391938958793,4,7.0,2,1.0
295.7391938958793,6,5.0,1,1.0
295.7391938958793,8,5.0,1,0.9
295.7391938958793,10,,0,0.6
295.7391938958793,12,,0,0.5
