td,latency_steps,omega_c,omega0_ratio,omega0,sr,rms
199.88145765652598,6,1,5,5,0.1,22.298990536576348
199.88145765652598,6,1,10,10,0.1,13.312296852078157
199.88145765652598,6,1,20,20,0.5,6.692481849423932
199.88145765652598,6,1,33,33,1.0,3.6491953998717093
199.88145765652598,6,2,5,10,0.3,9.069453738917964
199.88145765652598,6,2,10,20,1.0,4.979072179299427
199.88145765652598,6,2,20,40,1.0,2.0756447648727243
199.88145765652598,6,2,33,66,1.0,1.2126820210556468
199.88145765652598,6,3,5,15,0.7,5.999306631835233
199.88145765652598,6,3,10,30,1.0,2.9502135973939825
199.88145765652598,6,3,20,60,1.0,1.4942452303515148
199.88145765652598,6,3,33,99,1.0,1.8090175137067952
199.88145765652598,6,5,5,25,0.6,4.953128514622863
199.88145765652598,6,5,10,50,0.6,4.563190004256856
199.88145765652598,6,5,20,100,0.4,8.428003239160333
199.88145765652598,6,5,33,165,1.0,6.133326329715557
199.88145765652598,6,7,5,35,0.2,12.343400535109533
199.88145765652598,6,7,10,70,0.3,14.086186242693575
199.88145765652598,6,7,20,140,0.5,8.355417205364015
199.88145765652598,6,7,33,231,0.7,6.575333585689492
199.88145765652598,8,1,5,5,0.1,22.37637864384366
199.88145765652598,8,1,10,10,0.1,13.350664046755304
199.88145765652598,8,1,20,20,0.5,6.787073360648904
199.88145765652598,8,1,33,33,1.0,3.5066149317497297
199.88145765652598,8,2,5,10,0.4,9.238285490365493
199.88145765652598,8,2,10,20,1.0,5.171304178032773
199.88145765652598,8,2,20,40,1.0,2.122755481508178
199.88145765652598,8,2,33,66,1.0,1.5972759414952287
199.88145765652598,8,3,5,15,0.7,6.3626139837234685
199.88145765652598,8,3,10,30,1.0,3.365362610330724
199.88145765652598,8,3,20,60,1.0,2.837713982169809
199.88145765652598,8,3,33,99,0.6,9.274399899844047
199.88145765652598,8,5,5,25,0.4,7.6643050361516645
199.88145765652598,8,5,10,50,0.2,15.460400276374816
199.88145765652598,8,5,20,100,0.3,12.488571037773307
199.88145765652598,8,5,33,165,0.7,9.01758015786061
199.88145765652598,8,7,5,35,0.0,28.56147795073964
199.88145765652598,8,7,10,70,0.0,20.020797998773066
199.88145765652598,8,7,20,140,0.2,12.003805079278388
199.88145765652598,8,7,33,231,0.7,6.014375870378283
199.88145765652598,10,1,5,5,0.1,22.45169073055012
199.88145765652598,10,1,10,10,0.1,13.36708034431057
199.88145765652598,10,1,20,20,0.5,6.8728797730366935
199.88145765652598,10,1,33,33,1.0,3.5221800020438585
199.88145765652598,10,2,5,10,0.4,9.397778568911933
199.88145765652598,10,2,10,20,1.0,5.320213570877887
199.88145765652598,10,2,20,40,1.0,2.529423839788353
199.88145765652598,10,2,33,66,1.0,3.1074621055265745
199.88145765652598,10,3,5,15,0.5,6.7939192377416955
199.88145765652598,10,3,10,30,1.0,4.239342803260916
199.88145765652598,10,3,20,60,0.1,8.280689116849366
199.88145765652598,10,3,33,99,0.1,12.748680843551359
199.88145765652598,10,5,5,25,0.1,13.289033640518266
199.88145765652598,10,5,10,50,0.0,24.319568513352028
199.88145765652598,10,5,20,100,0.0,16.715844487167104
199.88145765652598,10,5,33,165,0.2,12.731004518586008
199.88145765652598,10,7,5,35,0.0,40.613459385496014
199.88145765652598,10,7,10,70,0.0,26.48441707476386
199.88145765652598,10,7,20,140,0.0,17.114328628185753
199.88145765652598,10,7,33,231,0.7,7.7815065962363335
199.88145765652598,12,1,5,5,0.1,22.531952112646113
199.88145765652598,12,1,10,10,0.1,13.398806178932759
199.88145765652598,12,1,20,20,0.6,6.703883999448176
199.88145765652598,12,1,33,33,1.0,3.551704497294497
199.88145765652598,12,2,5,10,0.4,9.596905027628727
199.88145765652598,12,2,10,20,1.0,5.511235259026877
199.88145765652598,12,2,20,40,1.0,3.4747250132989627
199.88145765652598,12,2,33,66,0.5,8.548081649881478
199.88145765652598,12,3,5,15,0.6,7.366464214846343
199.88145765652598,12,3,10,30,0.7,5.992605737657378
199.88145765652598,12,3,20,60,0.1,17.48125235525267
199.88145765652598,12,3,33,99,0.0,20.17858885391383
199.88145765652598,12,5,5,25,0.1,24.277230613643365
199.88145765652598,12,5,10,50,0.0,31.52853794232298
199.88145765652598,12,5,20,100,0.0,21.107198804244398
199.88145765652598,12,5,33,165,0.0,16.294157936890926
199.88145765652598,12,7,5,35,0.0,51.640822102303595
199.88145765652598,12,7,10,70,0.0,35.29760394637872
199.88145765652598,12,7,20,140,0.0,22.585761020403158
199.88145765652598,12,7,33,231,0.7,9.663139543915355
