rocket_id,label,td,keff,latency,Pi,best_Kp,best_Kd,peak_pid_sr,peak_adrc_sr,adrc_sr_std_ratio,best_wc,best_w0_ratio,sr_delta,adrc_sr_wc0.5,adrc_sr_wc1.0,adrc_sr_wc1.5,adrc_sr_wc2.0,adrc_sr_wc3.0,adrc_sr_wc5.0
S0085,FRAGILE,142.26511346943522,13.833808781984724,9,11523.474191024254,29.758952096260835,1.0,0.5333333333333333,1.0,1.0,0.5,5,0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
S0120,INFEASIBLE,221.20960503685052,21.23036728890191,12,31854.183125306474,7.658973741837444,0.5,0.4666666666666667,1.0,0.2,2.0,20,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.5333333333333333,1.0,0.7333333333333333,0.06666666666666667
S0123,FRAGILE,79.77912998458088,6.82524493757359,12,11488.194717779646,41.78105458855241,16.0,0.13333333333333333,1.0,1.0,0.5,20,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,0.0
S0125,FRAGILE,87.17948956019791,8.924724849659599,12,12553.846496668499,21.19609566078763,0.5,1.0,1.0,1.0,1.0,12,0.0,0.7333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333
S0369,FRAGILE,150.48461418743992,12.933319120360458,9,12189.253749182633,41.78105458855241,0.5,0.5333333333333333,1.0,0.8666666666666667,1.5,20,0.4666666666666667,0.2,0.3333333333333333,1.0,1.0,1.0,0.4
S0375,FRAGILE,203.39925450251297,18.960461926160704,8,13017.55228816083,41.78105458855241,1.0,0.8,1.0,0.8666666666666667,1.5,20,0.19999999999999996,0.2,0.9333333333333333,1.0,1.0,1.0,0.5333333333333333
S0378,FRAGILE,201.60781637306255,17.11328625573436,11,24394.54578114057,15.097120013097204,0.5,0.6666666666666666,1.0,0.8666666666666667,1.5,12,0.33333333333333337,0.3333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,0.2
S0443,FRAGILE,190.23932384754357,21.524399814261766,7,9321.726868529635,58.65987877815546,4.0,0.4,1.0,1.0,1.5,12,0.6,0.26666666666666666,0.9333333333333333,1.0,1.0,1.0,1.0
S0488,FRAGILE,115.52668430326362,10.081630538861099,9,9357.661428564354,41.78105458855241,0.5,0.6666666666666666,1.0,1.0,1.0,12,0.33333333333333337,0.5333333333333333,1.0,1.0,1.0,1.0,1.0
S0493,FRAGILE,160.74181893024863,14.287572925051805,9,13020.087333350139,41.78105458855241,4.0,0.6,1.0,1.0,1.0,20,0.4,0.4,1.0,1.0,1.0,1.0,0.3333333333333333
S0500,FRAGILE,193.02347279565745,18.117729157745313,9,15634.901296448254,41.78105458855241,1.0,0.26666666666666666,1.0,1.0,1.0,12,0.7333333333333334,0.8666666666666667,1.0,1.0,1.0,1.0,1.0
S0588,INFEASIBLE,323.3881406186184,28.89779680845196,7,15846.018890312303,29.758952096260835,2.0,0.5333333333333333,1.0,0.8666666666666667,1.0,20,0.4666666666666667,0.26666666666666666,1.0,1.0,1.0,1.0,0.5333333333333333
S0634,EASY,78.91939006244019,8.238006643237119,11,9549.246197555263,41.78105458855241,1.0,0.26666666666666666,1.0,1.0,1.0,20,0.7333333333333334,0.4666666666666667,1.0,1.0,1.0,1.0,0.4
S0705,FRAGILE,131.46422270736602,11.324912350053523,9,10648.602039296647,21.19609566078763,0.5,0.8666666666666667,1.0,1.0,1.0,20,0.1333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.8666666666666667
S0755,FRAGILE,223.91390105457683,34.19917689096421,7,10971.781151674264,41.78105458855241,1.0,0.7333333333333333,1.0,0.6666666666666666,1.5,20,0.2666666666666667,0.4,0.8666666666666667,1.0,1.0,1.0,0.26666666666666666
S0757,INFEASIBLE,226.63450954631676,19.988371713144296,11,27422.775655104328,7.658973741837444,0.5,0.6,1.0,0.8666666666666667,1.0,12,0.4,0.5333333333333333,1.0,1.0,1.0,1.0,0.2
S0906,FRAGILE,99.61289506394624,9.951783490725909,10,9961.289506394623,41.78105458855241,0.5,0.3333333333333333,1.0,1.0,1.0,20,0.6666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,0.8
S0965,FRAGILE,105.56968925579146,11.579808755334914,12,15202.03525283397,10.753066807087182,0.5,0.8666666666666667,1.0,1.0,1.0,20,0.1333333333333333,0.4666666666666667,1.0,1.0,1.0,1.0,0.3333333333333333
S0992,FRAGILE,110.51186554707978,9.79258626466246,11,13371.935731196654,29.758952096260835,0.5,0.6,1.0,1.0,1.0,12,0.4,0.8666666666666667,1.0,1.0,1.0,1.0,0.7333333333333333
S1011,FRAGILE,209.70588246599385,19.958483702023397,9,16986.176479745503,41.78105458855241,1.0,0.26666666666666666,1.0,0.6666666666666666,2.0,20,0.7333333333333334,0.0,0.26666666666666666,0.8,1.0,1.0,0.26666666666666666
S1094,INFEASIBLE,138.0758144286594,19.482564430936996,9,11184.140968721413,58.65987877815546,8.0,0.3333333333333333,1.0,1.0,1.0,20,0.6666666666666667,0.6,1.0,1.0,1.0,1.0,0.8
S1143,INFEASIBLE,101.50449051743836,12.480542466473905,11,12282.04335261004,29.758952096260835,1.0,0.2,1.0,1.0,1.5,20,0.8,0.3333333333333333,0.9333333333333333,1.0,1.0,1.0,0.06666666666666667
