rocket_id,regime,theta0,sr,rms
R0001,EASY,10.0,0.0,13.232814392095102
R0002,EASY,10.0,1.0,11.251963317247208
R0003,EASY,10.0,0.0,15.533674992253694
R0004,EASY,10.0,0.3333333333333333,8.497900324672303
R0005,EASY,10.0,0.0,16.43796094392835
R0006,EASY,10.0,1.0,10.776180363139545
R0007,EASY,10.0,0.6666666666666666,8.400642071519306
R0008,EASY,10.0,0.0,17.511345898134945
R0009,EASY,10.0,0.0,9.017683199861809
R0010,EASY,10.0,0.3333333333333333,15.306506050512171
R0011,EASY,10.0,0.0,17.260977305920864
R0012,EASY,10.0,0.0,17.77577317535302
R0013,EASY,10.0,0.0,12.549585074623407
R0014,EASY,10.0,0.0,19.991031807407243
R0015,EASY,10.0,0.0,13.879751093353425
R0016,EASY,10.0,0.0,18.171871989531297
R0017,EASY,10.0,0.0,19.431267161259886
R0018,EASY,10.0,0.0,12.623589721963887
R0019,EASY,10.0,0.0,11.65341913781603
R0020,EASY,10.0,1.0,7.670833306608519
R0021,EASY,10.0,0.0,11.76842241729956
R0022,EASY,10.0,0.3333333333333333,14.25789001250377
R0023,EASY,10.0,0.0,22.191104234959514
R0024,EASY,10.0,0.6666666666666666,8.127955363224727
R0025,EASY,10.0,0.0,9.752857239959722
R0026,EASY,10.0,0.6666666666666666,14.251811258087974
R0027,EASY,10.0,0.6666666666666666,12.479370869519828
R0028,EASY,10.0,1.0,13.139406761723981
R0029,EASY,10.0,0.0,13.207410405696395
R0030,EASY,10.0,0.3333333333333333,9.019716344079171
R0031,EASY,10.0,0.6666666666666666,8.04324087628673
R0032,EASY,10.0,1.0,11.927860418696158
R0033,EASY,10.0,1.0,11.29825174062262
R0034,EASY,10.0,0.0,24.256236596433563
R0035,EASY,10.0,1.0,9.016267760964277
R0036,EASY,10.0,0.6666666666666666,8.018627814652243
R0037,EASY,10.0,0.0,11.779341641256963
R0038,EASY,10.0,0.0,13.210384842296158
R0039,EASY,10.0,0.0,8.616604686205314
R0040,EASY,10.0,0.0,10.761097768910913
R0041,EASY,10.0,0.3333333333333333,15.699419210423237
R0042,EASY,10.0,1.0,8.477710292353313
R0043,EASY,10.0,0.0,14.644660298789702
R0044,EASY,10.0,0.3333333333333333,8.519488013244045
R0045,EASY,10.0,0.3333333333333333,12.119461176779202
R0046,EASY,10.0,0.0,20.050520553385287
R0047,EASY,10.0,0.0,13.051141456592518
R0048,EASY,10.0,0.0,12.237599612134156
R0049,EASY,10.0,1.0,7.852085521663491
R0050,EASY,10.0,0.3333333333333333,15.411595319627354
R0051,EASY,10.0,0.0,12.617280823396328
R0052,EASY,10.0,0.0,12.999472354294594
R0053,EASY,10.0,1.0,11.631247402421225
R0054,EASY,10.0,0.0,18.81309524636357
R0055,EASY,10.0,1.0,11.068972452886912
R0056,EASY,10.0,0.0,21.455643465727274
R0057,EASY,10.0,1.0,7.624748065892452
R0058,EASY,10.0,0.0,16.85494973816551
R0059,EASY,10.0,1.0,7.494788112741205
R0060,EASY,10.0,0.0,11.131347342946853
R0061,EASY,10.0,0.0,19.26660526864957
R0062,EASY,10.0,0.0,76.30255234426987
R0063,EASY,10.0,0.0,12.876141866878541
R0064,EASY,10.0,0.3333333333333333,11.032263929070645
R0065,EASY,10.0,0.0,19.817411803913515
R0066,EASY,10.0,1.0,6.943262719979033
R0067,EASY,10.0,1.0,11.355550254126976
R0068,EASY,10.0,1.0,10.24772425203995
R0069,EASY,10.0,0.0,11.784288242824376
R0070,EASY,10.0,0.0,9.827978181854304
R0071,EASY,10.0,0.6666666666666666,11.870861257384542
R0072,EASY,10.0,0.0,10.606504269983306
R0073,EASY,10.0,1.0,8.877931436536919
R0074,EASY,10.0,0.0,14.400596893473526
R0075,EASY,10.0,1.0,8.435540906552937
R0076,EASY,10.0,1.0,7.441297571817859
R0077,EASY,10.0,0.0,28.024594671179837
R0078,EASY,10.0,0.0,9.550173093685395
R0079,EASY,10.0,0.0,22.905995936400103
R0080,EASY,10.0,0.0,15.264378419966372
R0081,EASY,10.0,1.0,7.411799372995239
R0082,EASY,10.0,0.0,15.015182079269218
R0083,EASY,10.0,0.3333333333333333,11.780457717748229
R0084,EASY,10.0,0.3333333333333333,12.8652114321861
R0085,EASY,10.0,0.3333333333333333,13.897214957014322
R0086,EASY,10.0,0.6666666666666666,12.793688583024904
R0087,EASY,10.0,1.0,9.342310043467169
R0088,EASY,10.0,0.0,15.562498320987196
R0089,EASY,10.0,1.0,7.560695785811002
R0090,EASY,10.0,0.0,8.09321438962152
R0091,FRAGILE,10.0,0.6666666666666666,13.912531645511061
R0092,EASY,10.0,0.6666666666666666,8.003037465467786
R0093,EASY,10.0,0.0,15.536128307954987
R0094,EASY,10.0,1.0,11.152332158243466
R0095,EASY,10.0,0.0,18.48711839227536
R0096,EASY,10.0,0.0,19.268836754408593
R0097,EASY,10.0,0.0,25.618824971892177
R0098,EASY,10.0,1.0,7.162930841502856
R0099,EASY,10.0,1.0,8.849184053530266
R0100,EASY,10.0,0.3333333333333333,8.851750817244806
R0101,EASY,10.0,0.0,15.730471305757542
R0102,EASY,10.0,1.0,10.459287057613139
R0103,EASY,10.0,0.0,21.180884211544875
R0104,EASY,10.0,0.0,24.686947903223416
R0105,EASY,10.0,0.6666666666666666,13.682013478673886
R0106,EASY,10.0,0.0,21.828755664124355
R0107,EASY,10.0,0.0,15.826058374740642
R0108,EASY,10.0,0.0,10.870279399202389
R0109,EASY,10.0,0.0,15.283794094360255
R0110,EASY,10.0,0.0,17.516766121695117
R0111,EASY,10.0,0.3333333333333333,14.88088928153343
R0112,EASY,10.0,0.0,15.576676229958311
R0113,EASY,10.0,0.0,31.868388861887354
R0114,EASY,10.0,0.0,12.682249100457112
R0115,EASY,10.0,0.0,11.662662100265011
R0116,EASY,10.0,1.0,7.471291654661296
R0117,EASY,10.0,0.0,12.155996330130046
R0118,EASY,10.0,0.0,24.911473169036494
R0119,EASY,10.0,1.0,8.619778323965376
R0120,EASY,10.0,0.6666666666666666,13.782493040692174
R0121,EASY,10.0,0.0,23.93111676473478
R0122,EASY,10.0,0.0,16.450246598747267
R0123,EASY,10.0,1.0,9.44334791485607
R0124,EASY,10.0,0.6666666666666666,8.67330213516245
R0125,EASY,10.0,0.0,10.593445377530806
R0126,EASY,10.0,0.0,21.87382708097017
R0127,EASY,10.0,1.0,7.545990439910895
R0128,EASY,10.0,0.0,19.56039422573795
R0129,EASY,10.0,0.0,17.064518613412677
R0130,EASY,10.0,0.0,11.884571364721142
R0131,EASY,10.0,1.0,10.740292324569593
R0132,EASY,10.0,0.3333333333333333,11.739343939899882
R0133,EASY,10.0,0.3333333333333333,11.335587938115717
R0134,EASY,10.0,0.0,11.94429265890546
R0135,EASY,10.0,0.0,10.450713498818992
R0136,EASY,10.0,0.0,11.459362671784733
R0137,EASY,10.0,0.0,8.566379345904204
R0138,EASY,10.0,0.6666666666666666,12.870157845885572
R0139,EASY,10.0,0.6666666666666666,7.921006119699025
R0140,EASY,10.0,0.3333333333333333,13.054181423037635
R0141,EASY,10.0,0.0,68.00093617616841
R0142,EASY,10.0,1.0,10.500949391910716
R0143,EASY,10.0,0.0,14.82988968867526
R0144,EASY,10.0,0.0,10.046302102049198
R0145,EASY,10.0,0.0,16.116891839393972
R0146,FRAGILE,10.0,1.0,8.392471901203967
R0147,EASY,10.0,0.0,21.784702588055342
R0148,EASY,10.0,0.0,9.662365250440905
R0149,EASY,10.0,0.0,11.827986189875553
R0150,EASY,10.0,0.0,24.48475540720872
R0151,EASY,10.0,0.0,23.46860617499115
R0152,EASY,10.0,1.0,11.0333045168475
R0153,EASY,10.0,0.0,22.992554912725627
R0154,EASY,10.0,0.0,11.712146639074485
R0155,EASY,10.0,1.0,8.901798533914173
R0156,EASY,10.0,0.3333333333333333,12.048597642747433
R0157,EASY,10.0,0.0,17.949272415515015
R0158,EASY,10.0,0.6666666666666666,10.266099262960845
R0159,EASY,10.0,0.0,14.795530418657592
R0160,EASY,10.0,1.0,8.895665574949364
R0161,EASY,10.0,0.0,10.417603590773064
R0162,EASY,10.0,0.0,9.712065752016125
R0163,EASY,10.0,0.0,15.144298650762764
R0164,EASY,10.0,0.6666666666666666,11.863605717356526
R0165,EASY,10.0,0.3333333333333333,11.3157984052938
R0166,EASY,10.0,0.0,16.559070974522566
R0167,EASY,10.0,0.0,13.097924795803829
R0168,EASY,10.0,0.0,13.521314116304586
R0169,EASY,10.0,0.0,8.516069049079947
R0170,EASY,10.0,0.0,13.414286696565457
R0171,EASY,10.0,0.3333333333333333,16.07593056120605
R0172,EASY,10.0,0.0,16.25213014840007
R0173,EASY,10.0,1.0,11.098281565614153
R0174,EASY,10.0,0.0,27.175498401598958
R0175,EASY,10.0,0.0,20.08373362578894
R0176,EASY,10.0,0.6666666666666666,10.686942812647066
R0177,EASY,10.0,1.0,8.503688521980338
R0178,EASY,10.0,1.0,8.277200902254235
R0179,EASY,10.0,0.3333333333333333,8.845581837551057
R0180,EASY,10.0,0.0,9.918524136989227
R0181,EASY,10.0,0.3333333333333333,12.056497633464188
R0182,EASY,10.0,0.0,19.22154817615331
R0183,EASY,10.0,0.0,26.936724015186613
R0184,EASY,10.0,0.0,12.96570258810028
R0185,EASY,10.0,0.0,15.147373313012878
R0186,EASY,10.0,1.0,9.352407396416746
R0187,EASY,10.0,0.0,12.992630180858365
R0188,EASY,10.0,0.0,10.842137466738683
R0189,EASY,10.0,0.6666666666666666,10.022743848266527
R0190,EASY,10.0,0.0,11.018566299918708
R0191,EASY,10.0,0.0,17.807550057316824
R0192,EASY,10.0,0.0,19.996757024954857
R0193,EASY,10.0,0.0,22.710297380584553
R0194,EASY,10.0,0.0,14.355242386668893
R0195,EASY,10.0,1.0,8.022009507166166
R0196,EASY,10.0,1.0,7.411138316495676
R0197,EASY,10.0,0.0,19.289102823943235
R0198,EASY,10.0,1.0,10.781122813310516
R0199,EASY,10.0,0.3333333333333333,14.45302069994525
R0200,EASY,10.0,0.0,15.172341123332382
R0201,EASY,10.0,0.0,15.511211670095742
R0202,EASY,10.0,1.0,7.690193971624339
R0203,EASY,10.0,0.3333333333333333,12.446839506989827
R0204,EASY,10.0,0.0,13.862536258893742
R0205,EASY,10.0,0.0,8.535092584305561
R0206,EASY,10.0,1.0,12.822869580204056
R0207,EASY,10.0,0.0,12.247008164314323
R0208,EASY,10.0,0.6666666666666666,8.029562919049217
R0209,EASY,10.0,0.0,20.440741792347563
R0210,EASY,10.0,1.0,12.533012313973929
R0211,EASY,10.0,1.0,9.786973972868571
R0212,EASY,10.0,1.0,6.970474656004086
R0213,EASY,10.0,1.0,9.286976490004676
R0214,EASY,10.0,0.6666666666666666,8.077683738406195
R0215,EASY,10.0,0.0,13.855332108681187
R0216,EASY,10.0,0.0,12.307640630654221
R0217,EASY,10.0,1.0,10.306568322751565
R0218,EASY,10.0,1.0,7.723611911052892
R0219,EASY,10.0,1.0,10.604360696644141
R0220,EASY,10.0,0.0,18.453101936316244
R0221,EASY,10.0,0.6666666666666666,7.951967746548488
R0222,EASY,10.0,0.3333333333333333,8.67676516683931
R0223,EASY,10.0,0.0,11.916838796187271
R0224,EASY,10.0,0.0,15.462802580598613
R0225,EASY,10.0,1.0,7.4863039431390375
R0226,EASY,10.0,1.0,10.24202678649592
R0227,EASY,10.0,0.0,19.648989109860864
R0228,EASY,10.0,0.0,14.308701948225613
R0229,EASY,10.0,0.0,11.833416075913439
R0230,EASY,10.0,0.0,9.653176800669074
R0231,EASY,10.0,1.0,7.600127583781731
R0232,EASY,10.0,0.0,14.978564328762348
R0233,EASY,10.0,0.0,22.012824839124693
R0234,EASY,10.0,0.0,16.355648032891082
R0235,EASY,10.0,0.0,15.404904030906144
R0236,EASY,10.0,0.3333333333333333,13.788710458829556
R0237,EASY,10.0,0.0,20.56044634062691
R0238,EASY,10.0,1.0,14.175892770715931
R0239,EASY,10.0,0.0,12.068327842075936
R0240,EASY,10.0,0.3333333333333333,12.687268382530897
R0241,EASY,10.0,1.0,8.025660536590559
R0242,EASY,10.0,1.0,8.002310734084796
R0243,EASY,10.0,0.0,15.28310047076063
R0244,EASY,10.0,1.0,10.653531379997677
R0245,EASY,10.0,0.0,14.80214371371117
R0246,EASY,10.0,0.0,14.312812857335325
R0247,EASY,10.0,0.3333333333333333,10.806121792139592
R0248,EASY,10.0,0.3333333333333333,9.54100301910101
R0249,EASY,10.0,0.0,9.23977340815947
R0250,EASY,10.0,0.6666666666666666,13.920726978203165
R0251,EASY,10.0,0.6666666666666666,14.096320979045439
R0252,EASY,10.0,1.0,10.792233620686977
R0253,EASY,10.0,0.0,12.111284606456174
R0254,EASY,10.0,1.0,7.498650026201827
R0255,EASY,10.0,1.0,7.794908363491682
R0256,EASY,10.0,0.0,11.596371738457771
R0257,EASY,10.0,0.3333333333333333,12.560274082018756
R0258,EASY,10.0,1.0,10.482411084179518
R0259,EASY,10.0,0.6666666666666666,12.020409734821447
R0260,EASY,10.0,0.0,16.36389180137893
R0261,EASY,10.0,0.3333333333333333,15.763104931387906
R0262,EASY,10.0,0.3333333333333333,8.289504993807514
R0263,EASY,10.0,0.6666666666666666,11.970215874545422
R0264,EASY,10.0,0.0,15.978556019485694
R0265,EASY,10.0,1.0,11.032433520807801
R0266,EASY,10.0,0.6666666666666666,7.485445266053438
R0267,FRAGILE,10.0,0.0,19.11691956212553
R0268,EASY,10.0,0.0,25.020790506672995
R0269,EASY,10.0,0.0,17.190714070920773
R0270,EASY,10.0,0.0,11.14764017769049
R0271,EASY,10.0,1.0,8.633420860301571
R0272,EASY,10.0,0.0,17.577809901648035
R0273,EASY,10.0,0.0,12.434393239844711
R0274,EASY,10.0,1.0,7.417193044185976
R0275,EASY,10.0,0.0,17.505162593370446
R0276,EASY,10.0,0.0,16.951729713261123
R0277,EASY,10.0,0.0,15.84581030321454
R0278,EASY,10.0,0.0,24.90886646437889
R0279,EASY,10.0,1.0,7.541719773156104
R0280,EASY,10.0,0.6666666666666666,7.993462958677985
R0281,EASY,10.0,1.0,7.319207105702492
R0282,EASY,10.0,0.0,17.437632883990783
R0283,MARGINAL,10.0,0.6666666666666666,14.945156795226518
R0284,EASY,10.0,0.0,20.41153622531994
R0285,EASY,10.0,0.0,9.587463405527636
R0286,EASY,10.0,0.0,35.239624993212566
R0287,EASY,10.0,0.6666666666666666,8.201680792946014
R0288,EASY,10.0,1.0,11.753477035161822
R0289,EASY,10.0,0.0,11.72168308800678
R0290,EASY,10.0,0.0,16.260142077809675
R0291,EASY,10.0,1.0,7.426311456248186
R0292,EASY,10.0,0.0,23.000884254383184
R0293,EASY,10.0,1.0,10.452918515593447
R0294,EASY,10.0,0.0,14.669531525326482
R0295,EASY,10.0,1.0,7.448649878922889
R0296,EASY,10.0,0.0,16.937506315431815
R0297,EASY,10.0,0.6666666666666666,8.37333422053797
R0298,EASY,10.0,0.0,20.394775704980358
R0299,EASY,10.0,1.0,9.997237777282642
R0300,EASY,10.0,0.0,15.23539089266516
R0301,EASY,10.0,1.0,7.932380072341835
R0302,EASY,10.0,0.0,31.21073076698514
R0303,EASY,10.0,0.0,13.886284622863384
R0304,EASY,10.0,0.0,19.51511628999202
R0305,EASY,10.0,0.0,16.810986544429415
R0306,EASY,10.0,0.0,14.800921982164505
R0307,EASY,10.0,1.0,12.782792202801906
R0308,EASY,10.0,0.0,8.676215610246087
R0309,EASY,10.0,0.0,16.006411408081735
R0310,EASY,10.0,0.0,17.340777513834496
R0311,EASY,10.0,0.0,13.097666602810932
R0312,EASY,10.0,0.0,8.57578303787304
R0313,EASY,10.0,0.0,12.992992051518703
R0314,EASY,10.0,0.6666666666666666,14.320591605751154
R0315,EASY,10.0,0.0,23.62132871144422
R0316,EASY,10.0,0.0,19.09663086343784
R0317,EASY,10.0,0.0,16.19364214191858
R0318,EASY,10.0,0.0,14.404402627496813
R0319,EASY,10.0,0.0,16.46438830216834
R0320,EASY,10.0,0.0,16.632538590253308
R0321,EASY,10.0,1.0,7.656573950629277
R0322,EASY,10.0,0.6666666666666666,10.001859411320952
R0323,EASY,10.0,0.0,16.697928917064946
R0324,EASY,10.0,0.0,8.99941323173016
R0325,EASY,10.0,1.0,9.006482638375088
R0326,EASY,10.0,0.0,12.433502357156058
R0327,EASY,10.0,0.0,18.330489084222137
R0328,EASY,10.0,0.0,9.664179755167952
R0329,EASY,10.0,1.0,7.0592041422350436
R0330,EASY,10.0,1.0,10.395322371237036
R0331,EASY,10.0,0.0,11.57861364213627
R0332,EASY,10.0,0.0,17.825734796210554
R0333,EASY,10.0,1.0,10.962587903047108
R0334,EASY,10.0,0.0,14.079177884571292
R0335,EASY,10.0,0.3333333333333333,11.993437955930323
R0336,EASY,10.0,0.3333333333333333,12.539420130343508
R0337,EASY,10.0,0.0,22.312272025421162
R0338,EASY,10.0,0.0,23.27095642150253
R0339,EASY,10.0,0.3333333333333333,14.765231011747401
R0340,EASY,10.0,0.3333333333333333,12.511733704813182
R0341,EASY,10.0,0.0,10.722635227324504
R0342,EASY,10.0,0.0,15.529586586074947
R0343,EASY,10.0,0.0,17.978323968592235
R0344,EASY,10.0,1.0,8.087337507294778
R0345,EASY,10.0,1.0,10.231815791902758
R0346,EASY,10.0,0.0,16.0934013006905
R0347,EASY,10.0,0.0,19.994588215617735
R0348,EASY,10.0,0.0,15.795186561173296
R0349,EASY,10.0,0.6666666666666666,13.710600099138134
R0350,EASY,10.0,1.0,7.875205027908803
R0351,EASY,10.0,1.0,8.638272629542763
R0352,EASY,10.0,0.0,15.859913109265781
R0353,EASY,10.0,0.6666666666666666,8.71456562787782
R0354,EASY,10.0,0.0,8.804158321932311
R0355,EASY,10.0,1.0,13.342770654685554
R0356,EASY,10.0,0.6666666666666666,10.305331304120662
R0357,EASY,10.0,0.6666666666666666,8.168342851996938
R0358,EASY,10.0,0.0,23.82052853734719
R0359,EASY,10.0,0.0,10.105679621480327
R0360,EASY,10.0,0.3333333333333333,10.354950937026942
R0361,EASY,10.0,1.0,11.289158084508834
R0362,EASY,10.0,0.6666666666666666,11.785836229361463
R0363,MARGINAL,10.0,0.0,16.07721426539279
R0364,EASY,10.0,0.0,18.115932838381696
R0365,EASY,10.0,0.6666666666666666,12.473171632646824
R0366,EASY,10.0,0.3333333333333333,12.35055317134138
R0367,EASY,10.0,0.0,19.714636891722282
R0368,EASY,10.0,1.0,7.629014204670298
R0369,EASY,10.0,0.0,21.075242747346273
R0370,EASY,10.0,1.0,8.451280750768438
R0371,EASY,10.0,1.0,9.747476227092932
R0372,EASY,10.0,1.0,9.818717910554362
R0373,FRAGILE,10.0,0.0,15.133155198183251
R0374,EASY,10.0,0.0,9.498732344467765
R0375,EASY,10.0,0.0,9.567977977058064
R0376,EASY,10.0,1.0,7.476063798290805
R0377,EASY,10.0,0.0,13.959688519264638
R0378,EASY,10.0,0.0,11.8305882023353
R0379,EASY,10.0,0.0,11.667076915214295
R0380,EASY,10.0,0.0,15.290308151099024
R0381,EASY,10.0,0.0,12.956811164916912
R0382,EASY,10.0,1.0,9.19002943478444
R0383,EASY,10.0,0.6666666666666666,7.921434090750366
R0384,EASY,10.0,1.0,10.179086647452808
R0385,EASY,10.0,0.0,11.242541644331256
R0386,EASY,10.0,0.3333333333333333,15.380067707844816
R0387,EASY,10.0,0.0,46.44211711992546
R0388,EASY,10.0,0.0,11.551491144626402
R0389,EASY,10.0,0.3333333333333333,17.09392728674396
R0390,EASY,10.0,0.0,30.282198439747635
R0391,EASY,10.0,1.0,8.057014052512386
R0392,EASY,10.0,0.0,18.35748373956858
R0393,EASY,10.0,0.0,14.213039840398885
R0394,EASY,10.0,0.6666666666666666,8.240901255589131
R0395,EASY,10.0,0.0,16.252444872229095
R0396,EASY,10.0,0.3333333333333333,8.1900109085531
R0397,EASY,10.0,0.0,14.158964255706982
R0398,EASY,10.0,1.0,7.380060557430366
R0399,EASY,10.0,0.0,18.87603648822836
R0400,EASY,10.0,0.0,19.53108091403254
R0401,EASY,10.0,0.0,19.89457410067367
R0402,EASY,10.0,0.0,25.382880878935072
R0403,EASY,10.0,0.0,18.133559954343852
R0404,EASY,10.0,0.6666666666666666,10.901188820196746
R0405,EASY,10.0,1.0,10.323431819449505
R0406,EASY,10.0,0.0,8.53022908354973
R0407,EASY,10.0,0.0,8.52375627321006
R0408,EASY,10.0,1.0,9.940121794346675
R0409,EASY,10.0,1.0,11.543009423357105
R0410,EASY,10.0,0.0,12.795905218761028
R0411,EASY,10.0,1.0,9.821828950335549
R0412,EASY,10.0,0.0,17.12071951584111
R0413,EASY,10.0,1.0,9.596374557937049
R0414,EASY,10.0,1.0,7.830790178867464
R0415,EASY,10.0,0.6666666666666666,14.783660200679526
R0416,EASY,10.0,0.3333333333333333,10.097363974278336
R0417,EASY,10.0,0.0,19.386892424718294
R0418,EASY,10.0,0.0,36.52422561401236
R0419,EASY,10.0,0.0,16.526364437673845
R0420,MARGINAL,10.0,0.0,25.886046233023794
R0421,EASY,10.0,0.3333333333333333,11.973468711461484
R0422,EASY,10.0,0.0,8.324924527340924
R0423,EASY,10.0,0.0,20.30678526116883
R0424,EASY,10.0,1.0,7.668233072622691
R0425,EASY,10.0,0.0,14.951634803129748
R0426,EASY,10.0,0.0,27.369598468451585
R0427,EASY,10.0,0.0,17.784770923914046
R0428,EASY,10.0,0.0,17.33002861218063
R0429,EASY,10.0,0.0,11.968289549028633
R0430,FRAGILE,10.0,0.6666666666666666,10.670280467665512
R0431,EASY,10.0,0.0,39.35718425096679
R0432,EASY,10.0,0.0,9.16666513548081
R0433,EASY,10.0,0.0,9.6336875513759
R0434,EASY,10.0,0.0,17.03410477375809
R0435,EASY,10.0,1.0,7.755701937342184
R0436,EASY,10.0,0.0,19.254169156905316
R0437,EASY,10.0,1.0,8.748254448751343
R0438,EASY,10.0,0.0,56.241375500485454
R0439,MARGINAL,10.0,0.0,20.881324071643775
R0440,EASY,10.0,0.0,24.178604009083756
R0441,EASY,10.0,0.0,13.51635246100904
R0442,EASY,10.0,0.6666666666666666,15.405543659839317
R0443,EASY,10.0,1.0,9.498029423816318
R0444,EASY,10.0,0.3333333333333333,13.4993774006432
R0445,EASY,10.0,1.0,9.606088182379589
R0446,EASY,10.0,0.0,15.326282703889651
R0447,EASY,10.0,0.0,10.013199889503618
R0448,EASY,10.0,0.0,18.260935361742956
R0449,EASY,10.0,0.0,11.35001717566216
R0450,EASY,10.0,0.0,14.059650923329713
R0451,EASY,10.0,0.6666666666666666,9.51454749195859
R0452,EASY,10.0,0.3333333333333333,9.733955595647084
R0453,EASY,10.0,0.0,18.996960221735957
R0454,EASY,10.0,1.0,7.931657127192806
R0455,EASY,10.0,0.6666666666666666,8.54085340798425
R0456,EASY,10.0,0.0,9.111016805899652
R0457,EASY,10.0,0.0,13.347667473392738
R0458,EASY,10.0,1.0,7.684223549354411
R0459,EASY,10.0,1.0,7.179352219348815
R0460,EASY,10.0,0.0,15.80917248733221
R0461,EASY,10.0,1.0,10.371999903927264
R0462,EASY,10.0,0.0,20.40024861445681
R0463,EASY,10.0,0.0,8.491430541912235
R0464,EASY,10.0,0.0,35.413046736428264
R0465,EASY,10.0,1.0,7.907101437276755
R0466,EASY,10.0,0.0,26.621547752551823
R0467,EASY,10.0,0.3333333333333333,8.224830603759509
R0468,EASY,10.0,1.0,6.991238217209212
R0469,EASY,10.0,1.0,10.332477684485466
