case_id,case_label,parameter,n_envelope_decreases,max_drop_deg,decrease_at_param_values
easy_regime,Easy regime,servo_slew_deg_s,0,0.0,
easy_regime,Easy regime,max_gimbal_deg,2,10.0,"10, 18"
easy_regime,Easy regime,Kp,4,10.0,"5, 10, 20, 30"
easy_regime,Easy regime,Kd,0,0.0,
fragile_regime,Fragile regime,servo_slew_deg_s,0,0.0,
fragile_regime,Fragile regime,max_gimbal_deg,5,10.0,"4, 6, 8, 12, 15"
fragile_regime,Fragile regime,Kp,2,10.0,"15, 30"
fragile_regime,Fragile regime,Kd,0,0.0,
hard_regime,Hard regime,servo_slew_deg_s,0,0.0,
hard_regime,Hard regime,max_gimbal_deg,1,5.0,6
hard_regime,Hard regime,Kp,0,0.0,
hard_regime,Hard regime,Kd,0,0.0,
