case_id,case_label,parameter,n_points,frac_at_ceiling,n_unique_envelope_levels,min_envelope_deg,max_envelope_deg,estimated_quantization_step_deg
easy_regime,Easy regime,servo_slew_deg_s,9,0.0,5,0.0,25.0,5.0
easy_regime,Easy regime,max_gimbal_deg,8,0.5,3,15.0,30.0,5.0
easy_regime,Easy regime,Kp,9,0.1111111111111111,5,0.0,30.0,5.0
easy_regime,Easy regime,Kd,9,0.0,5,0.0,25.0,5.0
fragile_regime,Fragile regime,servo_slew_deg_s,9,0.1111111111111111,6,0.0,30.0,5.0
fragile_regime,Fragile regime,max_gimbal_deg,8,0.125,6,0.0,30.0,5.0
fragile_regime,Fragile regime,Kp,9,0.0,3,0.0,15.0,5.0
fragile_regime,Fragile regime,Kd,9,0.0,3,0.0,15.0,5.0
hard_regime,Hard regime,servo_slew_deg_s,9,0.0,1,0.0,0.0,0.0
hard_regime,Hard regime,max_gimbal_deg,8,0.0,2,0.0,5.0,5.0
hard_regime,Hard regime,Kp,9,0.0,1,0.0,0.0,0.0
hard_regime,Hard regime,Kd,9,0.0,1,0.0,0.0,0.0
