task,static_margin,servo_slew,best_Kp,best_Kd,success_rate,rms_deg,settling_s,mean_max_theta
hold,-0.3,60,80,2,1.0,0.055919590863618016,0.0,0.1402360300341364
hold,-0.2,60,80,2,1.0,0.055920124607547195,0.0,0.14023852303838275
hold,-0.1,60,80,2,1.0,0.055920658356903165,0.0,0.14024101601769043
hold,-0.05,60,80,2,1.0,0.05592092523361579,0.0,0.14024226249799002
hold,0.0,60,80,2,1.0,0.055921192111684656,0.0,0.14024350897205207
hold,0.05,60,80,2,1.0,0.055921458991109604,0.0,0.14024475543987594
hold,0.1,60,80,2,1.0,0.05592172587189048,0.0,0.14024600190146047
hold,0.2,60,80,2,1.0,0.05592225963751944,0.0,0.14024849480590823
hold,0.3,60,80,2,1.0,0.05592279340857028,0.0,0.14025098768538813
hold,-0.3,120,80,2,1.0,0.055919590863618016,0.0,0.1402360300341364
hold,-0.2,120,80,2,1.0,0.055920124607547195,0.0,0.14023852303838275
hold,-0.1,120,80,2,1.0,0.055920658356903165,0.0,0.14024101601769043
hold,-0.05,120,80,2,1.0,0.05592092523361579,0.0,0.14024226249799002
hold,0.0,120,80,2,1.0,0.055921192111684656,0.0,0.14024350897205207
hold,0.05,120,80,2,1.0,0.055921458991109604,0.0,0.14024475543987594
hold,0.1,120,80,2,1.0,0.05592172587189048,0.0,0.14024600190146047
hold,0.2,120,80,2,1.0,0.05592225963751944,0.0,0.14024849480590823
hold,0.3,120,80,2,1.0,0.05592279340857028,0.0,0.14025098768538813
hold,-0.3,200,80,2,1.0,0.055919590863618016,0.0,0.1402360300341364
hold,-0.2,200,80,2,1.0,0.055920124607547195,0.0,0.14023852303838275
hold,-0.1,200,80,2,1.0,0.055920658356903165,0.0,0.14024101601769043
hold,-0.05,200,80,2,1.0,0.05592092523361579,0.0,0.14024226249799002
hold,0.0,200,80,2,1.0,0.055921192111684656,0.0,0.14024350897205207
hold,0.05,200,80,2,1.0,0.055921458991109604,0.0,0.14024475543987594
hold,0.1,200,80,2,1.0,0.05592172587189048,0.0,0.14024600190146047
hold,0.2,200,80,2,1.0,0.05592225963751944,0.0,0.14024849480590823
hold,0.3,200,80,2,1.0,0.05592279340857028,0.0,0.14025098768538813
hold,-0.3,400,80,2,1.0,0.055919590863618016,0.0,0.1402360300341364
hold,-0.2,400,80,2,1.0,0.055920124607547195,0.0,0.14023852303838275
hold,-0.1,400,80,2,1.0,0.055920658356903165,0.0,0.14024101601769043
hold,-0.05,400,80,2,1.0,0.05592092523361579,0.0,0.14024226249799002
