latency_steps,gyro_noise_std,p_unstable,slew_transition_count
1,0.005,4,0
1,0.005,6,0
1,0.005,8,0
1,0.005,10,1
1,0.01,4,0
1,0.01,6,0
1,0.01,8,0
1,0.01,10,1
1,0.02,4,0
1,0.02,6,0
1,0.02,8,0
1,0.02,10,1
1,0.04,4,0
1,0.04,6,0
1,0.04,8,0
1,0.04,10,1
2,0.005,4,0
2,0.005,6,0
2,0.005,8,0
2,0.005,10,1
2,0.01,4,0
2,0.01,6,0
2,0.01,8,0
2,0.01,10,1
2,0.02,4,0
2,0.02,6,0
2,0.02,8,0
2,0.02,10,1
2,0.04,4,0
2,0.04,6,0
2,0.04,8,0
2,0.04,10,1
4,0.005,4,0
4,0.005,6,0
4,0.005,8,0
4,0.005,10,1
4,0.01,4,0
4,0.01,6,0
4,0.01,8,0
4,0.01,10,1
4,0.02,4,0
4,0.02,6,0
4,0.02,8,0
4,0.02,10,1
4,0.04,4,0
4,0.04,6,0
4,0.04,8,0
4,0.04,10,1
8,0.005,4,0
8,0.005,6,0
8,0.005,8,0
8,0.005,10,1
8,0.01,4,0
8,0.01,6,0
8,0.01,8,0
8,0.01,10,1
8,0.02,4,0
8,0.02,6,0
8,0.02,8,0
8,0.02,10,1
8,0.04,4,0
8,0.04,6,0
8,0.04,8,0
8,0.04,10,1
