rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R2334,2.484039347537522,1,0.0980151495600295,0.6125495017326236,6.326020842917098,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.9135491538064782
R0496,2.5987846513962314,3,0.0732401719469804,0.9863190334059792,3.071300893064292,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.706591271149423
R3042,3.569803627546137,5,0.0900927032332297,1.362966934026701,3.755508562006165,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.1896121345987818
R1655,3.105300839240261,3,0.0805176398545744,1.3885234125649475,2.86590401979413,162.34034009544706,1.0,1.0,1.0,1.0,1.0,1.3034186729295307
R3484,4.145347426287864,3,0.049740052382803,1.422315792354885,2.30723203409943,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.176160667378249
R3110,4.350317224886372,3,0.0331232107688111,0.7858512425516153,2.918321551624438,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.1911257530321036
R0620,4.108432543772103,3,0.0739464109655157,1.2426022679088522,3.891179367916768,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.0227915791930402
R2883,2.8370082322625976,3,0.0987212597199287,2.0131211432344216,2.214223756376014,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.9009857132404788
R3756,2.4928872042848966,5,0.0825356923803627,1.1690194201521265,2.801191714248921,227.9230326898601,2.0,1.0,1.0,1.0,1.0,1.222466014750357
R0998,4.307320469721345,5,0.0953185857737421,2.054208666490429,3.1809756867537344,115.62844575768013,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.481167418051203
R1816,1.8759379817680493,6,0.064562003003397,0.5714443177194168,3.3731968440310545,162.34034009544706,1.0,1.0,1.0,1.0,1.0,1.0437286026675725
R2209,2.7591894013559517,6,0.0925592612678181,0.626443962420444,6.488425114539064,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5499605024433337
R2199,4.538831314868173,5,0.0519457613616257,1.2507961921639843,3.0000447976007263,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.5302592073993513
R1926,7.751912352518925,1,0.0608547380862339,1.6472158918880266,4.557984661340242,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8147599244311169
R0622,5.658209561410346,2,0.0704204336247208,1.358588712893813,4.667774344964451,115.62844575768013,1.0,1.0,1.0,1.0,1.0,0.8549714708893326
R2057,5.905686840306137,5,0.0940550974652248,0.9880596135317916,8.947253357839442,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.6996247981012612
R3852,6.822793308617269,5,0.0493696881046281,1.188813751094189,4.509505387237463,162.34034009544706,2.0,1.0,1.0,1.0,1.0,1.5412759569371015
R2444,5.4042760229647975,5,0.0888616399596712,1.7344908769126908,4.406562742875305,82.35745631970453,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,2.1274786920178173
R2952,5.294414993539196,4,0.0659417808510242,0.8515562926704594,6.525073687314478,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.432881314618445
R1107,6.024962808829157,1,0.024654043365738,0.5776832026194336,4.092351395450868,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.4882696763954038
R2501,5.385411806206925,5,0.0986069546606068,1.5459816795627246,5.4669141388642,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.3300700889510535
R0086,5.357535333825297,2,0.019347410341342,0.5973043459306794,2.761927941747703,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.3376712225978975
R2794,7.213963992399909,6,0.0432800291506922,2.1225345663484543,2.3411372487404725,82.35745631970453,1.0,0.9333333333333332,1.0,0.9333333333333332,0.9333333333333332,1.7813893285699496
R0627,5.679558170870818,3,0.0660140339563234,1.832252566177404,3.256758964643404,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.9403575765844916
R1322,6.4503162202858215,3,0.0621148167141006,1.4172753431467773,4.499270603531098,115.62844575768013,1.0,1.0,1.0,1.0,1.0,1.0633036108629108
R0207,5.782235645353752,6,0.0728282545107096,0.8215170575713482,8.158291788813363,41.78105458855241,1.0,1.0,1.0,1.0,1.0,0.7397467858989507
R0366,7.928673286614513,2,0.039015553307183,0.9846517222560818,5.000066490018693,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.5327871489151923
R1486,7.899016774810745,3,0.0578081278890845,0.6082794715986692,11.947551542473722,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7413059195340367
R0049,8.15770553810636,2,0.0393627594993225,1.387383091381711,3.6836409819160782,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8884434155254349
