firmware,p_unstable,assumed_slew_deg_s,assumed_servo_max_deg,validator_region,proposed_practice_call,actual_success_rate_shipped_gains,actual_outcome_with_shipped_gains,would_validator_have_warned,would_validator_have_fixed_it
tomkuttler/TVC-Flight,0,60,5,RESCUE,GO,0.166666666666667,FAIL,0,1
tomkuttler/TVC-Flight,2,60,5,RESCUE,GO,0,FAIL,0,1
tomkuttler/TVC-Flight,4,60,5,RESCUE,GO,0,FAIL,0,1
tomkuttler/TVC-Flight,6,60,5,RESCUE,GO,0,FAIL,0,1
tomkuttler/TVC-Flight,8,60,5,RESCUE,GO,0,FAIL,0,1
tomkuttler/TVC-Flight,10,60,5,RESCUE,GO,0,FAIL,0,1
tomkuttler/TVC-Flight,12,60,5,RESCUE,GO,0,FAIL,0,1
AdamMarciniak/FCV1,0,90,6,RESCUE,GO,1,PASS,0,0
AdamMarciniak/FCV1,2,90,6,RESCUE,GO,0.833333333333333,MARGINAL,0,1
AdamMarciniak/FCV1,4,90,6,RESCUE,GO,0,FAIL,0,1
AdamMarciniak/FCV1,6,90,6,RESCUE,GO,0,FAIL,0,1
AdamMarciniak/FCV1,8,90,6,RESCUE,GO,0,FAIL,0,1
AdamMarciniak/FCV1,10,90,6,RESCUE,GO,0,FAIL,0,1
AdamMarciniak/FCV1,12,90,6,RESCUE,GO,0,FAIL,0,1
PrajNasa/Dhumaketu,0,90,7,RESCUE,GO,1,PASS,0,0
PrajNasa/Dhumaketu,2,90,7,RESCUE,GO,1,PASS,0,0
PrajNasa/Dhumaketu,4,90,7,RESCUE,GO,0.833333333333333,MARGINAL,0,1
PrajNasa/Dhumaketu,6,90,7,RESCUE,GO,0,FAIL,0,1
PrajNasa/Dhumaketu,8,90,7,RESCUE,GO,0,FAIL,0,1
PrajNasa/Dhumaketu,10,90,7,RESCUE,GO,0,FAIL,0,1
PrajNasa/Dhumaketu,12,90,7,RESCUE,GO,0,FAIL,0,1
