rocket_id,delay_mode,lat,keff,Pi,Kp_probe,best_kd,sr,fsat,regime
R0048,integer,3,25.861,232.8,63.33,0.57,1.0,0.6242,saturation
R0048,jitter_1,3,25.861,232.8,63.33,0.57,0.3,0.2727,transitional
R0048,firstlag,3,25.861,232.8,63.33,0.57,1.0,0.0,linear
R0048,lag_delay,3,25.861,232.8,63.33,0.57,1.0,0.0012,linear
R0200,integer,4,9.159,146.5,47.5,0.57,1.0,0.0962,linear
R0200,jitter_1,4,9.159,146.5,47.5,0.57,1.0,0.0571,linear
R0200,firstlag,4,9.159,146.5,47.5,0.57,1.0,0.0,linear
R0200,lag_delay,4,9.159,146.5,47.5,0.57,1.0,0.0,linear
R0207,integer,5,22.899,572.5,38.0,0.57,0.7,0.7543,saturation
R0207,jitter_1,5,22.899,572.5,38.0,0.57,0.1,0.2975,transitional
R0207,firstlag,5,22.899,572.5,38.0,0.57,1.0,0.0,linear
R0207,lag_delay,5,22.899,572.5,38.0,0.57,1.0,0.373,saturation
R1119,integer,4,11.061,177.0,47.5,0.57,1.0,0.3541,saturation
R1119,jitter_1,4,11.061,177.0,47.5,0.57,1.0,0.0723,linear
R1119,firstlag,4,11.061,177.0,47.5,0.57,1.0,0.0,linear
R1119,lag_delay,4,11.061,177.0,47.5,0.57,1.0,0.0,linear
R1513,integer,6,24.076,866.7,31.67,3.167,0.25,0.8726,saturation
R1513,jitter_1,6,24.076,866.7,31.67,0.57,0.0,0.3463,transitional
R1513,firstlag,6,24.076,866.7,31.67,0.57,1.0,0.0,linear
R1513,lag_delay,6,24.076,866.7,31.67,0.57,1.0,0.722,saturation
R1641,integer,4,25.462,407.4,47.5,0.57,0.95,0.713,saturation
R1641,jitter_1,4,25.462,407.4,47.5,0.57,0.15,0.2898,transitional
R1641,firstlag,4,25.462,407.4,47.5,0.57,1.0,0.0,linear
R1641,lag_delay,4,25.462,407.4,47.5,0.57,1.0,0.5192,saturation
R2058,integer,4,17.187,275.0,47.5,0.57,1.0,0.6828,saturation
R2058,jitter_1,4,17.187,275.0,47.5,0.57,0.6,0.5277,saturation
R2058,firstlag,4,17.187,275.0,47.5,0.57,1.0,0.0,linear
R2058,lag_delay,4,17.187,275.0,47.5,0.57,1.0,0.0001,linear
R2069,integer,5,18.167,454.2,38.0,0.57,1.0,0.3081,transitional
R2069,jitter_1,5,18.167,454.2,38.0,12.16,0.35,0.1454,transitional
R2069,firstlag,5,18.167,454.2,38.0,0.57,1.0,0.0,linear
R2069,lag_delay,5,18.167,454.2,38.0,0.57,1.0,0.0038,linear
R2072,integer,6,33.474,1205.1,31.67,0.57,0.4,0.816,saturation
R2072,jitter_1,6,33.474,1205.1,31.67,0.57,0.05,0.3605,saturation
R2072,firstlag,6,33.474,1205.1,31.67,0.57,1.0,0.0,linear
R2072,lag_delay,6,33.474,1205.1,31.67,0.57,1.0,0.7528,saturation
R2229,integer,2,26.117,104.5,95.0,0.57,1.0,0.0,linear
R2229,jitter_1,2,26.117,104.5,95.0,0.57,1.0,0.0009,linear
R2229,firstlag,2,26.117,104.5,95.0,0.57,1.0,0.0,linear
R2229,lag_delay,2,26.117,104.5,95.0,0.57,1.0,0.0,linear
