rocket_id,regime,kp_full_t0,kp_simple_t0,kp_wind_only_t0,kp_noise_only_t0,kp_simple_t10,kp_wind_t10
R0091,FRAGILE,80,2,80,40,40,40
R0146,FRAGILE,5,2,80,40,2,5
R0267,FRAGILE,80,2,80,80,5,80
R0373,FRAGILE,80,2,80,40,2,15
R0430,FRAGILE,80,2,80,40,80,80
R0491,FRAGILE,15,2,80,80,80,15
R0503,FRAGILE,40,2,40,80,40,15
R0504,FRAGILE,15,2,80,80,80,80
R0523,FRAGILE,40,2,80,80,15,15
R0641,FRAGILE,80,2,80,80,80,80
R0671,FRAGILE,15,2,80,80,2,80
R0680,FRAGILE,40,2,80,40,80,80
R0688,FRAGILE,80,2,80,80,80,80
R0748,FRAGILE,15,2,80,80,40,15
R0759,FRAGILE,40,2,80,80,80,80
R0866,FRAGILE,15,2,80,80,80,80
R0954,FRAGILE,80,2,80,80,80,80
R0958,FRAGILE,80,2,80,80,80,80
R0982,FRAGILE,40,2,80,40,80,15
R1021,FRAGILE,40,2,80,40,5,15
R1070,FRAGILE,15,2,80,80,5,80
R1082,FRAGILE,40,2,80,80,40,15
R1094,FRAGILE,15,2,80,40,40,15
R1165,FRAGILE,80,2,80,40,40,40
R1171,FRAGILE,80,2,80,40,80,80
R0393,EASY,80,2,80,80,5,5
R0625,EASY,80,2,80,40,40,15
R0299,EASY,40,2,80,40,80,80
R0270,EASY,80,2,80,40,80,80
R0460,EASY,40,2,80,40,5,15
R1132,EASY,15,2,80,80,80,80
R0897,EASY,80,2,80,80,80,80
R0476,EASY,80,2,80,40,80,15
R0880,EASY,40,2,80,40,5,5
R0617,EASY,80,2,40,40,80,80
R0668,EASY,80,2,80,40,80,15
R0408,EASY,80,2,80,40,40,80
R0262,EASY,80,2,40,80,80,80
R0757,EASY,40,2,80,40,40,80
R0312,EASY,80,2,80,40,80,15
R1037,EASY,80,2,40,80,2,80
R1041,EASY,80,2,80,40,80,5
R0149,EASY,80,2,80,40,80,80
R0502,EASY,80,2,80,40,2,2
R0054,EASY,80,2,80,40,40,15
