rocket_id,regime_label,regime_code,boundary_distance,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id
R0001,EASY,2,2.26287015451722,0.441388854212445,93.7439005207043,10.0074196065162,0.667161307101081,20,8,1,1,1,1,1.81271004682865,0.0301470580457273,0.0553999641773891,-36.9723515162606,13.9341002294701,27.8735155219467,0.0546811439540159,0.0462833258533795,5,0.261988816718031,93.7439005207043,10.0074196065162,1
R0002,INFEASIBLE,0,-1.66508427206459,0.684209601162738,46.159305757592,9.40178736326807,0.626785824217872,20,32,0,0,0,0,1.67260668873046,0.0193169147202039,0.100970707606448,-41.7274340653931,7.94706989411083,49.0814277510698,0.142715347759522,0.117313786667329,2,0.302517554294677,46.159305757592,9.40178736326807,2
R0003,INFEASIBLE,0,-1.77626852383885,0.503001622142429,41.8405813086407,9.47249608847142,0.631499739231428,20,32,0,0,0,0,0.98575579362534,0.0373519954675657,0.059910104544926,-42.4270155009749,6.33148993961315,33.0527581697589,0.137173205501234,0.24727054952588,4,0.159151827926813,41.8405813086407,9.47249608847142,3
R0004,EASY,2,2.27365865267971,0.689012783874128,109.398299432357,10.8246500324254,0.721643335495029,20,8,1,1,1,1,1.86543816556375,0.0365471550809134,0.0853675553436372,-41.0079909534073,8.05386716811932,33.4140773047215,0.123047714092491,0.057392709820752,3,0.228028163447768,109.398299432357,10.8246500324254,4
R0005,EASY,2,1.754363045125,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,20,16,1,1,1,1,1.79331043182861,0.0174023232586942,0.160127384172173,-39.4717152020351,7.54749615964442,35.9457711484664,0.0175994226028478,0.00895147320632883,4,0.442057815118713,30.0026068023538,8.83795803839496,5
R0006,FRAGILE,1,0,0.829735514007218,79.8962088372627,10.8098426882024,0.720656179213493,20,32,1,1,1,1,1.95124718809804,0.0373305976923969,0.080596551888793,-48.3414713869755,11.8283499525465,28.5400449854355,0.0564146725744233,0.209578889103885,5,0.181804601443928,79.8962088372627,10.8098426882024,6
R0007,EASY,2,2.67045788640601,1.60612545656604,118.347183735117,9.33833020027904,0.62255534668527,20,16,1,1,1,1,0.94941260653112,0.0317746259231077,0.228858741302987,-35.7533446908193,6.38057181811749,33.594701588335,0.0585350788395538,0.0290364670103973,5,0.325376903678207,118.347183735117,9.33833020027904,7
R0008,INFEASIBLE,0,-1.70832122079064,1.58490164867255,25.050235900846,10.2215898002244,0.681439320014963,20,32,0,0,0,0,0.916891222684164,0.0210287713441137,0.174360294169268,-43.7858890150097,10.0644880145635,30.0344893675809,0.0669190755994681,0.116680873371933,4,0.256850303762696,25.050235900846,10.2215898002244,8
R0009,INFEASIBLE,0,-1.25932008988403,0.826915833894756,39.8489842491799,10.7378250558643,0.715855003724287,20,32,0,1,0,0.333333333333333,1.78923308895481,0.0245633819490671,0.113394374070889,-39.0703555381879,8.22373239955575,37.1549331254306,0.0818801156048036,0.122678518985722,4,0.227231918203584,39.8489842491799,10.7378250558643,9
R0010,EASY,2,2.16521636653409,1.40805797836092,46.8709440633859,12.1957494845683,0.813049965637886,20,32,1,1,1,1,1.03367886834452,0.0206113852838756,0.178556432524055,-38.9046477387026,13.5135687348463,31.5046208243412,0.00695615223812123,0.0415158310617478,3,0.216940519117479,46.8709440633859,12.1957494845683,10
