factor,metric,spearman_rho,spearman_p,rank_eta2,kw_p,pct_change,rank_var_explained,n,active
p_unstable,envelope_cmd_deg,-0.681550038119141,2.76144016123271e-24,0.570352883549301,7.12452503553855e-19,437.5,0.464510454460203,168,1
p_unstable,bounded_window_s,-0.835757854493952,4.46624964289114e-45,0.709576475207945,1.449732846165e-23,144.214217405164,0.698491191348334,168,1
p_unstable,peak_att_rate_deg_s,0.676712817908454,7.65128113293978e-24,0.571986894834384,6.27935180255681e-19,128.399311563014,0.457940237921601,168,1
p_unstable,overshoot_pct,0.214147036238573,0.00531410119678694,0.26132100058888,1.14275713948519e-08,87.6142707726935,0.0458589531297645,168,1
p_unstable,actuator_sat_frac,0.612744048536663,1.075294810311e-18,0.55724817686774,1.9604634848663e-18,56.3059958649207,0.375455269017101,168,1
servo_slew_deg_s,envelope_cmd_deg,0.367059506905794,9.87876971382069e-07,0.110521864290709,0.000352048703976825,0,0.134732681609925,168,0
servo_slew_deg_s,bounded_window_s,0.183873888496522,0.0170390853915204,0.0149160265562382,0.191467917595958,51.6416958877909,0.0338096068708314,168,1
servo_slew_deg_s,peak_att_rate_deg_s,0.330681292430934,1.19817041411383e-05,0.104397423766465,0.000544063399570225,68.8401460417276,0.109350117163793,168,1
servo_slew_deg_s,overshoot_pct,-0.0765004194554928,0.324328998742472,0.0117626977479454,0.227759445373702,53.4704175646669,0.00585231417686634,168,0
servo_slew_deg_s,actuator_sat_frac,-0.188727027052029,0.014286561556504,0.0231874761220326,0.119185256151432,21.2267401791868,0.0356178907398972,168,1
max_gimbal_deg,envelope_cmd_deg,0,1,0,1,0,0,168,0
max_gimbal_deg,bounded_window_s,0,1,0,1,0,0,168,0
max_gimbal_deg,peak_att_rate_deg_s,0,1,0,1,0,0,168,0
max_gimbal_deg,overshoot_pct,0,1,0,1,0,0,168,0
max_gimbal_deg,actuator_sat_frac,-0.210834695515535,0.0060837565803379,0.027103490293156,0.0589893317940678,8.75258442453473,0.0444512688331284,168,1
Kp,envelope_cmd_deg,-0.261425560886629,0.00061959772642969,0.0461746637348574,0.0212428745624105,0,0.0683433238848885,168,0
Kp,bounded_window_s,-0.12503837951018,0.106326536331475,0.0135251835514763,0.184380436193187,38.3487408351928,0.0156345963505317,168,0
Kp,peak_att_rate_deg_s,0.175455334480251,0.022914431248462,0.0138300130034997,0.180945405847246,44.7147405123517,0.0307845743975766,168,1
Kp,overshoot_pct,0.370826569929988,7.49227356581679e-07,0.132100116337964,3.93133613874093e-05,54.7906358225181,0.13751234496604,168,1
Kp,actuator_sat_frac,0.550079433790288,1.13420368089975e-14,0.295196347015598,1.30388715388785e-10,34.3211578221916,0.302587383479044,168,1
Kd,envelope_cmd_deg,0.61612837721984,6.1428184286909e-19,0.522137156160031,2.03654713861372e-18,350,0.379614177215554,168,1
Kd,bounded_window_s,0.792120679859115,1.98947112924723e-37,0.714525943214228,4.24381797039749e-25,138.667516735735,0.627455171460466,168,1
Kd,peak_att_rate_deg_s,-0.595826552644218,1.60129821364489e-17,0.4360545661705,1.91934814791589e-15,82.2624556652592,0.355009280835894,168,1
Kd,overshoot_pct,-0.230069928462113,0.00269860019032078,0.187026814469327,5.92496316578913e-07,75.0356959419096,0.0529321719825618,168,1
Kd,actuator_sat_frac,-0.382049709356416,3.21896228180361e-07,0.371578207405222,3.17417516091036e-13,68.2288077188146,0.145961980419322,168,1
