factor,metric,effect_size,p_value,active_flag,interpretation
p_unstable,envelope_cmd_deg,0.681550038119141,2.76144016123271e-24,ACTIVE,rho=-0.682 pS=2.8e-24 etaR=0.570 pKW=7.1e-19 pctChange=437.5% varRank=0.465
p_unstable,bounded_window_s,0.835757854493952,4.46624964289114e-45,ACTIVE,rho=-0.836 pS=4.5e-45 etaR=0.710 pKW=1.4e-23 pctChange=144.2% varRank=0.698
p_unstable,peak_att_rate_deg_s,0.676712817908454,7.65128113293978e-24,ACTIVE,rho=0.677 pS=7.7e-24 etaR=0.572 pKW=6.3e-19 pctChange=128.4% varRank=0.458
p_unstable,overshoot_pct,0.26132100058888,1.14275713948519e-08,ACTIVE,rho=0.214 pS=0.0053 etaR=0.261 pKW=1.1e-08 pctChange=87.6% varRank=0.046
p_unstable,actuator_sat_frac,0.612744048536663,1.075294810311e-18,ACTIVE,rho=0.613 pS=1.1e-18 etaR=0.557 pKW=2e-18 pctChange=56.3% varRank=0.375
servo_slew_deg_s,envelope_cmd_deg,0.367059506905794,9.87876971382069e-07,INACTIVE,rho=0.367 pS=9.9e-07 etaR=0.111 pKW=0.00035 pctChange=0.0% varRank=0.135
servo_slew_deg_s,bounded_window_s,0.183873888496522,0.0170390853915204,ACTIVE,rho=0.184 pS=0.017 etaR=0.015 pKW=0.19 pctChange=51.6% varRank=0.034
servo_slew_deg_s,peak_att_rate_deg_s,0.330681292430934,1.19817041411383e-05,ACTIVE,rho=0.331 pS=1.2e-05 etaR=0.104 pKW=0.00054 pctChange=68.8% varRank=0.109
servo_slew_deg_s,overshoot_pct,0.0765004194554928,0.227759445373702,INACTIVE,rho=-0.077 pS=0.32 etaR=0.012 pKW=0.23 pctChange=53.5% varRank=0.006
servo_slew_deg_s,actuator_sat_frac,0.188727027052029,0.014286561556504,ACTIVE,rho=-0.189 pS=0.014 etaR=0.023 pKW=0.12 pctChange=21.2% varRank=0.036
max_gimbal_deg,envelope_cmd_deg,0,1,INACTIVE,rho=0.000 pS=1 etaR=0.000 pKW=1 pctChange=0.0% varRank=0.000
max_gimbal_deg,bounded_window_s,0,1,INACTIVE,rho=0.000 pS=1 etaR=0.000 pKW=1 pctChange=0.0% varRank=0.000
max_gimbal_deg,peak_att_rate_deg_s,0,1,INACTIVE,rho=0.000 pS=1 etaR=0.000 pKW=1 pctChange=0.0% varRank=0.000
max_gimbal_deg,overshoot_pct,0,1,INACTIVE,rho=0.000 pS=1 etaR=0.000 pKW=1 pctChange=0.0% varRank=0.000
max_gimbal_deg,actuator_sat_frac,0.210834695515535,0.0060837565803379,ACTIVE,rho=-0.211 pS=0.0061 etaR=0.027 pKW=0.059 pctChange=8.8% varRank=0.044
Kp,envelope_cmd_deg,0.261425560886629,0.00061959772642969,INACTIVE,rho=-0.261 pS=0.00062 etaR=0.046 pKW=0.021 pctChange=0.0% varRank=0.068
Kp,bounded_window_s,0.12503837951018,0.106326536331475,INACTIVE,rho=-0.125 pS=0.11 etaR=0.014 pKW=0.18 pctChange=38.3% varRank=0.016
Kp,peak_att_rate_deg_s,0.175455334480251,0.022914431248462,ACTIVE,rho=0.175 pS=0.023 etaR=0.014 pKW=0.18 pctChange=44.7% varRank=0.031
Kp,overshoot_pct,0.370826569929988,7.49227356581679e-07,ACTIVE,rho=0.371 pS=7.5e-07 etaR=0.132 pKW=3.9e-05 pctChange=54.8% varRank=0.138
Kp,actuator_sat_frac,0.550079433790288,1.13420368089975e-14,ACTIVE,rho=0.550 pS=1.1e-14 etaR=0.295 pKW=1.3e-10 pctChange=34.3% varRank=0.303
Kd,envelope_cmd_deg,0.61612837721984,6.1428184286909e-19,ACTIVE,rho=0.616 pS=6.1e-19 etaR=0.522 pKW=2e-18 pctChange=350.0% varRank=0.380
Kd,bounded_window_s,0.792120679859115,1.98947112924723e-37,ACTIVE,rho=0.792 pS=2e-37 etaR=0.715 pKW=4.2e-25 pctChange=138.7% varRank=0.627
Kd,peak_att_rate_deg_s,0.595826552644218,1.60129821364489e-17,ACTIVE,rho=-0.596 pS=1.6e-17 etaR=0.436 pKW=1.9e-15 pctChange=82.3% varRank=0.355
Kd,overshoot_pct,0.230069928462113,5.92496316578913e-07,ACTIVE,rho=-0.230 pS=0.0027 etaR=0.187 pKW=5.9e-07 pctChange=75.0% varRank=0.053
Kd,actuator_sat_frac,0.382049709356416,3.17417516091036e-13,ACTIVE,rho=-0.382 pS=3.2e-07 etaR=0.372 pKW=3.2e-13 pctChange=68.2% varRank=0.146
