cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,envelope_cmd_deg,envelope_cmd_ratio,reference_cmd_deg,pass_at_reference_cmd,success_at_reference_cmd,rms_err_at_reference_cmd_deg,peak_err_at_reference_cmd_deg,slew_sat_at_reference_cmd
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,0,0,20,0,0,39.0114634874352,72.4526903237145,0.997303921568628
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,0,0,20,0,0,39.0114634874352,72.4526903237145,0.997303921568628
3,FRAGILE,1,0,20,12,0.8,10,16,0,0,20,0,0,39.0114634874352,72.4526903237145,0.997303921568628
4,FRAGILE,1,0,20,15,1,10,16,0,0,20,0,0,39.0114634874352,72.4526903237145,0.997303921568628
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,5,0.166666666666667,20,0,0,44.4572410967018,75.5380603020385,0.997549019607843
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,5,0.166666666666667,20,0,0,44.4572410967018,75.5380603020385,0.997549019607843
7,INFEASIBLE,0,0,30,12,0.8,10,24,5,0.166666666666667,20,0,0,44.4572410967018,75.5380603020385,0.997549019607843
8,INFEASIBLE,0,0,30,15,1,10,24,5,0.166666666666667,20,0,0,44.4572410967018,75.5380603020385,0.997549019607843
9,FRAGILE,1,0,45,8,0.533333333333333,10,24,10,0.333333333333333,20,0,0,26.7814377219489,61.8505121300338,0.997549019607843
10,FRAGILE,1,0,45,10,0.666666666666667,10,24,10,0.333333333333333,20,0,0,26.7814377219489,61.8505121300338,0.997549019607843
11,FRAGILE,1,0,45,12,0.8,10,24,10,0.333333333333333,20,0,0,26.7814377219489,61.8505121300338,0.997549019607843
12,FRAGILE,1,0,45,15,1,10,24,10,0.333333333333333,20,0,0,26.7814377219489,61.8505121300338,0.997549019607843
13,FRAGILE,1,0,60,8,0.533333333333333,10,24,15,0.5,20,0,0.333333333333333,17.9384348873739,37.3628333140015,0.997794117647059
14,EASY,2,0,60,10,0.666666666666667,10,24,15,0.5,20,0,0.333333333333333,17.9384348873739,37.3628333140015,0.997794117647059
15,EASY,2,0,60,12,0.8,10,24,15,0.5,20,0,0.333333333333333,17.9384348873739,37.3628333140015,0.997794117647059
16,EASY,2,0,60,15,1,10,24,15,0.5,20,0,0.333333333333333,17.9384348873739,37.3628333140015,0.997794117647059
17,FRAGILE,1,0,75,8,0.533333333333333,10,16,15,0.5,20,0,0.666666666666667,16.1008471797974,31.5079793610772,0.99656862745098
18,EASY,2,0,75,10,0.666666666666667,10,16,15,0.5,20,0,0.666666666666667,16.1008471797974,31.5079793610772,0.99656862745098
19,EASY,2,0,75,12,0.8,10,16,15,0.5,20,0,0.666666666666667,16.1008471797974,31.5079793610772,0.99656862745098
20,EASY,2,0,75,15,1,10,16,15,0.5,20,0,0.666666666666667,16.1008471797974,31.5079793610772,0.99656862745098
21,EASY,2,0,90,8,0.533333333333333,10,16,20,0.666666666666667,20,1,0.833333333333333,13.9153710388168,31.9327161432368,0.996323529411765
22,EASY,2,0,90,10,0.666666666666667,10,16,20,0.666666666666667,20,1,0.833333333333333,13.9153710388168,31.9327161432368,0.996323529411765
23,EASY,2,0,90,12,0.8,10,16,20,0.666666666666667,20,1,0.833333333333333,13.9153710388168,31.9327161432368,0.996323529411765
24,EASY,2,0,90,15,1,10,16,20,0.666666666666667,20,1,0.833333333333333,13.9153710388168,31.9327161432368,0.996323529411765
25,INFEASIBLE,0,1,20,8,0.533333333333333,10,8,0,0,20,0,0,48.5234201033623,90,0.993872549019608
26,INFEASIBLE,0,1,20,10,0.666666666666667,10,8,0,0,20,0,0,48.5234201033623,90,0.993872549019608
27,INFEASIBLE,0,1,20,12,0.8,10,8,0,0,20,0,0,48.5234201033623,90,0.993872549019608
28,INFEASIBLE,0,1,20,15,1,10,8,0,0,20,0,0,48.5234201033623,90,0.993872549019608
29,FRAGILE,1,1,30,8,0.533333333333333,10,8,0,0,20,0,0,66.2763995142213,90,0.995833333333333
30,FRAGILE,1,1,30,10,0.666666666666667,10,8,0,0,20,0,0,66.2763995142213,90,0.995833333333333
31,FRAGILE,1,1,30,12,0.8,10,8,0,0,20,0,0,66.2763995142213,90,0.995833333333333
32,FRAGILE,1,1,30,15,1,10,8,0,0,20,0,0,66.2763995142213,90,0.995833333333333
33,INFEASIBLE,0,1,45,8,0.533333333333333,10,24,5,0.166666666666667,20,0,0,40.8570082846633,70.4612976491338,0.997549019607843
34,INFEASIBLE,0,1,45,10,0.666666666666667,10,24,5,0.166666666666667,20,0,0,40.8570082846633,70.4612976491338,0.997549019607843
35,INFEASIBLE,0,1,45,12,0.8,10,24,5,0.166666666666667,20,0,0,40.8570082846633,70.4612976491338,0.997549019607843
36,INFEASIBLE,0,1,45,15,1,10,24,5,0.166666666666667,20,0,0,40.8570082846633,70.4612976491338,0.997549019607843
37,FRAGILE,1,1,60,8,0.533333333333333,10,24,10,0.333333333333333,20,0,0,26.8488571339302,59.4562983549311,0.997303921568628
38,FRAGILE,1,1,60,10,0.666666666666667,10,24,10,0.333333333333333,20,0,0,26.8488571339302,59.4562983549311,0.997303921568628
39,FRAGILE,1,1,60,12,0.8,10,24,10,0.333333333333333,20,0,0,26.8488571339302,59.4562983549311,0.997303921568628
40,FRAGILE,1,1,60,15,1,10,24,10,0.333333333333333,20,0,0,26.8488571339302,59.4562983549311,0.997303921568628
41,FRAGILE,1,1,75,8,0.533333333333333,10,16,10,0.333333333333333,20,0,0.333333333333333,23.2559458543156,48.6909076412561,0.994852941176471
42,FRAGILE,1,1,75,10,0.666666666666667,10,16,10,0.333333333333333,20,0,0.333333333333333,23.2559458543156,48.6909076412561,0.994852941176471
43,FRAGILE,1,1,75,12,0.8,10,16,10,0.333333333333333,20,0,0.333333333333333,23.2559458543156,48.6909076412561,0.994852941176471
44,FRAGILE,1,1,75,15,1,10,16,10,0.333333333333333,20,0,0.333333333333333,23.2559458543156,48.6909076412561,0.994852941176471
45,EASY,2,1,90,8,0.533333333333333,10,16,15,0.5,20,0,0.5,17.0108860842852,36.7440636091831,0.995588235294118
46,EASY,2,1,90,10,0.666666666666667,10,16,15,0.5,20,0,0.5,17.0108860842852,36.7440636091831,0.995588235294118
47,EASY,2,1,90,12,0.8,10,16,15,0.5,20,0,0.5,17.0108860842852,36.7440636091831,0.995588235294118
48,EASY,2,1,90,15,1,10,16,15,0.5,20,0,0.5,17.0108860842852,36.7440636091831,0.995588235294118
49,INFEASIBLE,0,2,20,8,0.533333333333333,10,16,0,0,20,0,0,71.4986823839832,82.8198797910498,0.997549019607843
50,INFEASIBLE,0,2,20,10,0.666666666666667,10,16,0,0,20,0,0,71.4986823839832,82.8198797910498,0.997549019607843
51,INFEASIBLE,0,2,20,12,0.8,10,16,0,0,20,0,0,71.4986823839832,82.8198797910498,0.997549019607843
52,INFEASIBLE,0,2,20,15,1,10,16,0,0,20,0,0,71.4986823839832,82.8198797910498,0.997549019607843
53,INFEASIBLE,0,2,30,8,0.533333333333333,45,24,0,0,20,0,0,59.7695815259745,87.353751554865,0.997549019607843
54,INFEASIBLE,0,2,30,10,0.666666666666667,45,24,0,0,20,0,0,59.7695815259745,87.353751554865,0.997549019607843
55,INFEASIBLE,0,2,30,12,0.8,45,24,0,0,20,0,0,59.7695815259745,87.353751554865,0.997549019607843
56,INFEASIBLE,0,2,30,15,1,45,24,0,0,20,0,0,59.7695815259745,87.353751554865,0.997549019607843
57,FRAGILE,1,2,45,8,0.533333333333333,60,8,0,0,20,0,0,81.6904263290975,90,0.997058823529412
58,FRAGILE,1,2,45,10,0.666666666666667,60,8,0,0,20,0,0,81.6904263290975,90,0.997058823529412
59,FRAGILE,1,2,45,12,0.8,60,8,0,0,20,0,0,81.6904263290975,90,0.997058823529412
60,FRAGILE,1,2,45,15,1,60,8,0,0,20,0,0,81.6904263290975,90,0.997058823529412
61,INFEASIBLE,0,2,60,8,0.533333333333333,45,4,0,0,20,0,0,83.7799317424525,90,0.992156862745098
62,INFEASIBLE,0,2,60,10,0.666666666666667,45,4,0,0,20,0,0,83.7799317424525,90,0.992156862745098
63,INFEASIBLE,0,2,60,12,0.8,45,4,0,0,20,0,0,83.7799317424525,90,0.992156862745098
64,INFEASIBLE,0,2,60,15,1,45,4,0,0,20,0,0,83.7799317424525,90,0.992156862745098
65,INFEASIBLE,0,2,75,8,0.533333333333333,10,24,5,0.166666666666667,20,0,0,64.3727617990507,86.7035191203694,0.997058823529412
66,INFEASIBLE,0,2,75,10,0.666666666666667,10,24,5,0.166666666666667,20,0,0,64.3727617990507,86.7035191203694,0.997058823529412
67,INFEASIBLE,0,2,75,12,0.8,10,24,5,0.166666666666667,20,0,0,64.3727617990507,86.7035191203694,0.997058823529412
68,INFEASIBLE,0,2,75,15,1,10,24,5,0.166666666666667,20,0,0,64.3727617990507,86.7035191203694,0.997058823529412
69,FRAGILE,1,2,90,8,0.533333333333333,10,16,10,0.333333333333333,20,0,0,50.3926149568925,90,0.99485294117647
70,FRAGILE,1,2,90,10,0.666666666666667,10,16,10,0.333333333333333,20,0,0,50.3926149568925,90,0.99485294117647
71,FRAGILE,1,2,90,12,0.8,10,16,10,0.333333333333333,20,0,0,50.3926149568925,90,0.99485294117647
72,FRAGILE,1,2,90,15,1,10,16,10,0.333333333333333,20,0,0,50.3926149568925,90,0.99485294117647
73,INFEASIBLE,0,3,20,8,0.533333333333333,10,24,0,0,20,0,0,88.2571053439074,90,0.99828431372549
74,INFEASIBLE,0,3,20,10,0.666666666666667,10,24,0,0,20,0,0,88.2571053439074,90,0.99828431372549
75,INFEASIBLE,0,3,20,12,0.8,10,24,0,0,20,0,0,88.2571053439074,90,0.99828431372549
76,INFEASIBLE,0,3,20,15,1,10,24,0,0,20,0,0,88.2571053439074,90,0.99828431372549
77,INFEASIBLE,0,3,30,8,0.533333333333333,45,24,0,0,20,0,0,81.478663508771,90,0.998529411764706
78,INFEASIBLE,0,3,30,10,0.666666666666667,45,24,0,0,20,0,0,81.478663508771,90,0.998529411764706
79,INFEASIBLE,0,3,30,12,0.8,45,24,0,0,20,0,0,81.478663508771,90,0.998529411764706
80,INFEASIBLE,0,3,30,15,1,45,24,0,0,20,0,0,81.478663508771,90,0.998529411764706
81,INFEASIBLE,0,3,45,8,0.533333333333333,30,24,0,0,20,0,0,78.0152280940059,90,0.99828431372549
82,INFEASIBLE,0,3,45,10,0.666666666666667,30,24,0,0,20,0,0,78.0152280940059,90,0.99828431372549
83,INFEASIBLE,0,3,45,12,0.8,30,24,0,0,20,0,0,78.0152280940059,90,0.99828431372549
84,INFEASIBLE,0,3,45,15,1,30,24,0,0,20,0,0,78.0152280940059,90,0.99828431372549
85,INFEASIBLE,0,3,60,8,0.533333333333333,20,4,0,0,20,0,0,82.3533113605598,90,0.980882352941176
86,INFEASIBLE,0,3,60,10,0.666666666666667,20,4,0,0,20,0,0,82.3533113605598,90,0.980882352941176
87,INFEASIBLE,0,3,60,12,0.8,20,4,0,0,20,0,0,82.3533113605598,90,0.980882352941176
88,INFEASIBLE,0,3,60,15,1,20,4,0,0,20,0,0,82.3533113605598,90,0.980882352941176
89,INFEASIBLE,0,3,75,8,0.533333333333333,60,12,0,0,20,0,0,86.7752441141263,90,0.997549019607843
90,INFEASIBLE,0,3,75,10,0.666666666666667,60,12,0,0,20,0,0,86.7752441141263,90,0.997549019607843
91,INFEASIBLE,0,3,75,12,0.8,60,12,0,0,20,0,0,86.7752441141263,90,0.997549019607843
92,INFEASIBLE,0,3,75,15,1,60,12,0,0,20,0,0,86.7752441141263,90,0.997549019607843
93,FRAGILE,1,3,90,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.987745098039216
94,FRAGILE,1,3,90,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.987745098039216
95,FRAGILE,1,3,90,12,0.8,10,4,0,0,20,0,0,90,90,0.987745098039216
96,FRAGILE,1,3,90,15,1,10,4,0,0,20,0,0,90,90,0.987745098039216
97,INFEASIBLE,0,4,20,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.993382352941177
98,INFEASIBLE,0,4,20,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.993382352941177
99,INFEASIBLE,0,4,20,12,0.8,10,4,0,0,20,0,0,90,90,0.993382352941177
100,INFEASIBLE,0,4,20,15,1,10,4,0,0,20,0,0,90,90,0.993382352941177
101,INFEASIBLE,0,4,30,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.993137254901961
102,INFEASIBLE,0,4,30,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.993137254901961
103,INFEASIBLE,0,4,30,12,0.8,10,4,0,0,20,0,0,90,90,0.993137254901961
104,INFEASIBLE,0,4,30,15,1,10,4,0,0,20,0,0,90,90,0.993137254901961
105,INFEASIBLE,0,4,45,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.988725490196078
106,INFEASIBLE,0,4,45,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.988725490196078
107,INFEASIBLE,0,4,45,12,0.8,10,4,0,0,20,0,0,90,90,0.988725490196078
108,INFEASIBLE,0,4,45,15,1,10,4,0,0,20,0,0,90,90,0.988725490196078
109,INFEASIBLE,0,4,60,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.989950980392157
110,INFEASIBLE,0,4,60,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.989950980392157
111,INFEASIBLE,0,4,60,12,0.8,10,4,0,0,20,0,0,90,90,0.989950980392157
112,INFEASIBLE,0,4,60,15,1,10,4,0,0,20,0,0,90,90,0.989950980392157
113,INFEASIBLE,0,4,75,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.987990196078432
114,INFEASIBLE,0,4,75,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.987990196078432
115,INFEASIBLE,0,4,75,12,0.8,10,4,0,0,20,0,0,90,90,0.987990196078432
116,INFEASIBLE,0,4,75,15,1,10,4,0,0,20,0,0,90,90,0.987990196078432
117,INFEASIBLE,0,4,90,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.985294117647059
118,INFEASIBLE,0,4,90,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.985294117647059
119,INFEASIBLE,0,4,90,12,0.8,10,4,0,0,20,0,0,90,90,0.985294117647059
120,INFEASIBLE,0,4,90,15,1,10,4,0,0,20,0,0,90,90,0.985294117647059
121,INFEASIBLE,0,5,20,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.994362745098039
122,INFEASIBLE,0,5,20,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.994362745098039
123,INFEASIBLE,0,5,20,12,0.8,10,4,0,0,20,0,0,90,90,0.994362745098039
124,INFEASIBLE,0,5,20,15,1,10,4,0,0,20,0,0,90,90,0.994362745098039
125,INFEASIBLE,0,5,30,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.994362745098039
126,INFEASIBLE,0,5,30,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.994362745098039
127,INFEASIBLE,0,5,30,12,0.8,10,4,0,0,20,0,0,90,90,0.994362745098039
128,INFEASIBLE,0,5,30,15,1,10,4,0,0,20,0,0,90,90,0.994362745098039
129,INFEASIBLE,0,5,45,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.993137254901961
130,INFEASIBLE,0,5,45,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.993137254901961
131,INFEASIBLE,0,5,45,12,0.8,10,4,0,0,20,0,0,90,90,0.993137254901961
132,INFEASIBLE,0,5,45,15,1,10,4,0,0,20,0,0,90,90,0.993137254901961
133,INFEASIBLE,0,5,60,8,0.533333333333333,10,4,0,0,20,0,0,90,90,0.99093137254902
134,INFEASIBLE,0,5,60,10,0.666666666666667,10,4,0,0,20,0,0,90,90,0.99093137254902
135,INFEASIBLE,0,5,60,12,0.8,10,4,0,0,20,0,0,90,90,0.99093137254902
136,INFEASIBLE,0,5,60,15,1,10,4,0,0,20,0,0,90,90,0.99093137254902
