cell_id,regime_label,regime_code,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,cmd_deg,success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,n_trials
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,5,0,25.7878158716347,50.4876918872954,46.5382824802328,51.2042168921084,0.54650024473813,0.995588235294118,3.4,6
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,10,0.166666666666667,29.9719077128542,58.0800594895838,46.8475115481116,58.7643482907311,0.619432207537934,0.997303921568628,3.4,6
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,15,0,34.9994064553859,68.766040429752,62.8963231972656,68.7660568791967,0.66789035731767,0.997303921568628,3.4,6
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,20,0,39.0114634874352,72.4526903237145,70.2530297552953,72.4526903237145,0.705824767498776,0.997303921568628,3.4,6
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,25,0,44.0061104840987,79.6687515673252,78.5667352245447,79.6687515673252,0.729809104258443,0.997058823529412,3.4,6
1,FRAGILE,1,0,20,8,0.533333333333333,10,16,30,0,48.8800532284463,84.9800455093552,84.7452451275245,84.9800455093552,0.737395986294665,0.997303921568627,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,5,0,25.7878158716347,50.4876918872954,46.5382824802328,51.2042168921084,0.456191874694077,0.995588235294118,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,10,0.166666666666667,29.9719077128542,58.0800594895838,46.8475115481116,58.7643482907311,0.550905531081743,0.997303921568628,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,15,0,34.9994064553859,68.766040429752,62.8963231972656,68.7660568791967,0.616005873715125,0.997303921568628,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,20,0,39.0114634874352,72.4526903237145,70.2530297552953,72.4526903237145,0.668379833578071,0.997303921568628,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,25,0,44.0061104840987,79.6687515673252,78.5667352245447,79.6687515673252,0.69652471855115,0.997058823529412,3.4,6
2,FRAGILE,1,0,20,10,0.666666666666667,10,16,30,0,48.8800532284463,84.9800455093552,84.7452451275245,84.9800455093552,0.715614292706804,0.997303921568627,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,5,0,25.7878158716347,50.4876918872954,46.5382824802328,51.2042168921084,0.41409691629956,0.995588235294118,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,10,0.166666666666667,29.9719077128542,58.0800594895838,46.8475115481116,58.7643482907311,0.433186490455213,0.997303921568628,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,15,0,34.9994064553859,68.766040429752,62.8963231972656,68.7660568791967,0.548458149779736,0.997303921568628,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,20,0,39.0114634874352,72.4526903237145,70.2530297552953,72.4526903237145,0.622613803230543,0.997303921568628,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,25,0,44.0061104840987,79.6687515673252,78.5667352245447,79.6687515673252,0.661771904062653,0.997058823529412,3.4,6
3,FRAGILE,1,0,20,12,0.8,10,16,30,0,48.8800532284463,84.9800455093552,84.7452451275245,84.9800455093552,0.691874694077337,0.997303921568627,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,5,0,25.7878158716347,50.4876918872954,46.5382824802328,51.2042168921084,0.354380812530592,0.995588235294118,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,10,0.166666666666667,29.9719077128542,58.0800594895838,46.8475115481116,58.7643482907311,0.377386196769457,0.997303921568628,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,15,0,34.9994064553859,68.766040429752,62.8963231972656,68.7660568791967,0.416544297601566,0.997303921568628,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,20,0,39.0114634874352,72.4526903237145,70.2530297552953,72.4526903237145,0.526186979931473,0.997303921568628,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,25,0,44.0061104840987,79.6687515673252,78.5667352245447,79.6687515673252,0.601811062163485,0.997058823529412,3.4,6
4,FRAGILE,1,0,20,15,1,10,16,30,0,48.8800532284463,84.9800455093552,84.7452451275245,84.9800455093552,0.642192853646598,0.997303921568627,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,5,0.5,13.4121551058903,30.7836151633805,27.2152545773117,31.0281415991516,0.570974057758199,0.996323529411765,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,10,0,19.8407953889208,40.2393629176242,28.4029174353348,44.0196639599268,0.659569260890847,0.997303921568628,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,15,0,29.4580134440328,56.4739841631105,23.1414152063736,61.4190735392078,0.677679882525697,0.997549019607843,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,20,0,44.4572410967018,75.5380603020385,47.4729614599655,78.6441605597769,0.710230053842389,0.997549019607843,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,25,0,57.6853761965966,82.2868301656083,71.7557437762362,83.2593290771976,0.723690651003426,0.996813725490196,3.4,6
5,INFEASIBLE,0,0,30,8,0.533333333333333,10,24,30,0,71.1551485963077,83.9922726407602,82.3705379000208,83.9922726407602,0.743514439549682,0.997794117647059,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,5,0.5,13.4121551058903,30.7836151633805,27.2152545773117,31.0281415991516,0.529613313754283,0.996323529411765,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,10,0,19.8407953889208,40.2393629176242,28.4029174353348,44.0196639599268,0.607929515418502,0.997303921568628,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,15,0,29.4580134440328,56.4739841631105,23.1414152063736,61.4190735392078,0.639745472344591,0.997549019607843,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,20,0,44.4572410967018,75.5380603020385,47.4729614599655,78.6441605597769,0.666177190406265,0.997549019607843,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,25,0,57.6853761965966,82.2868301656083,71.7557437762362,83.2593290771976,0.688693098384728,0.996813725490196,3.4,6
6,INFEASIBLE,0,0,30,10,0.666666666666667,10,24,30,0,71.1551485963077,83.9922726407602,82.3705379000208,83.9922726407602,0.719774840920215,0.997794117647059,3.4,6
