stat_name,value,p_value,n
spearman_robustness__max_ang_accel_deg_s2,-0.52557594226259,2.57578871790435e-13,168
spearman_boundary_margin__max_ang_accel_deg_s2,0.875741692265078,3.76339933695173e-16,48
spearman_robustness__rise_time_s,0.521466773106365,1.54703157062305e-12,168
spearman_boundary_margin__rise_time_s,-0.0938373155827323,0.52582692916757,48
spearman_robustness__settling_time_s,NaN,NaN,168
spearman_boundary_margin__settling_time_s,NaN,NaN,48
spearman_robustness__settled_frac,NaN,NaN,168
spearman_boundary_margin__settled_frac,NaN,NaN,48
spearman_robustness__overshoot_pct,-0.435914114901666,3.50546736328803e-09,168
spearman_boundary_margin__overshoot_pct,-0.575769945730114,1.85533692931254e-05,48
spearman_robustness__peak_att_rate_deg_s,-0.551213793104668,9.75443524293619e-15,168
spearman_boundary_margin__peak_att_rate_deg_s,0.205255392867147,0.161657686247023,48
spearman_robustness__control_effort_usage,-0.524562471427686,2.91528640448742e-13,168
spearman_boundary_margin__control_effort_usage,-0.118337807045597,0.42308679541279,48
spearman_robustness__actuator_sat_frac,-0.555803814339635,5.26826362898483e-15,168
spearman_boundary_margin__actuator_sat_frac,-0.314307393227075,0.0295812327315989,48
spearman_robustness__slew_sat_frac,-0.481453067086066,3.93547952194982e-11,168
spearman_boundary_margin__slew_sat_frac,-0.436331636797692,0.00193321334899974,48
spearman_robustness__agility_index,-0.0670080192463391,0.388132398698505,168
spearman_boundary_margin__agility_index,0.551376638869029,4.87277947934887e-05,48
top_agility_enrichment__EASY,2.18181818181818,NaN,44
top_agility_enrichment__FRAGILE,0.449197860962567,NaN,44
top_agility_enrichment__INFEASIBLE,1.01818181818182,NaN,44
pareto_regime_fraction__EASY,0,NaN,4
pareto_regime_fraction__FRAGILE,1,NaN,4
pareto_regime_fraction__INFEASIBLE,0,NaN,4
pareto_count,4,NaN,168
