cell_id,regime_label,regime_code,robustness,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,max_ang_accel_deg_s2,rise_time_s,settling_time_s,overshoot_pct,peak_att_rate_deg_s,control_effort_usage,actuator_sat_frac,slew_sat_frac,success_like_rate,rms_err_deg,peak_err_deg,end_err_deg,n_trials,rise_reached_frac,settled_frac,bounded_window_s,boundary_slew_deg_s,slew_margin_to_boundary,agility_index
1,FRAGILE,1,1,0,20,8,0.533333333333333,10,16,121.005172506055,1.155,NaN,124.956711112769,41.3331349247102,0.731894315025834,0.512974051896208,0.999,0,17.9882754283564,25.5051347520608,15.6008385343764,2,1,0,2.145,90,-70,-2.19688891631958
2,FRAGILE,1,1,0,20,10,0.666666666666667,10,16,121.005172506055,1.155,NaN,124.956711112769,41.3331349247102,0.680202080165953,0.43812375249501,0.999,0,17.9882754283564,25.5051347520608,15.6008385343764,2,1,0,2.145,60,-40,-2.19688891631958
3,FRAGILE,1,1,0,20,12,0.8,10,16,121.005172506055,1.155,NaN,124.956711112769,41.3331349247102,0.631181284019196,0.342315369261477,0.999,0,17.9882754283564,25.5051347520608,15.6008385343764,2,1,0,2.145,60,-40,-2.19688891631958
4,FRAGILE,1,1,0,20,15,1,10,16,121.005172506055,1.155,NaN,124.956711112769,41.3331349247102,0.550786527265848,0.168662674650699,0.999,0,17.9882754283564,25.5051347520608,15.6008385343764,2,1,0,2.145,60,-40,-2.19688891631958
5,INFEASIBLE,0,0,0,30,8,0.533333333333333,10,24,152.239202627324,1.245,NaN,38.0368184363715,42.0498318942276,0.860132361524952,0.718562874251497,0.999,0,18.6702160833699,30.4744959772393,22.1264635341642,2,1,0,2.25,90,-60,1.56929179354998
6,INFEASIBLE,0,0,0,30,10,0.666666666666667,10,24,152.239202627324,1.245,NaN,38.0368184363715,42.0498318942276,0.819624202063776,0.607784431137725,0.999,0,18.6702160833699,30.4744959772393,22.1264635341642,2,1,0,2.25,60,-30,1.56929179354998
7,INFEASIBLE,0,0,0,30,12,0.8,10,24,152.239202627324,1.245,NaN,38.0368184363715,42.0498318942276,0.771243231640875,0.464071856287425,0.999,0,18.6702160833699,30.4744959772393,22.1264635341642,2,1,0,2.25,60,-30,1.56929179354998
8,INFEASIBLE,0,0,0,30,15,1,10,24,152.239202627324,1.245,NaN,38.0368184363715,42.0498318942276,0.694170729063892,0.352295409181637,0.999,0,18.6702160833699,30.4744959772393,22.1264635341642,2,1,0,2.25,60,-30,1.56929179354998
9,FRAGILE,1,1,0,45,8,0.533333333333333,10,24,173.228552577049,1.3125,NaN,12.1040158258699,43.5556708844113,0.819949635403209,0.630738522954092,1,0,15.0647962005387,25.9783008824296,25.9783008824296,2,1,0,2.4675,90,-45,5.08083788923403
10,FRAGILE,1,1,0,45,10,0.666666666666667,10,24,173.228552577049,1.3125,NaN,12.1040158258699,43.5556708844113,0.773192132033061,0.541916167664671,1,0,15.0647962005387,25.9783008824296,25.9783008824296,2,1,0,2.4675,60,-15,5.08083788923403
