regime_label,metric,median,q25,q75,n_cells
EASY,max_ang_accel_deg_s2,260.652542309465,253.108614877741,272.473519144405,14
EASY,rise_time_s,1.225,1.065,2.2775,14
EASY,settling_time_s,NaN,NaN,NaN,14
EASY,settled_frac,0,0,0,14
EASY,overshoot_pct,8.81359986405864,3.66357749297804,20.5359567867353,14
EASY,peak_att_rate_deg_s,58.8862188621374,55.321259461227,62.4511782630478,14
EASY,control_effort_usage,0.673833929591198,0.618782171226736,0.735911174840155,14
EASY,actuator_sat_frac,0.351796407185629,0.274451097804391,0.44810379241517,14
EASY,slew_sat_frac,0.997,0.996,0.998,14
EASY,agility_index,6.7652069145843,1.7095870860352,9.4878243771928,14
EASY,rise_reached_frac,1,0.5,1,14
EASY,settled_frac,0,0,0,14
EASY,bounded_window_s,2.5,2.5,2.5,14
FRAGILE,max_ang_accel_deg_s2,207.193361908662,163.096068320287,253.108614877741,34
FRAGILE,rise_time_s,1.2325,0.9075,1.44,34
FRAGILE,settling_time_s,NaN,NaN,NaN,34
FRAGILE,settled_frac,0,0,0,34
FRAGILE,overshoot_pct,68.2211424642316,20.5359567867353,124.956711112769,34
FRAGILE,peak_att_rate_deg_s,75.0115068777652,55.2250689475636,82.8752287145237,34
FRAGILE,control_effort_usage,0.751218686950316,0.680202080165953,0.80968085524852,34
FRAGILE,actuator_sat_frac,0.505489021956088,0.411177644710579,0.630738522954092,34
FRAGILE,slew_sat_frac,0.9985,0.998,1,34
FRAGILE,agility_index,1.00011214458679,-0.966883929172495,2.37268946780524,34
FRAGILE,rise_reached_frac,1,1,1,34
FRAGILE,settled_frac,0,0,0,34
FRAGILE,bounded_window_s,2.3775,1.8575,2.5,34
INFEASIBLE,max_ang_accel_deg_s2,419.887864399966,274.412908696384,725.033088822858,120
INFEASIBLE,rise_time_s,0.5675,0.46875,0.965,120
INFEASIBLE,settling_time_s,NaN,NaN,NaN,120
INFEASIBLE,settled_frac,0,0,0,120
INFEASIBLE,overshoot_pct,146.539663815644,74.1931050077995,148.276324535062,120
INFEASIBLE,peak_att_rate_deg_s,154.011440685414,105.490022398872,201.89384412827,120
INFEASIBLE,control_effort_usage,0.867257846896209,0.819535606214205,0.936565384227883,120
INFEASIBLE,actuator_sat_frac,0.781437125748503,0.694111776447106,0.867764471057884,120
INFEASIBLE,slew_sat_frac,1,0.999,1,120
INFEASIBLE,agility_index,2.72834401674025,0.472669809579448,5.13173696546724,120
INFEASIBLE,rise_reached_frac,1,0.5,1,120
INFEASIBLE,settled_frac,0,0,0,120
INFEASIBLE,bounded_window_s,0.79,0.6325,1.2175,120
