factor,domain,field,baseline_value,ideal_value,delta,abs_delta
deadband,realism,servo_deadband,0.05,0,-0.05,0.05
backlash,realism,servo_backlash,0.1,0,-0.1,0.1
latency,realism,sensor_latency_steps,3,1,-2,2
sensor_noise,realism,gyro_noise_std,0.015,0,-0.015,0.015
sensor_noise,realism,gyro_bias_init,0.01,0,-0.01,0.01
sensor_noise,realism,gyro_bias_rw,0.005,0,-0.005,0.005
sensor_noise,realism,gyro_quant_lsb,0.0015707963267949,0,-0.0015707963267949,0.0015707963267949
sensor_noise,realism,bias_cal_residual_frac,0.1,0,-0.1,0.1
sensor_noise,realism,theta_init_bias,0.00872664625997165,0,-0.00872664625997165,0.00872664625997165
thrust_mismatch,scenario,control_eff_scale_post,0.85,1,0.15,0.15
aero_mismatch,scenario,aero_damp_scale_post,0.75,1,0.25,0.25
effectiveness_drift,realism,keff_drift_rate,0.1,0,-0.1,0.1
