cell_id,regime,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd,full_success,alloff_success,combined_success_recovery,sum_single_success_recovery,interaction_gap_success,full_rms_deg,alloff_rms_deg,combined_rms_recovery_deg,sum_single_rms_recovery_deg,interaction_gap_rms_recovery_deg,full_s2r,alloff_s2r,combined_s2r_reduction,sum_single_s2r_reduction,interaction_gap_s2r_reduction,combined_score,sum_single_score,interaction_gap_score,combined_to_sum_score_ratio
1,EASY,0,60,10,0.666666666666667,10,32,0.833333333333333,1,0.166666666666667,0.166666666666667,1.11022302462516e-16,6.68757036013973,1.01357881163886,5.67399154850088,6.76097318920772,-1.08698164070684,0.73502195415049,0.0425,0.69252195415049,0.281117350711778,0.411404603438712,1.06197516949866,1.31267892425391,-0.250703754755246,0.809013651302629
2,EASY,1,90,15,1,10,32,1,1,0,-0.333333333333333,0.333333333333333,4.25800164190592,1.01858671253574,3.23941492937018,0.871620288640382,2.36779464072979,0.617715381771122,0.02625,0.591465381771122,0.0818746533555192,0.509590728415603,0.859143811182195,0.594562815666662,0.264580995515532,1.44500091250891
3,EASY,0,75,15,1,10,16,1,1,0,-0.333333333333333,0.333333333333333,5.34055361748528,0.776745602461379,4.5638080150239,1.22922654849356,3.33458146653034,0.51483153078203,0.0358333333333333,0.478998197448697,0.0440987243483089,0.434899473100388,0.892477522017545,0.587209350423061,0.305268171594484,1.51986258627277
4,EASY,1,90,8,0.533333333333333,10,32,1,1,0,-0.333333333333333,0.333333333333333,4.25800164190592,1.01858671253574,3.23941492937018,0.871620288640382,2.36779464072979,0.754709280828249,0.02625,0.728459280828249,0.257415418746534,0.471043862081716,0.863000658370781,0.647164478849984,0.215836179520797,1.33351054727901
5,EASY,0,60,15,1,10,32,0.833333333333333,1,0.166666666666667,0.166666666666667,1.11022302462516e-16,6.68757036013973,1.01357881163886,5.67399154850088,6.76097318920772,-1.08698164070684,0.643923784433352,0.0425,0.601423784433352,0.161732991310779,0.439690793122573,1.05788507061299,1.27683823831671,-0.218953167703722,0.828519258639705
6,EASY,0,75,10,0.666666666666667,10,16,1,1,0,-0.333333333333333,0.333333333333333,5.34055361748528,0.776745602461379,4.5638080150239,1.22922654849356,3.33458146653034,0.589568080976151,0.0358333333333333,0.553734747642817,0.0949861342207436,0.458748613422074,0.896889071559372,0.6271440628585,0.269745008700873,1.43011649902478
7,EASY,1,90,12,0.8,10,32,1,1,0,-0.333333333333333,0.333333333333333,4.25800164190592,1.01858671253574,3.23941492937018,0.871620288640382,2.36779464072979,0.673039841005731,0.02625,0.646789841005731,0.163128119800333,0.483661721205398,0.860890386427676,0.619542352888991,0.241348033538685,1.38955857079545
8,EASY,0,90,8,0.533333333333333,10,32,1,1,0,-0.166666666666667,0.166666666666667,4.12272312174271,1.01300560181287,3.10971751992984,0.748848454581522,2.36086906534832,0.749440284710667,0.02625,0.723190284710667,0.233986411536328,0.489203873174339,0.859630559336456,0.616075316125584,0.243555243210872,1.39533355230422
9,EASY,0,60,12,0.8,10,32,0.833333333333333,1,0.166666666666667,0.166666666666667,1.11022302462516e-16,6.68757036013973,1.01357881163886,5.67399154850088,6.76097318920772,-1.08698164070684,0.69661374560917,0.0425,0.65411374560917,0.222187788870402,0.431925956738768,1.06038116099257,1.29777117387298,-0.237390012880413,0.817078682544657
10,EASY,0,75,12,0.8,10,16,1,1,0,-0.333333333333333,0.333333333333333,5.34055361748528,0.776745602461379,4.5638080150239,1.22922654849356,3.33458146653034,0.554487659456462,0.0358333333333333,0.518654326123128,0.0794564614531341,0.439197864669994,0.894966439547599,0.614656891191451,0.280309548356148,1.45604230973933
11,EASY,1,90,10,0.666666666666667,10,32,1,1,0,-0.333333333333333,0.333333333333333,4.25800164190592,1.01858671253574,3.23941492937018,0.871620288640382,2.36779464072979,0.715885098909225,0.02625,0.689635098909225,0.211658347199113,0.477976751710113,0.862057513055217,0.634963992715366,0.227093520339851,1.35764787128906
12,EASY,0,90,12,0.8,10,32,1,1,0,-0.166666666666667,0.166666666666667,4.12272312174271,1.01300560181287,3.10971751992984,0.748848454581522,2.36086906534832,0.660421981882048,0.02625,0.634171981882048,0.103648086522462,0.530523895359586,0.857269972027649,0.58028803142766,0.276981940599989,1.47731803104493
13,EASY,0,90,15,1,10,32,1,1,0,-0.166666666666667,0.166666666666667,4.12272312174271,1.01300560181287,3.10971751992984,0.748848454581522,2.36086906534832,0.611198465520429,0.02625,0.584948465520429,0.0544245701608431,0.530523895359586,0.855669425985855,0.555758904698029,0.299910521287826,1.53964141420421
14,EASY,0,90,10,0.666666666666667,10,32,1,1,0,-0.166666666666667,0.166666666666667,4.12272312174271,1.01300560181287,3.10971751992984,0.748848454581522,2.36086906534832,0.709784156036236,0.02625,0.683534156036236,0.193775651691625,0.489758504344611,0.858652092090232,0.605382770730951,0.253269321359281,1.41836228846334
15,FRAGILE,0,20,8,0.533333333333333,10,32,0.833333333333333,1,0.166666666666667,-0.833333333333334,1,11.0865096673496,1.01360051450419,10.0729091528454,7.39893334418786,2.67397580865758,0.774400998336106,0.117083333333333,0.657317665002773,0.254060593455352,0.403257071547421,1.04535736545282,0.920072903681754,0.12528446177107,1.13616797241798
16,FRAGILE,3,90,15,1,10,32,0.166666666666667,1,0.833333333333333,0.833333333333333,0,12.355835342938,1.07044063958608,11.2853947033519,12.8270182865221,-1.54162358317022,0.688570207062304,0.0491666666666667,0.639403540395637,0.240225318912923,0.399178221482714,1.75431412317608,1.97688172947716,-0.222567606301078,0.887414809402917
17,FRAGILE,1,30,15,1,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,12.5441238913976,0.788100656667028,11.7560232347306,5.99557879519896,5.76044443953165,0.57348377703827,0.095,0.47848377703827,0.120032584581254,0.358451192457016,1.38575975610647,1.16239219995993,0.223367556146542,1.19216195373149
18,FRAGILE,1,75,10,0.666666666666667,10,16,0.666666666666667,1,0.333333333333333,0.666666666666667,-0.333333333333333,5.9598251297369,0.783703241850559,5.17612188788634,2.28749686232698,2.88862502555937,0.583880800517656,0.0354166666666667,0.548464133850989,0.0801340358661491,0.46833009798484,1.23725580902518,1.48923722519501,-0.251981416169831,0.830798336284647
19,FRAGILE,1,30,10,0.666666666666667,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,12.5441238913976,0.788100656667028,11.7560232347306,5.99557879519896,5.76044443953165,0.659451608430394,0.095,0.564451608430394,0.16606697171381,0.398384636716584,1.39655731327962,1.18166892363436,0.214888389645266,1.18185160441078
20,FRAGILE,0,20,12,0.8,10,32,0.833333333333333,1,0.166666666666667,-0.833333333333334,1,11.0865096673496,1.01360051450419,10.0729091528454,7.39893334418786,2.67397580865758,0.71755130338325,0.117083333333333,0.600467970049917,0.193328480310593,0.407139489739323,1.03936808900444,0.910215990438911,0.129152098565528,1.1418917047406
21,FRAGILE,3,90,8,0.533333333333333,10,32,0.166666666666667,1,0.833333333333333,0.833333333333333,0,12.355835342938,1.07044063958608,11.2853947033519,12.8270182865221,-1.54162358317022,0.791592946940285,0.0491666666666667,0.742426280273618,0.326886439267887,0.415539841005731,1.75896059942822,2.00054540142756,-0.241584801999344,0.87924053019394
22,FRAGILE,2,45,8,0.533333333333333,10,32,0.5,1,0.5,-0.666666666666667,1.16666666666667,10.0351568805517,1.04386125675036,8.99129562380136,-5.77931638128038,14.7706120050817,0.783274865964134,0.0704166666666667,0.712858199297467,0.233979247550378,0.478878951747089,1.40303962528595,1.19014544410255,0.212894181183401,1.17888081010463
23,FRAGILE,2,90,12,0.8,10,32,0.833333333333333,1,0.166666666666667,-0.5,0.666666666666667,5.94961920076862,1.03624426834411,4.91337493242451,3.47426198286391,1.43911294956059,0.692450545387317,0.03125,0.661200545387317,0.20652107598447,0.454679469402847,1.05701695461107,1.03829970751075,0.0187172471003179,1.01802682497638
24,FRAGILE,0,20,15,1,10,32,0.833333333333333,1,0.166666666666667,-0.833333333333334,1,11.0865096673496,1.01360051450419,10.0729091528454,7.39893334418786,2.67397580865758,0.659037714919579,0.117083333333333,0.541954381586245,0.0828182196339436,0.459136161952302,1.03212442013728,0.878665699411063,0.153458720726218,1.17464972267505
25,FRAGILE,1,75,15,1,10,16,0.666666666666667,1,0.333333333333333,0.666666666666667,-0.333333333333333,5.9598251297369,0.783703241850559,5.17612188788634,2.28749686232698,2.88862502555937,0.517047744499908,0.0354166666666667,0.481631077833241,0.060860602699205,0.420770475134036,1.23333555539376,1.45891657978785,-0.225581024394087,0.845377708691959
26,FRAGILE,2,45,12,0.8,10,32,0.5,1,0.5,-0.666666666666667,1.16666666666667,10.0351568805517,1.04386125675036,8.99129562380136,-5.77931638128038,14.7706120050817,0.722265437234239,0.0704166666666667,0.651848770567573,0.198482852652985,0.453365917914587,1.39924270567938,1.16885301419957,0.230389691479808,1.1971074965637
27,FRAGILE,0,45,10,0.666666666666667,10,16,0.833333333333333,1,0.166666666666667,-1,1.16666666666667,8.72217937288327,0.778693372762902,7.94348600012037,6.73882084923412,1.20466515088625,0.620904511000185,0.0608333333333333,0.560071177666852,0.161101173969311,0.398970003697541,1.07304030155092,0.925349096224352,0.147691205326572,1.15960593243046
28,FRAGILE,0,20,10,0.666666666666667,10,32,0.833333333333333,1,0.166666666666667,-0.833333333333334,1,11.0865096673496,1.01360051450419,10.0729091528454,7.39893334418786,2.67397580865758,0.746808097615086,0.117083333333333,0.629724764281753,0.240888103161398,0.388836661120355,1.04256425880568,0.925479266783192,0.117084992022493,1.1265128201407
29,FRAGILE,1,30,8,0.533333333333333,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,12.5441238913976,0.788100656667028,11.7560232347306,5.99557879519896,5.76044443953165,0.703683444259567,0.095,0.608683444259567,0.213626594564615,0.395056849694953,1.40108491597074,1.2040774831967,0.197007432774036,1.16361690632317
30,FRAGILE,1,30,12,0.8,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,12.5441238913976,0.788100656667028,11.7560232347306,5.99557879519896,5.76044443953165,0.601353993344426,0.095,0.506353993344426,0.0226948141985579,0.483659179145868,1.38959844231877,1.12438276566256,0.265215676656207,1.23587668252806
31,FRAGILE,1,60,8,0.533333333333333,10,32,0.833333333333333,1,0.166666666666667,-0.166666666666667,0.333333333333333,7.42789487684339,1.01951074269579,6.40838413414761,7.20305857933622,-0.794674445188616,0.765110926234054,0.0425,0.722610926234054,0.24798114254021,0.474629783693844,1.07026575058469,1.12422314007686,-0.0539573894921701,0.952004733252083
32,FRAGILE,1,60,12,0.8,10,32,0.833333333333333,1,0.166666666666667,-0.166666666666667,0.333333333333333,7.42789487684339,1.01951074269579,6.40838413414761,7.20305857933622,-0.794674445188616,0.692454242928453,0.0425,0.649954242928453,0.164786466999445,0.485167775929007,1.06735155283409,1.09736699423409,-0.0300154413999982,0.972647763639959
33,FRAGILE,2,45,15,1,10,32,0.5,1,0.5,-0.666666666666667,1.16666666666667,10.0351568805517,1.04386125675036,8.99129562380136,-5.77931638128038,14.7706120050817,0.675121787761139,0.0704166666666667,0.604705121094472,0.130956507672398,0.473748613422074,1.39583870444131,1.1485177038752,0.247321000566105,1.21533930189463
34,FRAGILE,0,45,15,1,10,16,0.833333333333333,1,0.166666666666667,-1,1.16666666666667,8.72217937288327,0.778693372762902,7.94348600012037,6.73882084923412,1.20466515088625,0.520377611388427,0.0608333333333333,0.459544278055093,0.0231366703642081,0.436407607690885,1.06357682983346,0.844795659889267,0.218781169944191,1.25897525322617
35,FRAGILE,3,90,12,0.8,10,32,0.166666666666667,1,0.833333333333333,0.833333333333333,0,12.355835342938,1.07044063958608,11.2853947033519,12.8270182865221,-1.54162358317022,0.731415464965798,0.0491666666666667,0.682248798299131,0.277246949528563,0.405001848770568,1.75640549457653,1.98767788864858,-0.231272394072054,0.883646945316026
36,FRAGILE,2,90,8,0.533333333333333,10,32,0.833333333333333,1,0.166666666666667,-0.5,0.666666666666667,5.94961920076862,1.03624426834411,4.91337493242451,3.47426198286391,1.43911294956059,0.765523202070623,0.03125,0.734273202070623,0.270719633943428,0.463553568127195,1.05917086585481,1.05881628870535,0.000354577149453084,1.00033488070899
37,FRAGILE,2,90,15,1,10,32,0.833333333333333,1,0.166666666666667,-0.5,0.666666666666667,5.94961920076862,1.03624426834411,4.91337493242451,3.47426198286391,1.43911294956059,0.649327971898687,0.03125,0.618077971898687,0.180730726566833,0.437347245331854,1.0555184025911,1.03303137341076,0.022487029180343,1.02176800217219
38,FRAGILE,3,90,10,0.666666666666667,10,32,0.166666666666667,1,0.833333333333333,0.833333333333333,0,12.355835342938,1.07044063958608,11.2853947033519,12.8270182865221,-1.54162358317022,0.757760445553707,0.0491666666666667,0.70859377888704,0.282377287853577,0.426216491033463,1.75757403188351,1.98813300462405,-0.23055897274054,0.884032420263483
39,INFEASIBLE,0,30,8,0.533333333333333,20,32,0.5,1,0.5,-0.5,1,9.73301078508808,0.773828434676692,8.95918235041139,3.25614912315005,5.70303322726133,0.801994130153448,0.209166666666667,0.592827463486781,0.26183606026992,0.330991403216861,1.32984310876755,1.211139217159,0.118703891608549,1.0980101130628
40,INFEASIBLE,4,90,15,1,10,16,0.166666666666667,1,0.833333333333333,1.66533453693773e-16,0.833333333333333,56.2576372652689,0.915258135859209,55.3423791294097,8.52725238554597,46.8151267438638,0.651548576446663,0.065,0.586548576446663,0.0579693566278428,0.52857921981882,1.77531764805473,1.58707519075241,0.188242457302318,1.11860966537639
41,INFEASIBLE,1,20,15,1,10,32,0.333333333333333,1,0.666666666666667,0.5,0.166666666666667,15.6092644170909,1.02486519536433,14.5843992217266,14.0749100103305,0.509489211396051,0.686908855611019,0.120416666666667,0.566492188944352,0.175587215751525,0.390904973192827,1.54618679525073,1.629875304032,-0.0836885087812771,0.948653428532694
42,INFEASIBLE,2,75,10,0.666666666666667,10,32,0.833333333333333,1,0.166666666666667,-1.33333333333333,1.5,7.18296469543773,1.03779062855829,6.14517406687944,4.02957010318821,2.11560396369123,0.738626594564615,0.0375,0.701126594564615,0.227605842114995,0.47352075244962,1.06904200168327,0.846579050848528,0.222462950834741,1.26277870992882
43,INFEASIBLE,3,45,12,0.8,20,32,0,1,1,1,0,48.2052306423028,0.825210193877142,47.3800204484256,-17.7690375150592,65.1490579634848,0.796169809576631,0.243333333333333,0.552836476243298,0.198318774265113,0.354517701978185,1.83862568575206,1.72705001898789,0.111575666764167,1.06460476855763
44,INFEASIBLE,4,90,8,0.533333333333333,10,16,0.166666666666667,1,0.833333333333333,1.66533453693773e-16,0.833333333333333,56.2576372652689,0.915258135859209,55.3423791294097,8.52725238554597,46.8151267438638,0.733356674061749,0.065,0.668356674061749,0.238640460343871,0.429716213717878,1.7808820386204,1.64678348196147,0.134098556658935,1.08143059371667
45,INFEASIBLE,2,60,15,1,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,10.4030543253703,0.808242902434758,9.59481142293555,5.5303942257023,4.06441719723325,0.557259890922537,0.0508333333333333,0.506426557589203,0.0874678776113889,0.418958679977814,1.41554349953101,1.15675183820411,0.258791661326896,1.22372271457003
46,INFEASIBLE,1,20,10,0.666666666666667,10,32,0.333333333333333,1,0.666666666666667,0.5,0.166666666666667,15.6092644170909,1.02486519536433,14.5843992217266,14.0749100103305,0.509489211396051,0.752632649288223,0.120416666666667,0.632215982621557,0.255038130892957,0.3771778517286,1.55384094684768,1.64104066055822,-0.0871997137105385,0.946863160794031
47,INFEASIBLE,0,30,12,0.8,20,32,0.5,1,0.5,-0.5,1,9.73301078508808,0.773828434676692,8.95918235041139,3.25614912315005,5.70303322726133,0.741400674801257,0.209166666666667,0.532234008134591,0.185296958772416,0.346937049362174,1.31918539549669,1.19033861675133,0.128846778745358,1.10824380300877
48,INFEASIBLE,3,45,8,0.533333333333333,20,32,0,1,1,1,0,48.2052306423028,0.825210193877142,47.3800204484256,-17.7690375150592,65.1490579634848,0.850107690885561,0.243333333333333,0.606774357552228,0.283316001109262,0.323458356442966,1.84832153473339,1.74616500893169,0.102156525801705,1.05850336324412
49,INFEASIBLE,4,90,12,0.8,10,16,0.166666666666667,1,0.833333333333333,1.66533453693773e-16,0.833333333333333,56.2576372652689,0.915258135859209,55.3423791294097,8.52725238554597,46.8151267438638,0.666246302458865,0.065,0.601246302458865,0.047985995562951,0.553260306895914,1.77641805138523,1.59337668299945,0.183041368385775,1.11487639447642
50,INFEASIBLE,0,30,15,1,20,32,0.5,1,0.5,-0.5,1,9.73301078508808,0.773828434676692,8.95918235041139,3.25614912315005,5.70303322726133,0.688433398040303,0.209166666666667,0.479266731373637,0.0749253558883345,0.404341375485302,1.30833226021259,1.16603751313939,0.142294747073197,1.12203273519913
51,INFEASIBLE,0,30,10,0.666666666666667,20,32,0.5,1,0.5,-0.5,1,9.73301078508808,0.773828434676692,8.95918235041139,3.25614912315005,5.70303322726133,0.766081761878351,0.209166666666667,0.556915095211684,0.217742882233315,0.339172212978369,1.32373002688671,1.19658701209668,0.12714301479003,1.10625471737926
52,INFEASIBLE,1,20,8,0.533333333333333,10,32,0.333333333333333,1,0.666666666666667,0.5,0.166666666666667,15.6092644170909,1.02486519536433,14.5843992217266,14.0749100103305,0.509489211396051,0.77440192272139,0.120416666666667,0.653985256054724,0.245193427620633,0.408791828434091,1.55608974804079,1.64213901103626,-0.0860492629954677,0.947599282145324
53,INFEASIBLE,1,20,12,0.8,10,32,0.333333333333333,1,0.666666666666667,0.5,0.166666666666667,15.6092644170909,1.02486519536433,14.5843992217266,14.0749100103305,0.509489211396051,0.727119615455722,0.120416666666667,0.606702948789055,0.226890599001664,0.379812349787391,1.55103402839572,1.63392276410785,-0.0828887357121251,0.949270101663965
54,INFEASIBLE,2,60,8,0.533333333333333,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,10.4030543253703,0.808242902434758,9.59481142293555,5.5303942257023,4.06441719723325,0.683993113329636,0.0508333333333333,0.633159779996303,0.205188343501572,0.427971436494731,1.42399433324552,1.22579009397986,0.198204239265657,1.16169508975402
55,INFEASIBLE,2,60,12,0.8,10,16,0.5,1,0.5,-0.333333333333333,0.833333333333333,10.4030543253703,0.808242902434758,9.59481142293555,5.5303942257023,4.06441719723325,0.590399103346275,0.0508333333333333,0.539565770012941,0.0594590035126645,0.480106766500277,1.41810360172237,1.15807765225879,0.260025949463589,1.22453239552323
56,INFEASIBLE,3,45,15,1,20,32,0,1,1,1,0,48.2052306423028,0.825210193877142,47.3800204484256,-17.7690375150592,65.1490579634848,0.753879182843409,0.243333333333333,0.510545849510076,0.150481835829173,0.360064013680903,1.83005317033965,1.72366756696399,0.106385603375665,1.06172048799587
57,INFEASIBLE,1,45,10,0.666666666666667,10,32,0.5,1,0.5,0.666666666666667,-0.166666666666667,6.55612849950279,1.02075127233944,5.53537722716335,1.00565045476253,4.52972677240082,0.727534664448142,0.05875,0.668784664448142,0.177264512848955,0.491520151599187,1.3817768100932,1.7929165276179,-0.411139717524701,0.770686637558666
58,INFEASIBLE,1,45,15,1,10,32,0.5,1,0.5,0.666666666666667,-0.166666666666667,6.55612849950279,1.02075127233944,5.53537722716335,1.00565045476253,4.52972677240082,0.652936772046589,0.05875,0.594186772046589,0.100032122388612,0.494154649657977,1.37716385088417,1.77217620307139,-0.395012352187215,0.777103229632238
59,INFEASIBLE,2,30,8,0.533333333333333,10,32,0.166666666666667,1,0.833333333333333,0.833333333333333,0,20.4716741151649,1.05076254314402,19.4209115720208,18.5999008590559,0.821010712964931,0.818356442965428,0.121666666666667,0.696689776298761,0.372772924755038,0.323916851543723,1.73333353133219,2.15116165153709,-0.417828120204904,0.80576628450663
