regime,factor,median_importance_pct,median_success_increase,median_rms_recovery_deg,median_s2r_reduction,frac_cells_success_positive,frac_cells_s2r_positive,n_rows,n_cells
EASY,backlash,86.4249702879419,0,3.14655344260136,0.206383689221668,0.214285714285714,1,14,14
EASY,aero_mismatch,12.1090113555191,0,0.601711790136701,0.0167083795525975,0.214285714285714,1,14,14
EASY,deadband,0,-0.0833333333333333,-0.53218189275491,-0.00624144943612498,0.214285714285714,0.214285714285714,14,14
EASY,effectiveness_drift,0,0,-0.763307742061469,-0.0278709095951191,0,0,14,14
EASY,latency,0,0,0,0,0,0,14,14
EASY,sensor_noise,0,-0.166666666666667,-0.591466133532706,-0.00407630800517655,0,0.428571428571429,14,14
EASY,thrust_mismatch,0,0,-0.911403668131034,-0.0348047236088002,0,0,14,14
FRAGILE,backlash,82.4464549017353,0.333333333333333,9.41205611188819,0.227524265113699,1,1,24,24
FRAGILE,aero_mismatch,7.39349152150275,0,1.02796378190626,0.0112316278424847,0.291666666666667,0.916666666666667,24,24
FRAGILE,sensor_noise,1.40027890762964,-0.333333333333333,-0.779323719302183,0.0113142447772232,0.166666666666667,0.75,24,24
FRAGILE,deadband,0.296265096949486,-0.166666666666667,0.0521836172458752,-0.00749017840635979,0.0833333333333333,0.25,24,24
FRAGILE,effectiveness_drift,0,-0.166666666666667,-0.751210280653522,-0.0231557358106859,0,0,24,24
FRAGILE,latency,0,0,0,0,0,0,24,24
FRAGILE,thrust_mismatch,0,-0.166666666666667,-1.6333045565659,-0.0314071454982437,0.166666666666667,0,24,24
INFEASIBLE,backlash,92.8265625630188,0.666666666666667,14.4621163108524,0.27046381031614,1,1,24,24
INFEASIBLE,aero_mismatch,5.56497469038383,-0.0833333333333333,2.25270239890694,0.00991403216860798,0.208333333333333,0.875,24,24
INFEASIBLE,deadband,0.109610116155025,-0.0833333333333333,-0.138479029664381,-0.0191359308559808,0.375,0.333333333333333,24,24
INFEASIBLE,effectiveness_drift,0,0,-1.30886316773107,-0.0181645174708819,0,0.125,24,24
INFEASIBLE,latency,0,0,0,0,0,0,24,24
INFEASIBLE,sensor_noise,0,-0.166666666666667,-1.71071512358304,-0.00920780181179515,0.0833333333333333,0.291666666666667,24,24
INFEASIBLE,thrust_mismatch,0,-0.166666666666667,-2.28309453770874,-0.030574967646515,0,0,24,24
