regime_label,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,nominal_success_rate,under_success_rate,over_success_rate,robustness,boundary_score,selection_rank,target_count
EASY,0,60,10,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,1,0.857142857142857,1,14
EASY,1,90,15,1,1,1,1,1,0.857142857142857,2,14
EASY,0,75,15,1,0.833333333333333,0.833333333333333,0.833333333333333,1,0.857142857142857,3,14
EASY,1,90,8,0.533333333333333,1,1,1,1,0.857142857142857,4,14
EASY,0,60,15,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.857142857142857,5,14
EASY,0,75,10,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,1,0.857142857142857,6,14
EASY,1,90,12,0.8,1,1,1,1,0.857142857142857,7,14
EASY,0,90,8,0.533333333333333,1,1,0.833333333333333,1,0.823529411764706,8,14
EASY,0,60,12,0.8,0.833333333333333,0.833333333333333,0.666666666666667,1,0.857142857142857,9,14
EASY,0,75,12,0.8,0.833333333333333,0.833333333333333,0.833333333333333,1,0.857142857142857,10,14
EASY,1,90,10,0.666666666666667,1,1,1,1,0.857142857142857,11,14
EASY,0,90,12,0.8,1,1,0.833333333333333,1,0.75,12,14
EASY,0,90,15,1,1,1,0.833333333333333,1,0.75,13,14
EASY,0,90,10,0.666666666666667,1,1,0.833333333333333,1,0.75,14,14
FRAGILE,0,20,8,0.533333333333333,0.666666666666667,0.5,0.666666666666667,1,0.875,1,24
FRAGILE,3,90,15,1,0.5,0.5,0.333333333333333,0.666666666666667,0.857142857142857,2,24
FRAGILE,1,30,15,1,0.5,0,0.166666666666667,0.333333333333333,0.875,3,24
FRAGILE,1,75,10,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.666666666666667,0.857142857142857,4,24
FRAGILE,1,30,10,0.666666666666667,0.5,0,0.166666666666667,0.333333333333333,0.875,5,24
FRAGILE,0,20,12,0.8,0.666666666666667,0.5,0.666666666666667,1,0.875,6,24
FRAGILE,3,90,8,0.533333333333333,0.5,0.5,0.333333333333333,0.666666666666667,0.857142857142857,7,24
FRAGILE,2,45,8,0.533333333333333,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.857142857142857,8,24
FRAGILE,2,90,12,0.8,0.666666666666667,1,0.5,1,0.857142857142857,9,24
FRAGILE,0,20,15,1,0.666666666666667,0.5,0.666666666666667,1,0.875,10,24
FRAGILE,1,75,15,1,0.833333333333333,0.333333333333333,0.5,0.666666666666667,0.857142857142857,11,24
FRAGILE,2,45,12,0.8,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.857142857142857,12,24
FRAGILE,0,45,10,0.666666666666667,0.666666666666667,0.666666666666667,0.5,1,0.857142857142857,13,24
FRAGILE,0,20,10,0.666666666666667,0.666666666666667,0.5,0.666666666666667,1,0.875,14,24
FRAGILE,1,30,8,0.533333333333333,0.5,0,0.166666666666667,0.333333333333333,0.875,15,24
FRAGILE,1,30,12,0.8,0.5,0,0.166666666666667,0.333333333333333,0.875,16,24
FRAGILE,1,60,8,0.533333333333333,0.833333333333333,1,0.833333333333333,1,0.857142857142857,17,24
FRAGILE,1,60,12,0.8,0.833333333333333,1,0.833333333333333,1,0.857142857142857,18,24
FRAGILE,2,45,15,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.857142857142857,19,24
FRAGILE,0,45,15,1,0.666666666666667,0.666666666666667,0.5,1,0.857142857142857,20,24
FRAGILE,3,90,12,0.8,0.5,0.5,0.333333333333333,0.666666666666667,0.857142857142857,21,24
FRAGILE,2,90,8,0.533333333333333,0.666666666666667,1,0.5,1,0.857142857142857,22,24
FRAGILE,2,90,15,1,0.666666666666667,1,0.5,1,0.857142857142857,23,24
FRAGILE,3,90,10,0.666666666666667,0.5,0.5,0.333333333333333,0.666666666666667,0.857142857142857,24,24
INFEASIBLE,0,30,8,0.533333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0,0.875,1,24
INFEASIBLE,4,90,15,1,0,0,0,0,0.857142857142857,2,24
INFEASIBLE,1,20,15,1,0.333333333333333,0.333333333333333,0.166666666666667,0,0.875,3,24
INFEASIBLE,2,75,10,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.857142857142857,4,24
INFEASIBLE,3,45,12,0.8,0,0,0,0,0.857142857142857,5,24
INFEASIBLE,4,90,8,0.533333333333333,0,0,0,0,0.857142857142857,6,24
INFEASIBLE,2,60,15,1,0.666666666666667,0.166666666666667,0.5,0.666666666666667,0.857142857142857,7,24
INFEASIBLE,1,20,10,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,0.875,8,24
