rocket_id,design_id,regime_label,best_Kp,best_Kd,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,full_success_rate,full_rms,full_end,full_max_theta,full_peak,full_u_sat,full_slew_sat,delta_rms_wind,delta_end_wind,delta_theta_wind,delta_success_wind,decision_flip_wind,delta_rms_backlash,delta_end_backlash,delta_theta_backlash,delta_success_backlash,decision_flip_backlash,delta_rms_slew,delta_end_slew,delta_theta_slew,delta_success_slew,decision_flip_slew,delta_rms_latency,delta_end_latency,delta_theta_latency,delta_success_latency,decision_flip_latency,delta_rms_sensor_noise,delta_end_sensor_noise,delta_theta_sensor_noise,delta_success_sensor_noise,decision_flip_sensor_noise,delta_rms_thrust_var,delta_end_thrust_var,delta_theta_thrust_var,delta_success_thrust_var,decision_flip_thrust_var,delta_rms_deadband,delta_end_deadband,delta_theta_deadband,delta_success_deadband,decision_flip_deadband,dominant_fidelity,dominant_delta_rms,n_decision_flips,decision_flip_modules
R0001,1,INFEASIBLE,10.0,4.0,2.6598720333941874,0.980226043951444,0.0279890280390062,0.2125235670133481,-58.55657893430198,5.696793669890843,28.33384120100757,41.51990502483413,8.40958129155255,5,0.032818701757763,0.1474227504116182,0.0670244116703838,0.0,33.696967213981296,123.52863921525216,216.32542325342945,216.32542325342945,0.0,0.24333333333333332,-31.611192060578087,-115.3572907894991,-197.02307453479835,0.6666666666666666,1,15.771687410213431,59.207301276048725,73.76176856931443,0.0,0,-20.239468011047933,-103.97656949300047,-184.0292820513268,0.3333333333333333,0,0.5200365760388479,1.909418448521933,9.8824442807298,0.0,0,-33.151775556405305,-122.99046303181606,-215.0472757035241,1.0,1,-2.801640176179504,-12.581283482640984,-21.940469432042818,0.0,0,0.1241597042152165,0.6080167884950498,21.88557302073133,0.0,0,sensor_noise,33.151775556405305,2,wind sensor_noise
R0002,2,FRAGILE,20.0,4.0,0.3299571470459935,1.5333561348799194,0.0307044309596682,0.0437594309668621,-35.57424129072616,13.148340614097382,28.81117047383116,54.76436406900061,12.931315291005122,5,0.0143306842539837,0.240631104578251,0.4403689596262259,0.6666666666666666,10.080582014691347,14.078267947971334,26.679452379776624,26.679452379776624,0.0,0.05777777777777777,-10.080582014691347,-14.078267947971334,-26.679452379776624,0.33333333333333337,0,-5.081434369444464,-8.483357469121433,-13.418410084652484,0.33333333333333337,0,-3.51666833613534,-2.9704909714736214,-5.8220817362319295,0.0,0,-0.08341008201983158,-0.3746470656541092,-0.4642273250082347,0.0,0,-8.82745068427062,-11.584028568276182,-21.456339828279038,0.33333333333333337,0,-0.43950418861562746,-0.6570476214538399,-2.6887922908071076,0.0,0,0.09476173626314655,-0.6902013864245067,0.0,0.0,0,wind,10.080582014691347,0,none
R0003,3,EASY,10.0,4.0,0.9142380681124036,2.0932216165029263,0.0160951340323037,0.1335888798327121,-30.168126792192908,5.658842828809494,25.152436480140786,53.18793648700768,13.816022859894131,3,0.1037036925367456,0.0313605092059842,0.0732701762136385,1.0,6.38309737909415,12.163622909695789,14.274046047516057,14.274046047516057,0.0,0.07833333333333334,-3.729449788915491,-6.061940147716672,-5.214456360438955,0.0,0,-0.6665957344163491,-3.3961474172969606,-1.6925711904160057,0.0,0,-0.5089334169356228,-5.060405143417451,4.348375143578329,0.0,0,0.6394139573812572,1.2912689607755237,1.0153670066399858,-0.33333333333333337,0,-6.261729751188154,-12.06026554664907,-13.944075572443072,0.0,0,-0.4919517889848901,-2.0364032315436926,-2.281369915028238,0.0,0,-2.608317398190731,-5.92369065331336,-4.548326337338354,0.0,0,sensor_noise,6.261729751188154,0,none
R0004,4,INFEASIBLE,10.0,4.0,1.3262410120284398,1.1458700784946645,0.0197381073768443,0.1221288484418248,-56.58899379982275,7.411721360608458,35.1493192042488,39.10831124149981,13.860677861258605,6,0.0970244044553129,0.071169275337702,0.2215705572986899,0.0,20.74336035569291,49.119614108145356,57.521036149573,57.521036149573,0.0,0.13166666666666668,-19.44281380393602,-45.09773747678425,-47.13518326770797,1.0,1,-2.0185526021775324,-7.439895990988305,4.4105337447274735,0.0,0,13.633744723053763,-19.784201922672192,2.8998389260633815,0.0,0,-0.07050227633873618,-0.6253676611555719,-0.9131305397528919,0.0,0,-19.358114509359382,-46.52158481009652,-52.172311262704646,1.0,1,-1.735660086518596,-6.9196697075676,-6.156852994926524,0.0,0,0.7031572416966192,0.9438866034214399,6.81125813486792,0.0,0,wind,19.44281380393602,2,wind sensor_noise
R0005,5,EASY,45.0,4.0,2.244097704897517,1.7023175044960253,0.0322465061879097,0.1713000152995874,-67.33357874232503,6.884098067168734,34.194482273821,61.85790288511447,13.968779080652372,3,0.0979289073505058,0.0083042089587234,0.2432951566421546,0.3333333333333333,13.270601183414035,32.34771636825444,63.697950632359756,63.697950632359756,0.0,0.3466666666666667,-9.718838341664698,-22.358755273793058,-46.9811586768325,0.3333333333333333,1,1.5138899494729703,4.0625144528404675,2.0976874029480186,0.0,0,-10.51976673247643,-27.937829494903173,-55.079924931653466,0.6666666666666667,1,1.4906740816751984,5.432774536401844,13.14457708971073,0.0,0,-13.192663242468743,-32.26928892151708,-63.495783617564015,0.6666666666666667,1,-2.953030950264658,-11.511749394780605,-22.960978539071426,0.0,0,1.182174805293002,3.923873816791577,14.960447332672196,0.0,0,sensor_noise,13.192663242468743,3,wind slew sensor_noise
R0006,6,INFEASIBLE,10.0,4.0,1.6071754526065285,1.2213315970382097,0.0376382225948464,0.2070724606489198,-34.1588332952472,8.655239612599996,25.07180042915296,24.87006606993788,12.705726957761302,6,0.1370704103263459,0.2314136281931626,0.3325304904520918,0.0,31.098482639879126,91.14095515228121,197.16105098019258,197.16105098019258,0.0,0.14166666666666666,-31.098482639879126,-91.14095515228121,-197.16105098019258,1.0,1,-3.390178520294029,-12.361893076063481,-65.91774836709757,0.0,0,-20.68870836176484,-76.00263591500381,-163.27783686814442,0.6666666666666666,1,-0.10601721931164576,-0.4188499110054664,-1.197268112623135,0.0,0,-26.918866138255034,-85.16203711098024,-186.06163102718486,1.0,1,-1.653570062596021,-6.589089501803869,-14.741587121020842,0.0,0,0.0306105143733717,0.15268256709380523,0.3338643162873609,0.0,0,wind,31.098482639879126,3,wind slew sensor_noise
R0007,7,EASY,10.0,4.0,1.932932563356812,0.9131465969267318,0.0349191515128533,0.1531569495430518,-66.77604612973407,13.622798046816747,36.23621007260986,86.28691398730489,12.767093927113546,2,0.10382420164232,0.2056637457531945,0.0906110090266974,0.3333333333333333,5.437011274518535,16.76330622824777,22.207101137837984,22.207101137837984,0.0,0.04055555555555556,-4.756074736381618,-14.409109294821015,-15.926616996311386,0.6666666666666667,1,7.964653969380804,5.2570330809490144,8.391383820943712,0.0,0,-0.842354696322813,-8.338721420375554,-2.1228694512101143,0.3333333333333333,1,0.8611353227008083,3.4422127596776413,-0.08917634594943635,-0.3333333333333333,0,-5.272354235062878,-16.552237185557164,-21.780116646859398,0.6666666666666667,1,0.1542871330113904,0.758157770694698,-2.5529842658986226,0.0,0,-0.2331604830649976,-1.0884340850336844,-1.2514070239700779,0.0,0,backlash,7.964653969380804,3,wind slew sensor_noise
R0008,8,EASY,20.0,4.0,1.608433777705023,1.7909772879268662,0.0278727488034806,0.2160462734415672,-38.94872924100838,11.126290461657248,35.42706156718535,81.40397399144058,8.182604797812047,3,0.1243273723467379,0.1643121849814275,0.4437899058022937,1.0,9.307019986093175,7.532618862277126,20.09233553648136,20.09233553648136,0.0,0.09333333333333334,-5.349276445561612,-0.14132455410390676,-9.041176040480511,0.0,0,-0.6573328009046691,18.75031953230442,18.559761160912128,-1.0,1,-1.4913950624200458,-0.7974661383403268,-4.494900576966934,0.0,0,0.21100712435414337,4.842186814572458,0.06902577226538043,-0.6666666666666667,1,-8.848360250182505,-6.749540063692114,-18.725961949906925,0.0,0,-0.8459581818205315,1.258803652794179,-2.3436680989719605,-0.33333333333333337,0,-0.6339859985786269,9.280343590341705,4.125980096031579,-0.6666666666666667,1,sensor_noise,8.848360250182505,3,backlash latency deadband
R0009,9,FRAGILE,80.0,16.0,1.0055022951186718,0.9456381873894466,0.0336228087520171,0.1219803323496465,-45.43206325548498,5.480685644819693,39.31875610137895,79.64451083654504,9.662679804465473,2,0.0730353887263551,0.1711563830203867,0.3752425861460516,0.6666666666666666,12.96917956753638,18.272717765436955,36.225003193878365,36.225003193878365,0.0,0.13,-10.545874742300644,-12.2296067835107,-24.69234724989589,0.33333333333333337,0,-3.904020863701886,-9.167993779330352,-9.143004741230794,0.0,0,-9.133221069003085,-11.208007981749414,-26.154356966765825,0.33333333333333337,0,-1.062333331498662,1.4702007908463095,-1.5331650760820423,-0.3333333333333333,1,-12.378729156573419,-17.88492427793409,-34.482841711480006,0.33333333333333337,0,-0.9477919761376885,-0.887133570406192,-3.187004894882918,0.0,0,-0.08039862125763797,-0.31681265301329375,0.0,0.0,0,sensor_noise,12.378729156573419,1,latency
R0010,10,EASY,10.0,4.0,0.9739305329084648,1.9939036090378468,0.0112524349400864,0.0809240372850277,-59.34007877882651,6.56520532531887,31.46709959231371,69.3186022680884,12.113336416676129,3,0.1340350671305061,0.0494933139500468,0.2594575637197658,0.6666666666666666,8.158079452902358,11.968331974545388,20.370610981021358,20.370610981021358,0.0,0.08277777777777777,-3.6626792081092647,-4.580021971090443,-7.809054967169574,0.33333333333333337,0,-0.02296348952753391,-6.038280022482671,-3.4440323355110394,0.33333333333333337,0,4.677924186889136,3.969997028908569,22.7976777988967,0.0,0,1.2037971273321126,-1.9404678904983061,1.4057609225001748,0.0,0,-7.892937013331347,-11.54580735512359,-19.410449627160776,0.33333333333333337,0,-0.8437150601277157,-0.5263927477886519,-3.8179460095054516,0.0,0,-0.06687789833888935,-5.796783027036722,-1.476620784185208,0.33333333333333337,0,sensor_noise,7.892937013331347,0,none
R0011,11,INFEASIBLE,10.0,4.0,1.6687303717304154,1.6154159020310874,0.0310837538349611,0.2226525926131433,-38.54719358007235,13.534687893696034,34.239708524599074,26.555844898972268,10.274156942231617,5,0.0430515444284777,0.2493394597982214,0.2043582932938744,0.3333333333333333,16.350211989791287,46.023800901684346,94.43271176111405,94.43271176111405,0.0,0.07277777777777777,-16.350211989791287,-46.023800901684346,-94.43271176111405,0.6666666666666667,1,-6.623237417045653,-21.992652358172183,-47.9366926649746,0.0,0,-5.573114135810579,-41.427824420649586,-63.83701403680308,0.3333333333333333,1,-0.11609248775718939,-0.45740881198032923,-1.3671871615184301,0.0,0,-15.656436740419622,-45.02996768759784,-92.2018499668009,0.6666666666666667,1,-1.0575975082055482,-4.2039462063768696,-9.347732520293164,0.0,0,0.07379448409600897,0.3431338965828701,1.0260455425703867,0.0,0,wind,16.350211989791287,3,wind slew sensor_noise
R0012,12,INFEASIBLE,10.0,4.0,1.351261592791173,1.1254189388602998,0.0103163282548866,0.1815681807514197,-40.86742679570099,8.345310805900688,39.031618678397024,42.184772064395816,14.877017408333783,4,0.1434386616257057,0.1110546194885468,0.1078094239825413,0.0,14.847941517320594,31.72332077582858,40.13982252153333,40.13982252153333,0.0,0.06055555555555556,-14.847941517320594,-31.72332077582858,-40.13982252153333,1.0,1,-4.24350130702477,-19.514454962342107,-17.374487759393237,0.6666666666666666,1,12.259638188062363,-0.21146991891293254,26.930872525126745,0.0,0,-0.584421572599517,-2.0332075298175702,-0.811308904434064,0.0,0,-13.92023780830311,-30.58789411787823,-37.86391227445898,1.0,1,-1.7008664286062771,-6.671595291318891,-8.66741553769408,0.0,0,0.8285354053523459,0.3937334392093028,2.5758428807576195,0.0,0,wind,14.847941517320594,3,wind backlash sensor_noise
