rocket_id,regime_label,reference_decision,first_correct_fidelity_idx,first_correct_fidelity_name,dominant_missing_physics
R0001,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0002,FRAGILE,GO,0,L0_BASELINE,NONE
R0003,EASY,GO,0,L0_BASELINE,NONE
R0004,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0005,EASY,GO,0,L0_BASELINE,NONE
R0006,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0007,EASY,GO,0,L0_BASELINE,NONE
R0008,EASY,GO,0,L0_BASELINE,NONE
R0009,FRAGILE,GO,0,L0_BASELINE,NONE
R0010,EASY,GO,0,L0_BASELINE,NONE
R0011,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0012,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0013,EASY,GO,0,L0_BASELINE,NONE
R0014,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0015,FRAGILE,GO,0,L0_BASELINE,NONE
R0016,EASY,GO,0,L0_BASELINE,NONE
R0017,EASY,GO,0,L0_BASELINE,NONE
R0018,EASY,GO,0,L0_BASELINE,NONE
R0019,EASY,GO,0,L0_BASELINE,NONE
R0020,FRAGILE,GO,0,L0_BASELINE,NONE
R0021,EASY,GO,0,L0_BASELINE,NONE
R0022,EASY,GO,2,L2_SLEW_LIMIT,SLEW_LIMIT
R0023,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0024,EASY,GO,0,L0_BASELINE,NONE
R0025,EASY,GO,0,L0_BASELINE,NONE
R0026,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0027,EASY,GO,0,L0_BASELINE,NONE
R0028,FRAGILE,GO,0,L0_BASELINE,NONE
R0029,EASY,GO,0,L0_BASELINE,NONE
R0030,FRAGILE,GO,0,L0_BASELINE,NONE
R0031,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0032,EASY,GO,0,L0_BASELINE,NONE
R0033,EASY,GO,0,L0_BASELINE,NONE
R0034,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0035,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0036,EASY,GO,0,L0_BASELINE,NONE
R0037,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0038,FRAGILE,GO,0,L0_BASELINE,NONE
R0039,FRAGILE,GO,0,L0_BASELINE,NONE
R0040,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0041,FRAGILE,GO,0,L0_BASELINE,NONE
R0042,FRAGILE,GO,0,L0_BASELINE,NONE
R0043,FRAGILE,GO,0,L0_BASELINE,NONE
R0044,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0045,FRAGILE,GO,0,L0_BASELINE,NONE
R0046,EASY,GO,0,L0_BASELINE,NONE
R0047,EASY,GO,0,L0_BASELINE,NONE
R0048,EASY,GO,0,L0_BASELINE,NONE
R0049,FRAGILE,GO,0,L0_BASELINE,NONE
R0050,FRAGILE,GO,0,L0_BASELINE,NONE
R0051,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0052,EASY,GO,0,L0_BASELINE,NONE
R0053,FRAGILE,GO,0,L0_BASELINE,NONE
R0054,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0055,EASY,GO,0,L0_BASELINE,NONE
R0056,FRAGILE,GO,0,L0_BASELINE,NONE
R0057,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0058,EASY,GO,0,L0_BASELINE,NONE
R0059,FRAGILE,GO,0,L0_BASELINE,NONE
R0060,FRAGILE,GO,0,L0_BASELINE,NONE
R0061,FRAGILE,GO,2,L2_SLEW_LIMIT,SLEW_LIMIT
R0062,EASY,GO,0,L0_BASELINE,NONE
R0063,FRAGILE,GO,0,L0_BASELINE,NONE
R0064,EASY,GO,0,L0_BASELINE,NONE
R0065,FRAGILE,GO,2,L2_SLEW_LIMIT,SLEW_LIMIT
R0066,EASY,GO,0,L0_BASELINE,NONE
R0067,EASY,GO,0,L0_BASELINE,NONE
R0068,FRAGILE,GO,0,L0_BASELINE,NONE
R0069,EASY,GO,0,L0_BASELINE,NONE
R0070,FRAGILE,GO,0,L0_BASELINE,NONE
R0071,FRAGILE,GO,0,L0_BASELINE,NONE
R0072,FRAGILE,GO,0,L0_BASELINE,NONE
R0073,EASY,GO,0,L0_BASELINE,NONE
R0074,FRAGILE,GO,0,L0_BASELINE,NONE
R0075,EASY,GO,0,L0_BASELINE,NONE
R0076,FRAGILE,GO,0,L0_BASELINE,NONE
R0077,EASY,GO,0,L0_BASELINE,NONE
R0078,FRAGILE,GO,0,L0_BASELINE,NONE
R0079,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0080,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0081,FRAGILE,GO,0,L0_BASELINE,NONE
R0082,FRAGILE,GO,0,L0_BASELINE,NONE
R0083,EASY,GO,0,L0_BASELINE,NONE
R0084,EASY,GO,0,L0_BASELINE,NONE
R0085,EASY,GO,0,L0_BASELINE,NONE
R0086,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0087,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0088,FRAGILE,GO,0,L0_BASELINE,NONE
R0089,EASY,GO,0,L0_BASELINE,NONE
R0090,FRAGILE,GO,0,L0_BASELINE,NONE
R0091,FRAGILE,GO,0,L0_BASELINE,NONE
R0092,EASY,GO,0,L0_BASELINE,NONE
R0093,FRAGILE,GO,0,L0_BASELINE,NONE
R0094,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0095,EASY,GO,0,L0_BASELINE,NONE
R0096,EASY,GO,0,L0_BASELINE,NONE
R0097,EASY,GO,0,L0_BASELINE,NONE
R0098,EASY,GO,0,L0_BASELINE,NONE
R0099,EASY,GO,0,L0_BASELINE,NONE
R0100,FRAGILE,GO,0,L0_BASELINE,NONE
R0101,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0102,EASY,GO,0,L0_BASELINE,NONE
R0103,FRAGILE,GO,0,L0_BASELINE,NONE
R0104,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0105,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0106,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0107,EASY,GO,0,L0_BASELINE,NONE
R0108,FRAGILE,GO,0,L0_BASELINE,NONE
R0109,EASY,GO,0,L0_BASELINE,NONE
R0110,FRAGILE,GO,0,L0_BASELINE,NONE
R0111,FRAGILE,GO,0,L0_BASELINE,NONE
R0112,FRAGILE,GO,0,L0_BASELINE,NONE
R0113,EASY,GO,0,L0_BASELINE,NONE
R0114,EASY,GO,0,L0_BASELINE,NONE
R0115,FRAGILE,GO,0,L0_BASELINE,NONE
R0116,EASY,GO,0,L0_BASELINE,NONE
R0117,EASY,GO,0,L0_BASELINE,NONE
R0118,FRAGILE,GO,0,L0_BASELINE,NONE
R0119,FRAGILE,GO,2,L2_SLEW_LIMIT,SLEW_LIMIT
R0120,EASY,GO,0,L0_BASELINE,NONE
R0121,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0122,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0123,FRAGILE,GO,0,L0_BASELINE,NONE
R0124,EASY,GO,0,L0_BASELINE,NONE
R0125,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0126,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0127,FRAGILE,GO,0,L0_BASELINE,NONE
R0128,EASY,GO,0,L0_BASELINE,NONE
R0129,FRAGILE,GO,0,L0_BASELINE,NONE
R0130,FRAGILE,GO,0,L0_BASELINE,NONE
R0131,EASY,GO,0,L0_BASELINE,NONE
R0132,FRAGILE,GO,0,L0_BASELINE,NONE
R0133,EASY,GO,0,L0_BASELINE,NONE
R0134,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0135,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0136,FRAGILE,GO,0,L0_BASELINE,NONE
R0137,FRAGILE,GO,0,L0_BASELINE,NONE
R0138,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0139,FRAGILE,GO,0,L0_BASELINE,NONE
R0140,FRAGILE,GO,0,L0_BASELINE,NONE
R0141,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0142,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0143,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0144,EASY,GO,0,L0_BASELINE,NONE
R0145,FRAGILE,GO,0,L0_BASELINE,NONE
R0146,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0147,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0148,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0149,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0150,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0151,EASY,GO,0,L0_BASELINE,NONE
R0152,EASY,GO,0,L0_BASELINE,NONE
R0153,EASY,GO,0,L0_BASELINE,NONE
R0154,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0155,EASY,GO,0,L0_BASELINE,NONE
R0156,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0157,FRAGILE,GO,0,L0_BASELINE,NONE
R0158,EASY,GO,0,L0_BASELINE,NONE
R0159,EASY,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0160,EASY,GO,0,L0_BASELINE,NONE
R0161,EASY,GO,0,L0_BASELINE,NONE
R0162,EASY,GO,0,L0_BASELINE,NONE
R0163,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0164,FRAGILE,GO,0,L0_BASELINE,NONE
R0165,FRAGILE,GO,0,L0_BASELINE,NONE
R0166,FRAGILE,GO,0,L0_BASELINE,NONE
R0167,FRAGILE,GO,0,L0_BASELINE,NONE
R0168,EASY,GO,0,L0_BASELINE,NONE
R0169,FRAGILE,GO,0,L0_BASELINE,NONE
R0170,FRAGILE,GO,0,L0_BASELINE,NONE
R0171,FRAGILE,GO,0,L0_BASELINE,NONE
R0172,EASY,GO,0,L0_BASELINE,NONE
R0173,EASY,GO,0,L0_BASELINE,NONE
R0174,FRAGILE,GO,0,L0_BASELINE,NONE
R0175,EASY,GO,0,L0_BASELINE,NONE
R0176,EASY,GO,0,L0_BASELINE,NONE
R0177,FRAGILE,GO,0,L0_BASELINE,NONE
R0178,FRAGILE,GO,0,L0_BASELINE,NONE
R0179,EASY,GO,0,L0_BASELINE,NONE
R0180,FRAGILE,GO,0,L0_BASELINE,NONE
R0181,EASY,GO,0,L0_BASELINE,NONE
R0182,EASY,GO,0,L0_BASELINE,NONE
R0183,EASY,GO,0,L0_BASELINE,NONE
R0184,INFEASIBLE,GO,0,L0_BASELINE,NONE
R0185,EASY,GO,0,L0_BASELINE,NONE
R0186,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0187,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0188,FRAGILE,GO,0,L0_BASELINE,NONE
R0189,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0190,FRAGILE,GO,0,L0_BASELINE,NONE
R0191,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0192,EASY,GO,0,L0_BASELINE,NONE
R0193,FRAGILE,GO,0,L0_BASELINE,NONE
R0194,FRAGILE,GO,0,L0_BASELINE,NONE
R0195,FRAGILE,GO,0,L0_BASELINE,NONE
R0196,EASY,GO,0,L0_BASELINE,NONE
R0197,EASY,GO,0,L0_BASELINE,NONE
R0198,FRAGILE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0199,FRAGILE,GO,0,L0_BASELINE,NONE
R0200,EASY,GO,0,L0_BASELINE,NONE
R0201,EASY,GO,0,L0_BASELINE,NONE
R0202,EASY,GO,0,L0_BASELINE,NONE
R0203,EASY,GO,0,L0_BASELINE,NONE
R0204,EASY,GO,0,L0_BASELINE,NONE
R0205,FRAGILE,GO,0,L0_BASELINE,NONE
R0206,EASY,GO,0,L0_BASELINE,NONE
R0207,EASY,GO,0,L0_BASELINE,NONE
R0208,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0209,EASY,GO,0,L0_BASELINE,NONE
R0210,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0211,EASY,GO,0,L0_BASELINE,NONE
R0212,EASY,GO,0,L0_BASELINE,NONE
R0213,FRAGILE,GO,0,L0_BASELINE,NONE
R0214,EASY,GO,0,L0_BASELINE,NONE
R0215,EASY,GO,0,L0_BASELINE,NONE
R0216,FRAGILE,GO,0,L0_BASELINE,NONE
R0217,FRAGILE,GO,0,L0_BASELINE,NONE
R0218,EASY,GO,0,L0_BASELINE,NONE
R0219,EASY,GO,0,L0_BASELINE,NONE
R0220,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0221,EASY,GO,0,L0_BASELINE,NONE
R0222,EASY,GO,0,L0_BASELINE,NONE
R0223,EASY,GO,0,L0_BASELINE,NONE
R0224,FRAGILE,GO,0,L0_BASELINE,NONE
R0225,FRAGILE,GO,0,L0_BASELINE,NONE
R0226,EASY,GO,0,L0_BASELINE,NONE
R0227,FRAGILE,GO,0,L0_BASELINE,NONE
R0228,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0229,FRAGILE,GO,0,L0_BASELINE,NONE
R0230,FRAGILE,GO,0,L0_BASELINE,NONE
R0231,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0232,INFEASIBLE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0233,INFEASIBLE,NOGO,4,L4_SENSOR_EFFECTS,SENSOR_LATENCY_NOISE
R0234,FRAGILE,NOGO,5,L5_FULL,AERO_UNCERTAINTY_DRIFT
R0235,FRAGILE,GO,0,L0_BASELINE,NONE
