rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,final_label,nom_sr,sr_full_in_full_v2,sr_gap_v2,full_go_v2,simple_go,false_approval_v2,false_rejection_v2
R0001,1,EASY,3.6,4.0,3.6,1.0,1.0,1.0,0.0,1,1,1,0,0,6.068141416684635,1.2845537705409542,-4.783587646143681,0.3882491261781535,0.8498871314095855,0.0995163138642132,0.098642675260011,-15.682771375454053,6.361073417472711,1.4270960300251891,97.45696675869196,5.835579409173208,3,0.1421734254394407,0.2144077709362379,0.0995894362509292,EASY,,1.0,0.0,1,1,0,0
R0002,2,EASY,295.07,4.0,168.58,1.0,1.0,1.0,0.0,1,1,1,0,0,1.5071338050060676,0.4603682708669031,-1.0467655341391646,3.6359741607892304,0.7141352696699883,0.008783716176404,0.1296945732251466,-87.28480060502788,5.032710153524345,0.8713209285124457,178.91752742415022,7.588289242252378,3,0.1200826710634959,0.0595327761445627,0.4315089065732231,EASY,,1.0,0.0,1,1,0,0
R0003,3,EASY,46.78,16.0,22.73,1.0,1.0,1.0,0.0,1,1,1,0,0,5.606413320808815,0.8444121526061026,-4.762001168202712,0.0,0.7934489857400101,0.0214628144422404,-0.0705583401254659,-71.54755943384043,6.158460707202374,2.0980817453368528,116.15327777045268,13.843629661141325,2,0.1249571731341864,0.1714859606348293,0.1208175440534096,EASY,1.0,1.0,0.0,1,1,0,0
R0004,4,EASY,168.58,4.0,12.98,1.0,1.0,1.0,0.0,1,1,1,0,0,2.012303252184377,1.635272519429764,-0.3770307327546132,3.06074007274767,0.6832935531138052,0.0190624600066684,0.2843466363313685,-55.057340843666914,13.626055340152114,2.3516496467728865,70.0420756011916,3.0093623403462573,5,0.1390061011138282,0.0552402355010921,0.3124759726580058,EASY,,1.0,0.0,1,1,0,0
R0005,5,EASY,70.18,16.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,4.4362750258989605,0.5411185011708343,-3.8951565247281263,0.0,1.1793400245680723,0.0570427595542534,-0.1228206545133101,-77.54320310714712,9.66005990315,1.8366908440621568,199.8378564578116,4.425843468484414,2,0.0929863525815864,0.1295200737149573,0.1007992892796896,EASY,,1.0,0.0,1,1,0,0
R0006,6,EASY,24.65,4.0,50.74,1.0,1.0,1.0,0.0,1,1,1,0,0,3.6964771688177622,0.7865011824172972,-2.909975986400465,3.1541615121793765,0.8131255453851484,0.0818266199476756,0.1573677121572888,-67.22314662331284,13.151949511704188,1.0111135851485795,109.42125322889004,6.206626942350337,4,0.0223310504105799,0.1492805197716319,0.111569418923341,EASY,,1.0,0.0,1,1,0,0
R0007,7,EASY,1.0,4.0,113.27,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,7.701037668456318,0.4308100320017654,-7.270227636454552,0.0,0.6031008544893346,0.0823440511360888,-0.2230902949188245,-73.44471683172267,5.393447615414312,1.4778640391796336,190.7497242303376,11.702072465650833,2,0.0583005930866844,0.1935780462453568,0.2807808097839068,EASY,,1.0,0.6666666666666667,1,0,0,1
R0008,8,EASY,8.72,4.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,4.358004876629406,0.7018457585586058,-3.6561591180708,1.173639030790205,1.0905722356609608,0.0145180569286802,0.0734852492622349,-63.68690465100859,8.242046411204923,1.42932306920114,191.67974545945745,3.3271668139780166,1,0.1388213471815887,0.17299742908843,0.3573106465365129,EASY,,1.0,0.0,1,1,0,0
R0009,9,EASY,3.6,4.0,43.14,1.0,1.0,1.0,0.0,1,1,1,0,0,3.945298834543482,0.5322910217401401,-3.413007812803342,0.5632723116791603,0.9695692763180191,0.0989529693275684,0.0356930279637707,-66.62816192757492,8.788801331329719,1.6023024898078428,158.19901079383095,8.63309666964725,4,0.1387900167826265,0.1273212451541783,0.3489477242632748,EASY,,1.0,0.0,1,1,0,0
R0010,10,EASY,295.07,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,1.9076747843841515,0.44378383781888,-1.4638909465652712,0.8743235542141726,0.7387898190462002,0.0331902634526775,0.0664894444598575,-59.36587199065892,10.32679697342401,1.832034379781644,189.19871238130696,9.163150246988486,5,0.0969503861071194,0.0353556982828887,0.3824229066568019,EASY,,1.0,0.0,1,1,0,0
