rocket_id,design_id,regime_label,gain_Kp,gain_Kd,gain_source,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,baseline_success_rate,baseline_rms,baseline_peak,baseline_max_theta,baseline_u_sat,baseline_go,abl_success_wind,delta_success_wind,delta_rms_wind,delta_peak_wind,delta_theta_wind,decision_flip_wind,flip_dir_wind,abl_success_backlash,delta_success_backlash,delta_rms_backlash,delta_peak_backlash,delta_theta_backlash,decision_flip_backlash,flip_dir_backlash,abl_success_slew,delta_success_slew,delta_rms_slew,delta_peak_slew,delta_theta_slew,decision_flip_slew,flip_dir_slew,abl_success_latency,delta_success_latency,delta_rms_latency,delta_peak_latency,delta_theta_latency,decision_flip_latency,flip_dir_latency,abl_success_sensor_noise,delta_success_sensor_noise,delta_rms_sensor_noise,delta_peak_sensor_noise,delta_theta_sensor_noise,decision_flip_sensor_noise,flip_dir_sensor_noise,abl_success_deadband,delta_success_deadband,delta_rms_deadband,delta_peak_deadband,delta_theta_deadband,decision_flip_deadband,flip_dir_deadband,abl_success_nonlinear_aero,delta_success_nonlinear_aero,delta_rms_nonlinear_aero,delta_peak_nonlinear_aero,delta_theta_nonlinear_aero,decision_flip_nonlinear_aero,flip_dir_nonlinear_aero,abl_success_dyn_aero,delta_success_dyn_aero,delta_rms_dyn_aero,delta_peak_dyn_aero,delta_theta_dyn_aero,decision_flip_dyn_aero,flip_dir_dyn_aero,abl_success_thrust_curve,delta_success_thrust_curve,delta_rms_thrust_curve,delta_peak_thrust_curve,delta_theta_thrust_curve,decision_flip_thrust_curve,flip_dir_thrust_curve,abl_success_cg_shift,delta_success_cg_shift,delta_rms_cg_shift,delta_peak_cg_shift,delta_theta_cg_shift,decision_flip_cg_shift,flip_dir_cg_shift,dominant_module,dominant_delta_rms,n_decision_flips,decision_flip_modules,fidelity_complexity
R0001,1,INFEASIBLE,10.0,4.0,exp1,2.6598720333941874,0.980226043951444,0.0279890280390062,0.2125235670133481,-58.55657893430198,5.696793669890843,28.33384120100757,41.51990502483413,8.40958129155255,5,0.032818701757763,0.1474227504116182,0.0670244116703838,1.0,2.882658337923982,10.056171524404464,10.056171524404464,0.0,1,1.0,0.0,-2.4188028296385835,-6.059059787757683,-6.059059787757683,0,,1.0,0.0,-0.16707988213874314,-0.3556071031421286,-0.3556071031421286,0,,1.0,0.0,1.2777032344986101,5.181578612242317,5.181578612242317,0,,1.0,0.0,-0.22396368436761627,0.5045810782278597,0.5045810782278597,0,,1.0,0.0,-2.668068317235295,-9.398906973070307,-9.398906973070307,0,,1.0,0.0,-0.3519032422487385,-1.3824554608418769,-1.3824554608418769,0,,1.0,0.0,0.0010250977209795842,0.0005868433230595826,0.0005868433230595826,0,,1.0,0.0,-0.2952507955122541,0.07378056428642665,0.07378056428642665,0,,0.8,-0.19999999999999996,-0.07471447528328934,6.38393724577673,6.38393724577673,0,,1.0,0.0,-0.0363980039649916,0.36087524913912183,0.36087524913912183,0,,sensor_noise,2.668068317235295,0,none,0
R0002,2,FRAGILE,20.0,4.0,exp1,0.3299571470459935,1.5333561348799194,0.0307044309596682,0.0437594309668621,-35.57424129072616,13.148340614097382,28.81117047383116,54.76436406900061,12.931315291005122,5,0.0143306842539837,0.240631104578251,0.4403689596262259,0.6,9.0831442831299,28.668436582682723,28.668436582682723,0.0,1,1.0,0.4,-9.0831442831299,-28.668436582682723,-28.668436582682723,0,,1.0,0.4,-5.076741889798836,-16.30369527901721,-16.30369527901721,0,,0.8,0.20000000000000007,-3.684969264314126,-13.291797637839712,-13.291797637839712,0,,0.6,0.0,0.008299772335853106,-0.13062731909368352,-0.13062731909368352,0,,1.0,0.4,-7.819157412720195,-24.93886704868909,-24.93886704868909,0,,0.6,0.0,0.10458704692763554,0.4309136460270935,0.4309136460270935,0,,0.6,0.0,2.842170943040401e-14,1.6342482922482304e-13,1.6342482922482304e-13,0,,0.8,0.20000000000000007,-2.0956842367026587,-6.499681004986282,-6.499681004986282,0,,1.0,0.4,-1.3830066706395971,-5.991450213552348,-5.991450213552348,0,,0.6,0.0,0.023319696787197586,-0.15363189920084608,-0.15363189920084608,0,,wind,9.0831442831299,0,none,0
R0003,3,EASY,10.0,4.0,exp1,0.9142380681124036,2.0932216165029263,0.0160951340323037,0.1335888798327121,-30.168126792192908,5.658842828809494,25.152436480140786,53.18793648700768,13.816022859894131,3,0.1037036925367456,0.0313605092059842,0.0732701762136385,1.0,3.659473746186906,12.65584252778312,12.65584252778312,0.0,1,1.0,0.0,-0.8468788739618849,-4.067794144829902,-4.067794144829902,0,,1.0,0.0,-0.007334665173369892,-1.987980791518119,-1.987980791518119,0,,0.8,-0.19999999999999996,3.751022803469398,19.16165808375549,19.16165808375549,0,,1.0,0.0,0.11620730715847083,-1.5328780937634647,-1.5328780937634647,0,,1.0,0.0,-3.567308112660588,-12.389676745476335,-12.389676745476335,0,,1.0,0.0,-0.7502150253099122,-2.419250551744719,-2.419250551744719,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.7906254233439483,-1.465614666555295,-1.465614666555295,0,,1.0,0.0,0.5913718905055494,-0.2347190382770865,-0.2347190382770865,0,,1.0,0.0,0.1519220693260892,-1.3163276711903258,-1.3163276711903258,0,,slew,3.751022803469398,0,none,0
R0004,4,INFEASIBLE,10.0,4.0,exp1,1.3262410120284398,1.1458700784946645,0.0197381073768443,0.1221288484418248,-56.58899379982275,7.411721360608458,35.1493192042488,39.10831124149981,13.860677861258605,6,0.0970244044553129,0.071169275337702,0.2215705572986899,0.8,8.485161416884058,26.410325085955677,26.410325085955677,0.0,1,1.0,0.19999999999999996,-7.970350321844513,-20.4313509318495,-20.4313509318495,0,,1.0,0.19999999999999996,-2.45533455683029,-8.232306962069128,-8.232306962069128,0,,0.6,-0.20000000000000007,0.3518490438844424,-2.3961644167745675,-2.3961644167745675,0,,0.8,0.0,0.08513267804084101,1.058755735804617,1.058755735804617,0,,1.0,0.19999999999999996,-7.788761341255812,-23.449753050902924,-23.449753050902924,0,,0.8,0.0,-0.35999776971103614,-1.6055932749925645,-1.6055932749925645,0,,0.8,0.0,0.03410748581516998,0.21958391594828797,0.21958391594828797,0,,0.8,0.0,-2.2385050862333324,-5.4453402822506085,-5.4453402822506085,0,,0.8,0.0,-1.194187055896335,-10.1972637516138,-10.1972637516138,0,,0.8,0.0,-0.08913870992592976,-0.47208718476192857,-0.47208718476192857,0,,wind,7.970350321844513,0,none,0
R0005,5,EASY,45.0,4.0,exp1,2.244097704897517,1.7023175044960253,0.0322465061879097,0.1713000152995874,-67.33357874232503,6.884098067168734,34.194482273821,61.85790288511447,13.968779080652372,3,0.0979289073505058,0.0083042089587234,0.2432951566421546,1.0,3.438254386840831,12.483880290793458,12.483880290793458,0.0,1,1.0,0.0,-1.7009363144768725,-5.406419014630088,-5.406419014630088,0,,1.0,0.0,0.32932901607838216,1.0418981944370742,1.0418981944370742,0,,1.0,0.0,-1.2841071287243353,-2.907561418378677,-2.907561418378677,0,,1.0,0.0,0.31859265419437577,0.7982687040159604,0.7982687040159604,0,,1.0,0.0,-3.309638627083641,-12.00893165971634,-12.00893165971634,0,,1.0,0.0,0.24635823580043237,1.5401810933264066,1.5401810933264066,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.32817629346223187,-0.1709114695993712,-0.1709114695993712,0,,0.8,-0.19999999999999996,1.0564623458136557,9.34815711665376,9.34815711665376,0,,1.0,0.0,0.35163027337568975,0.8511497538260002,0.8511497538260002,0,,sensor_noise,3.309638627083641,0,none,0
R0006,6,INFEASIBLE,10.0,4.0,exp1,1.6071754526065285,1.2213315970382097,0.0376382225948464,0.2070724606489198,-34.1588332952472,8.655239612599996,25.07180042915296,24.87006606993788,12.705726957761302,6,0.1370704103263459,0.2314136281931626,0.3325304904520918,0.6,9.469931846584469,45.950550093239514,45.950550093239514,0.0,1,1.0,0.4,-9.469931846584469,-45.950550093239514,-45.950550093239514,0,,0.8,0.20000000000000007,-2.2747786265915106,-17.532120728069703,-17.532120728069703,0,,1.0,0.4,-4.914546416706418,-32.503686411140954,-32.503686411140954,0,,0.6,0.0,-0.0016026848908570202,-0.042465754195475824,-0.042465754195475824,0,,1.0,0.4,-6.278121437334688,-33.26179372077851,-33.26179372077851,0,,0.6,0.0,0.0023191276103577962,0.07639887991999217,0.07639887991999217,0,,0.6,0.0,0.001003531623659626,0.02193009785959532,0.02193009785959532,0,,0.6,0.0,-1.2579425376975273,-6.507379627779535,-6.507379627779535,0,,0.6,0.0,0.35595064333760007,1.9687842415060004,1.9687842415060004,0,,0.6,0.0,0.008988905339174735,0.1010158984592806,0.1010158984592806,0,,wind,9.469931846584469,0,none,0
R0007,7,EASY,10.0,4.0,exp1,1.932932563356812,0.9131465969267318,0.0349191515128533,0.1531569495430518,-66.77604612973407,13.622798046816747,36.23621007260986,86.28691398730489,12.767093927113546,2,0.10382420164232,0.2056637457531945,0.0906110090266974,0.8,3.381845921475199,16.043921577563196,16.043921577563196,0.0,1,1.0,0.19999999999999996,-3.073302432140598,-12.056228759823016,-12.056228759823016,0,,1.0,0.19999999999999996,-0.6267469258511258,-7.367663429460851,-7.367663429460851,0,,1.0,0.19999999999999996,0.659126902346221,-0.925942686136052,-0.925942686136052,0,,1.0,0.19999999999999996,0.041367433994866865,-1.4547844688165021,-1.4547844688165021,0,,1.0,0.19999999999999996,-2.991259945112358,-15.139012222574408,-15.139012222574408,0,,0.8,0.0,0.0417091176050719,0.7750559924128204,0.7750559924128204,0,,0.8,0.0,-0.0023373510691597765,-0.06685259877600203,-0.06685259877600203,0,,1.0,0.19999999999999996,-0.570306172546132,-2.7974672567964003,-2.7974672567964003,0,,0.8,0.0,1.2954383553208069,7.637913424804658,7.637913424804658,0,,0.8,0.0,0.07383221919567617,-0.4241452006416182,-0.4241452006416182,0,,wind,3.073302432140598,0,none,0
R0008,8,EASY,20.0,4.0,exp1,1.608433777705023,1.7909772879268662,0.0278727488034806,0.2160462734415672,-38.94872924100838,11.126290461657248,35.42706156718535,81.40397399144058,8.182604797812047,3,0.1243273723467379,0.1643121849814275,0.4437899058022937,0.6,5.776735312949936,27.54055304784709,27.54055304784709,0.0,1,1.0,0.4,-3.6175236632983694,-19.53911627318127,-19.53911627318127,0,,0.8,0.20000000000000007,-0.6171168240618492,-10.913195140653606,-10.913195140653606,0,,1.0,0.4,-2.3038897867855668,-18.166673626984853,-18.166673626984853,0,,0.6,0.0,0.34686427711852996,-4.743235457493441,-4.743235457493441,0,,1.0,0.4,-5.424656244950447,-26.263015336763097,-26.263015336763097,0,,0.6,0.0,-0.218377415085099,-3.277968504933952,-3.277968504933952,0,,0.6,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0,,0.6,0.0,-1.0065806017383494,-9.816355991801117,-9.816355991801117,0,,0.6,0.0,1.3018346779083316,-6.2948195328360335,-6.2948195328360335,0,,0.6,0.0,0.6850721089276179,-0.4619715557399502,-0.4619715557399502,0,,sensor_noise,5.424656244950447,0,none,0
R0009,9,FRAGILE,80.0,16.0,exp1,1.0055022951186718,0.9456381873894466,0.0336228087520171,0.1219803323496465,-45.43206325548498,5.480685644819693,39.31875610137895,79.64451083654504,9.662679804465473,2,0.0730353887263551,0.1711563830203867,0.3752425861460516,0.6,6.797668277748199,24.56992353834799,24.56992353834799,0.0,1,1.0,0.4,-5.341909427338528,-15.104266957219561,-15.104266957219561,0,,0.6,0.0,-0.36831698463278073,-3.254309828611632,-3.254309828611632,0,,1.0,0.4,-3.006824783544979,-11.222023192934438,-11.222023192934438,0,,0.6,0.0,-0.005114627466945798,3.9091307623830502,3.9091307623830502,0,,1.0,0.4,-6.232451594539325,-22.3183724459081,-22.3183724459081,0,,0.6,0.0,0.1153417153907057,0.17877140609286002,0.17877140609286002,0,,0.6,0.0,0.010839070909688608,0.42494589535981575,0.42494589535981575,0,,0.6,0.0,-0.9624599574616397,-6.41226714727453,-6.41226714727453,0,,0.6,0.0,2.5165299190919637,16.535530767694926,16.535530767694926,0,,0.6,0.0,0.05862584373001045,6.750548573913079,6.750548573913079,0,,sensor_noise,6.232451594539325,0,none,0
R0010,10,EASY,10.0,4.0,exp1,0.9739305329084648,1.9939036090378468,0.0112524349400864,0.0809240372850277,-59.34007877882651,6.56520532531887,31.46709959231371,69.3186022680884,12.113336416676129,3,0.1340350671305061,0.0494933139500468,0.2594575637197658,0.6,7.008461563562522,19.27127616711571,19.27127616711571,0.0,1,1.0,0.4,-2.838180654095301,-7.745227354589646,-7.745227354589646,0,,1.0,0.4,-2.0695453337935463,-4.821541063568533,-4.821541063568533,0,,0.8,0.20000000000000007,2.157817757838389,5.458730614804171,5.458730614804171,0,,0.4,-0.19999999999999996,0.285943006344322,1.2993273516584587,1.2993273516584587,0,,1.0,0.4,-6.5711157179802235,-18.066204858785778,-18.066204858785778,0,,0.6,0.0,0.21882425947286865,2.0590752673619725,2.0590752673619725,0,,0.6,0.0,0.0,0.0,0.0,0,,1.0,0.4,-2.208704317218782,-5.24630067152807,-5.24630067152807,0,,1.0,0.4,-1.3448873728224982,-5.741795259940538,-5.741795259940538,0,,0.8,0.20000000000000007,-0.4906027609298764,-2.06419152549714,-2.06419152549714,0,,sensor_noise,6.5711157179802235,0,none,0
