rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,is_stable
R0263,263,0.0,1.180813960794242,0.0148741020641283,-0.1670550327700582,-64.88958602893497,9.42878584182903,1.7333372238927718,80.51764312777946,9.640624948740872,5,0.0141672766601719,0.1329960714192321,0.4024976455708484,5.0,8.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,10.708169593956164,30.47507353890595,22.749918348287384,30.47507353890595,0.0,0.0311111111111111,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0249,249,0.0,1.5017860930953186,0.01333400217602,-0.1044214576119059,-89.68252951460309,10.022118061277752,2.0993460915668845,32.67003764503196,4.892331627358289,2,0.0967159385662763,0.1790342978072225,0.3492786929935244,40.0,16.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,9.713035031576032,26.17567505092197,18.622541691019546,26.17567505092197,0.0,0.0327777777777777,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0787,787,0.0,1.7348173383970849,0.0124244609179154,-0.1193891520643966,-32.49984181696324,11.883387931411916,1.9093854081037784,51.13770169844248,11.189957538973966,1,0.0041327065323964,0.0745496258773052,0.3325535649027052,2.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,7.863290117365601,21.61602896509471,15.001449538343143,21.61602896509471,0.0,0.0383333333333333,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0909,909,0.0,1.146386370576474,0.0104701304608658,-0.0964379698121547,-66.7861552899626,7.220263091239328,2.4831195011316365,8.120526210462227,11.324879828632124,2,0.1197526065189076,0.224747692973742,0.4443838992431803,40.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,17.892387957667527,42.91879662433958,33.88435205909352,42.91879662433958,0.0,0.3816666666666666,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0143,143,0.0,0.9988224175565033,0.0112318443720645,-0.2796040404200168,-83.44343891299874,9.496631092310228,1.7434861379159314,53.409955697045866,10.49296957341227,4,0.0448966418454639,0.1250688525148361,0.2615574234345467,15.0,8.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,9.229994956499274,23.706126257694663,21.379937481581777,23.706126257694663,0.0,0.0344444444444444,3.0,1.6666666666666667,0.0,0.0,INFEASIBLE,0,True
R0550,550,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,63.01167846027034,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051,2.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,8.076288834481112,20.71244917347685,15.233125830678892,20.71244917347685,0.0,0.0433333333333333,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0125,125,0.0,1.011724838247151,0.0125865230482514,-0.0784624472994512,-83.61293213299403,12.445194737209292,1.4006070274897304,57.2017659052917,9.349584776196616,3,0.0395578114182905,0.0734656478367662,0.3516918369295625,2.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,10.223548222071576,26.802106353849226,20.150841762572156,26.802106353849226,0.0,0.0583333333333333,3.0,2.333333333333333,0.0,0.0,INFEASIBLE,0,True
R0991,991,0.2280749192600598,1.793782111136372,0.0104028311303953,0.0549998271860215,-21.171907081608023,10.215558721949137,2.343076206283276,25.284065658649308,7.738952231411242,1,0.142605308863184,0.0938215288875728,0.3295424804900249,5.0,8.0,0.3333333333333333,1.0,1.0,0.6666666666666666,2,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,8.92770389065119,20.309522001121305,14.734460985788957,20.309522001121305,0.0,0.0166666666666666,3.0,1.6666666666666667,0.0,0.0,INFEASIBLE,0,False
R0828,828,1.3838816781671013,1.1879294800776583,0.0150674129191748,0.1309230479550319,-58.38068067534229,5.164647735606053,2.7420253723345533,21.472160703197996,9.758980588601284,6,0.0291677523862325,0.1194755266377378,0.4109761962309339,80.0,32.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,15.928152867676792,35.60979056869223,23.0397304565226,35.60979056869223,0.0,0.07,3.0,1.3333333333333333,0.0,0.0,INFEASIBLE,0,False
R0405,405,1.8584782629787813,1.4484674611864112,0.0173807807820643,0.2463404132970595,-38.97311258705582,11.766676767599243,2.3987523259149395,64.80744001805986,13.094226208564503,5,0.0136895785505929,0.1840646068880781,0.4246451248185087,40.0,32.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,10.387845231752316,26.974489811776884,15.232113041562082,26.974489811776884,0.0,0.0211111111111111,3.0,1.6666666666666667,0.0,0.0,INFEASIBLE,0,False
