case_id,case_label,parameter,bottleneck,start_value,end_value,n_points,range_text
easy_regime,Easy regime,Kd,slew_limited,0,32,9,0-32
easy_regime,Easy regime,Kp,diminishing_returns,2,2,1,2
easy_regime,Easy regime,Kp,slew_limited,5,60,8,5-60
easy_regime,Easy regime,max_gimbal_deg,diminishing_returns,2,8,4,2-8
easy_regime,Easy regime,max_gimbal_deg,slew_limited,10,18,4,10-18
easy_regime,Easy regime,servo_slew_deg_s,slew_limited,10,120,9,10-120
fragile_regime,Fragile regime,Kd,slew_limited,0,32,9,0-32
fragile_regime,Fragile regime,Kp,slew_limited,2,60,9,2-60
fragile_regime,Fragile regime,max_gimbal_deg,diminishing_returns,2,2,1,2
fragile_regime,Fragile regime,max_gimbal_deg,slew_limited,4,18,7,4-18
fragile_regime,Fragile regime,servo_slew_deg_s,slew_limited,10,90,8,10-90
fragile_regime,Fragile regime,servo_slew_deg_s,diminishing_returns,120,120,1,120
hard_regime,Hard regime,Kd,slew_limited,0,32,9,0-32
hard_regime,Hard regime,Kp,slew_limited,2,30,7,2-30
hard_regime,Hard regime,Kp,authority_limited,45,60,2,45-60
hard_regime,Hard regime,max_gimbal_deg,slew_limited,2,18,8,2-18
hard_regime,Hard regime,servo_slew_deg_s,slew_limited,10,120,9,10-120
