regime_label,design_lever,mean_success_gain,mean_stability_gain,mean_maneuverability_gain,mean_tradeoff_score,pipeline_layer,dataset_name,schema_version,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,parameter_vector_id
INFEASIBLE,increase_servo_slew_20pct,0.206896551724138,5.92048616609179,0.689655172413793,0.247460577090216,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,1
INFEASIBLE,increase_gimbal_15pct,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,2
INFEASIBLE,reduce_backlash_50pct,0.568965517241379,24.2116373622933,5.86206896551724,0.808150509437039,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,3
INFEASIBLE,reduce_deadband_50pct,0.0689655172413793,-0.114194081613354,-0.172413793103448,0.0592982907790705,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,4
INFEASIBLE,reduce_latency_1sample,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,5
INFEASIBLE,increase_control_effectiveness_10pct,0.0172413793103448,-2.33344039354254,0,-0.00980636830114796,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,6
INFEASIBLE,increase_aero_damping_10pct,0.0172413793103448,1.35836348139308,0.344827586206897,0.030487198652294,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,7
FRAGILE,increase_servo_slew_20pct,-0.466666666666667,-0.0841840069244141,2.33333333333333,-0.447735189157404,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,8
FRAGILE,increase_gimbal_15pct,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,9
FRAGILE,reduce_backlash_50pct,-0.0666666666666667,5.92447008978942,9,0.205031564142769,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,10
FRAGILE,reduce_deadband_50pct,-0.0666666666666667,-0.855926467670511,-1,-0.117100038829369,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,11
FRAGILE,reduce_latency_1sample,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,12
FRAGILE,increase_control_effectiveness_10pct,-0.4,-0.893382881492358,2.33333333333333,-0.408655431371591,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,13
FRAGILE,increase_aero_damping_10pct,-0.2,0.434533926483646,2.33333333333333,-0.1710926374086,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,14
EASY,increase_servo_slew_20pct,0,0.287539057887508,1.11111111111111,0.0388468282407858,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,15
EASY,increase_gimbal_15pct,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,16
EASY,reduce_backlash_50pct,0,1.18730499105902,0.185185185185185,0.113066341873259,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,17
EASY,reduce_deadband_50pct,-0.037037037037037,-0.0154111964042037,-0.740740740740741,-0.0417882533110493,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,18
EASY,reduce_latency_1sample,0,0,0,0,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,19
EASY,increase_control_effectiveness_10pct,0,-0.308963718137288,0.185185185185185,-0.0340836857171348,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,20
EASY,increase_aero_damping_10pct,0,0.146034745186196,0.740740740740741,0.0180037337375504,Exp5,design_lever_gradient_map,regime-pipeline-v1,1.2,0.018,0.1,-52,8,35,0.05,0.1,3,0.15,75,15,21
