case_id,case_label,parameter,failure_threshold,minimum_practical_threshold,diminishing_return_threshold,failure_bottleneck,practical_bottleneck,design_rule
easy_regime,Easy regime,max_gimbal_deg,2,2,2,diminishing_returns,diminishing_returns,Easy regime Max Gimbal Authority (deg): below 2 performance is bottlenecked by diminishing_returns; 2 reaches 90% of max envelope; gains beyond 2 show diminishing returns. 2-8: diminishing-returns; 10-18: slew-limited
easy_regime,Easy regime,servo_slew_deg_s,45,120,120,slew_limited,slew_limited,Easy regime Servo Slew (deg/s): below 45 performance is bottlenecked by slew_limited; 120 reaches 90% of max envelope; gains beyond 120 show diminishing returns. 10-120: slew-limited
easy_regime,Easy regime,Kp,2,2,2,diminishing_returns,diminishing_returns,Easy regime Proportional Gain Kp: below 2 performance is bottlenecked by diminishing_returns; 2 reaches 90% of max envelope; gains beyond 2 show diminishing returns. 2: diminishing-returns; 5-60: slew-limited
easy_regime,Easy regime,Kd,6,24,24,slew_limited,slew_limited,Easy regime Derivative Gain Kd: below 6 performance is bottlenecked by slew_limited; 24 reaches 90% of max envelope; gains beyond 24 show diminishing returns. 0-32: slew-limited
fragile_regime,Fragile regime,max_gimbal_deg,2,2,2,diminishing_returns,diminishing_returns,Fragile regime Max Gimbal Authority (deg): below 2 performance is bottlenecked by diminishing_returns; 2 reaches 90% of max envelope; gains beyond 2 show diminishing returns. 2: diminishing-returns; 4-18: slew-limited
fragile_regime,Fragile regime,servo_slew_deg_s,30,120,120,slew_limited,diminishing_returns,Fragile regime Servo Slew (deg/s): below 30 performance is bottlenecked by slew_limited; 120 reaches 90% of max envelope; gains beyond 120 show diminishing returns. 10-90: slew-limited; 120: diminishing-returns
fragile_regime,Fragile regime,Kp,2,2,2,slew_limited,slew_limited,Fragile regime Proportional Gain Kp: below 2 performance is bottlenecked by slew_limited; 2 reaches 90% of max envelope; gains beyond 2 show diminishing returns. 2-60: slew-limited
fragile_regime,Fragile regime,Kd,6,16,16,slew_limited,slew_limited,Fragile regime Derivative Gain Kd: below 6 performance is bottlenecked by slew_limited; 16 reaches 90% of max envelope; gains beyond 16 show diminishing returns. 0-32: slew-limited
hard_regime,Hard regime,max_gimbal_deg,2,2,2,slew_limited,slew_limited,Hard regime Max Gimbal Authority (deg): below 2 performance is bottlenecked by slew_limited; 2 reaches 90% of max envelope; gains beyond 2 show diminishing returns. 2-18: slew-limited
hard_regime,Hard regime,servo_slew_deg_s,120,120,120,slew_limited,slew_limited,Hard regime Servo Slew (deg/s): below 120 performance is bottlenecked by slew_limited; 120 reaches 90% of max envelope; gains beyond 120 show diminishing returns. 10-120: slew-limited
hard_regime,Hard regime,Kp,60,60,60,authority_limited,authority_limited,Hard regime Proportional Gain Kp: below 60 performance is bottlenecked by authority_limited; 60 reaches 90% of max envelope; gains beyond 60 show diminishing returns. 2-30: slew-limited; 45-60: authority-limited
hard_regime,Hard regime,Kd,32,32,32,slew_limited,slew_limited,Hard regime Derivative Gain Kd: below 32 performance is bottlenecked by slew_limited; 32 reaches 90% of max envelope; gains beyond 32 show diminishing returns. 0-32: slew-limited
