case_id,case_label,source_regime,parameter,base_value,failure_threshold,minimum_practical_threshold,diminishing_return_threshold,max_envelope_cmd_deg,envelope_at_practical_cmd_deg,envelope_at_dr_cmd_deg,bounded_window_norm_at_practical,overshoot_pct_at_practical,actuator_sat_frac_at_practical,slew_sat_frac_at_practical,failure_bottleneck,practical_bottleneck,dr_bottleneck
easy_regime,Easy regime,EASY,max_gimbal_deg,12,2,2,2,30,30,30,1,0,0.00199600798403194,0.469333333333333,diminishing_returns,diminishing_returns,diminishing_returns
easy_regime,Easy regime,EASY,servo_slew_deg_s,90,45,120,120,25,25,25,1,30.0688803846952,0.211244178310047,0.996666666666667,slew_limited,slew_limited,slew_limited
easy_regime,Easy regime,EASY,Kp,10,2,2,2,30,30,30,1,0,0.00199600798403194,0.997,diminishing_returns,diminishing_returns,diminishing_returns
easy_regime,Easy regime,EASY,Kd,16,6,24,24,25,25,25,1,15.6966804987578,0.299068529607452,0.997333333333333,slew_limited,slew_limited,slew_limited
fragile_regime,Fragile regime,FRAGILE,max_gimbal_deg,10,2,2,2,30,30,30,1,0,0.00199600798403194,0.748333333333333,diminishing_returns,diminishing_returns,diminishing_returns
fragile_regime,Fragile regime,FRAGILE,servo_slew_deg_s,60,30,120,120,30,30,30,1,8.67313925081647,0.312042581503659,0.994666666666667,slew_limited,diminishing_returns,diminishing_returns
fragile_regime,Fragile regime,FRAGILE,Kp,10,2,2,2,15,15,15,1,0,0.147371922821025,0.998,slew_limited,slew_limited,slew_limited
fragile_regime,Fragile regime,FRAGILE,Kd,24,6,16,16,15,15,15,1,28.0601518280761,0.13606121091151,0.995666666666667,slew_limited,slew_limited,slew_limited
hard_regime,Hard regime,INFEASIBLE,max_gimbal_deg,10,2,2,2,5,5,5,0.347666666666667,147.960769596828,0.687957418496341,0.992333333333333,slew_limited,slew_limited,slew_limited
hard_regime,Hard regime,INFEASIBLE,servo_slew_deg_s,45,120,120,120,0,0,0,0.276333333333333,146.892276970545,0.76480372588157,0.998666666666667,slew_limited,slew_limited,slew_limited
hard_regime,Hard regime,INFEASIBLE,Kp,10,60,60,60,0,0,0,0.137,49.6449850076055,0.971390552228875,1,authority_limited,authority_limited,authority_limited
hard_regime,Hard regime,INFEASIBLE,Kd,4,32,32,32,0,0,0,0.491666666666667,147.558066329076,0.769461077844312,0.999666666666667,slew_limited,slew_limited,slew_limited
