firmware,p_unstable,success_rate,mean_rms_deg
tomkuttler/TVC-Flight,0,0.166666666666667,14.3314375383952
tomkuttler/TVC-Flight,2,0,8853065.83787243
tomkuttler/TVC-Flight,4,0,4.35726514342452e+16
tomkuttler/TVC-Flight,6,0,6.60552616517635e+26
tomkuttler/TVC-Flight,8,0,1.29451176899895e+37
tomkuttler/TVC-Flight,10,0,2.80436130098624e+47
tomkuttler/TVC-Flight,12,0,6.43473499127916e+57
AdamMarciniak/FCV1,0,1,3.22003705929215
AdamMarciniak/FCV1,2,0.833333333333333,4.50418069423936
AdamMarciniak/FCV1,4,0,42817712097821.1
AdamMarciniak/FCV1,6,0,1.80589979595342e+25
AdamMarciniak/FCV1,8,0,1.47913770489871e+36
AdamMarciniak/FCV1,10,0,8.19599648630683e+46
AdamMarciniak/FCV1,12,0,2.9648457865864e+57
PrajNasa/Dhumaketu,0,1,2.50133290552591
PrajNasa/Dhumaketu,2,1,2.8311758753346
PrajNasa/Dhumaketu,4,0.833333333333333,3397562.45144526
PrajNasa/Dhumaketu,6,0,4.78920300020761e+23
PrajNasa/Dhumaketu,8,0,6.11240389117869e+35
PrajNasa/Dhumaketu,10,0,5.14659623377691e+46
PrajNasa/Dhumaketu,12,0,2.39546415221762e+57
