firmware,p_unstable,shipped_success,best_tuned_success,best_Kp,best_Kd
tomkuttler/TVC-Flight,4,0,0,NaN,NaN
tomkuttler/TVC-Flight,6,0,0,NaN,NaN
tomkuttler/TVC-Flight,8,0,0,NaN,NaN
tomkuttler/TVC-Flight,10,0,0,NaN,NaN
AdamMarciniak/FCV1,4,0,0.666666666666667,1,10
AdamMarciniak/FCV1,6,0,0.666666666666667,10,10
AdamMarciniak/FCV1,8,0,0.333333333333333,10,30
AdamMarciniak/FCV1,10,0,0,NaN,NaN
PrajNasa/Dhumaketu,4,0.666666666666667,1,100,30
PrajNasa/Dhumaketu,6,0,0.666666666666667,3,10
PrajNasa/Dhumaketu,8,0,0.666666666666667,10,30
PrajNasa/Dhumaketu,10,0,0,NaN,NaN
