rocket_id,keff,latency,Pi,fsat_floor,frozen_floor,frozen_ceil,opt_Kd,Kp,Kd,sr,kd_mult
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,0.125,0.4666666666666667,0.125
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,0.25,0.7333333333333333,0.25
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,0.5,0.9333333333333333,0.5
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,0.707,1.0,0.707
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,1.0,0.8,1.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,1.414,0.6666666666666666,1.414
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,2.0,0.4666666666666667,2.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,4.0,0.3333333333333333,4.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.1,8.0,0.3333333333333333,8.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,0.125,0.5333333333333333,0.125
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,0.25,0.7333333333333333,0.25
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,0.5,1.0,0.5
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,0.707,1.0,0.707
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,1.0,0.8,1.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,1.414,0.6666666666666666,1.414
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,2.0,0.4,2.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,4.0,0.3333333333333333,4.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.25,8.0,0.26666666666666666,8.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,0.125,0.5333333333333333,0.125
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,0.25,0.7333333333333333,0.25
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,0.5,1.0,0.5
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,0.707,1.0,0.707
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,1.0,0.8,1.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,1.414,0.6,1.414
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,2.0,0.5333333333333333,2.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,4.0,0.4,4.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.24,8.0,0.3333333333333333,8.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,0.125,0.8666666666666667,0.125
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,0.25,1.0,0.25
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,0.5,1.0,0.5
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,0.707,1.0,0.707
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,1.0,0.9333333333333333,1.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,1.414,0.6666666666666666,1.414
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,2.0,0.5333333333333333,2.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,4.0,0.3333333333333333,4.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.48,8.0,0.26666666666666666,8.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,0.125,1.0,0.125
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,0.25,1.0,0.25
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,0.5,1.0,0.5
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,0.707,1.0,0.707
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,1.0,1.0,1.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,1.414,0.8,1.414
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,2.0,0.6,2.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,4.0,0.4666666666666667,4.0
R4987,4.95,3,44.5,0.03,0.24,335.25,1.0,0.96,8.0,0.5333333333333333,8.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,0.125,0.6,0.125
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,0.25,0.6666666666666666,0.25
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,0.5,0.6666666666666666,0.5
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,0.707,0.6666666666666666,0.707
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,1.0,0.5333333333333333,1.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,1.414,0.4,1.414
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,2.0,0.4,2.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,4.0,0.3333333333333333,4.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.357,8.0,0.3333333333333333,8.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,0.125,0.9333333333333333,0.125
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,0.25,0.9333333333333333,0.25
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,0.5,0.8666666666666667,0.5
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,0.707,0.8666666666666667,0.707
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,1.0,0.6,1.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,1.414,0.4,1.414
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,2.0,0.26666666666666666,2.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,4.0,0.4666666666666667,4.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,0.561,8.0,0.26666666666666666,8.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,0.125,0.9333333333333333,0.125
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,0.25,1.0,0.25
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,0.5,1.0,0.5
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,0.707,1.0,0.707
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,1.0,0.8,1.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,1.414,0.5333333333333333,1.414
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,2.0,0.4,2.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,4.0,0.26666666666666666,4.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.02,8.0,0.26666666666666666,8.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,0.125,0.9333333333333333,0.125
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,0.25,1.0,0.25
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,0.5,1.0,0.5
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,0.707,1.0,0.707
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,1.0,1.0,1.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,1.414,0.6666666666666666,1.414
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,2.0,0.4,2.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,4.0,0.2,4.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,1.6320000000000001,8.0,0.26666666666666666,8.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,0.125,1.0,0.125
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,0.25,1.0,0.25
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,0.5,1.0,0.5
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,0.707,1.0,0.707
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,1.0,1.0,1.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,1.414,1.0,1.414
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,2.0,0.6666666666666666,2.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,4.0,0.4,4.0
R8400,4.35,6,156.6,0.12,1.02,140.49,1.0,2.55,8.0,0.4666666666666667,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,0.125,0.7333333333333333,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,0.707,0.8,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,1.0,0.2,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,1.414,0.4666666666666667,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,2.0,0.13333333333333333,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,4.0,0.3333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.26599999999999996,8.0,0.2,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,0.125,1.0,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,0.707,0.8,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,1.0,0.4,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,1.414,0.4666666666666667,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,2.0,0.4,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,4.0,0.3333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.41800000000000004,8.0,0.26666666666666666,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,0.125,0.9333333333333333,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,0.707,1.0,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,1.0,0.5333333333333333,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,1.414,0.4,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,2.0,0.3333333333333333,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,4.0,0.13333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,0.76,8.0,0.2,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.125,1.0,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.25,1.0,0.25
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.5,1.0,0.5
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,0.707,1.0,0.707
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,1.0,0.8,1.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,1.414,0.4,1.414
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,2.0,0.2,2.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,4.0,0.3333333333333333,4.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.2160000000000002,8.0,0.26666666666666666,8.0
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.125,1.0,0.125
R0049,9.82,3,88.4,0.18,0.76,448.0,1.0,1.9,0.25,1.0,0.25
