rocket_id,regime,kp_full,sr_full,kp_no_wind,sr_no_wind,kp_no_noise,sr_no_noise,kp_no_slew,sr_no_slew,kp_no_w_n,sr_no_w_n,kp_simple,sr_simple
R0091,FRAGILE,40,1.0,40,1.0,5,1.0,5,1.0,5,1.0,80,1.0
R0146,FRAGILE,80,1.0,15,1.0,5,1.0,15,1.0,5,1.0,2,1.0
R0267,FRAGILE,15,1.0,15,1.0,5,1.0,80,1.0,2,1.0,2,1.0
R0373,FRAGILE,40,1.0,80,1.0,2,1.0,40,1.0,2,1.0,2,1.0
R0430,FRAGILE,80,1.0,80,1.0,5,1.0,80,1.0,2,1.0,80,1.0
R0491,FRAGILE,15,1.0,40,1.0,15,1.0,15,1.0,2,1.0,5,1.0
R0503,FRAGILE,40,1.0,15,1.0,15,1.0,40,1.0,5,1.0,40,1.0
R0504,FRAGILE,40,1.0,40,0.6666666666666666,2,1.0,15,1.0,5,1.0,80,1.0
R0523,FRAGILE,40,1.0,2,1.0,15,1.0,40,1.0,5,1.0,15,1.0
R0641,FRAGILE,40,1.0,15,1.0,15,1.0,15,1.0,2,1.0,2,1.0
R0671,FRAGILE,40,1.0,15,1.0,5,1.0,40,1.0,2,1.0,2,1.0
R0680,FRAGILE,15,1.0,15,1.0,5,1.0,15,1.0,2,1.0,80,1.0
R0688,FRAGILE,40,1.0,80,1.0,15,1.0,15,1.0,15,1.0,80,1.0
R0748,FRAGILE,15,1.0,15,1.0,5,1.0,80,1.0,2,1.0,5,1.0
R0759,FRAGILE,40,1.0,15,0.6666666666666666,5,1.0,40,1.0,5,1.0,80,1.0
R0866,FRAGILE,80,1.0,40,1.0,5,1.0,15,1.0,2,1.0,80,1.0
R0954,FRAGILE,15,1.0,40,1.0,5,1.0,15,1.0,5,1.0,80,1.0
R0958,FRAGILE,40,1.0,40,0.6666666666666666,15,1.0,80,1.0,5,1.0,40,1.0
R0982,FRAGILE,40,1.0,15,1.0,15,1.0,15,1.0,2,1.0,2,1.0
R1021,FRAGILE,5,1.0,40,1.0,5,1.0,15,1.0,15,1.0,15,1.0
R1070,FRAGILE,15,1.0,15,1.0,2,1.0,40,1.0,5,1.0,2,1.0
R1082,FRAGILE,80,1.0,80,1.0,15,1.0,15,1.0,2,1.0,2,1.0
R1094,FRAGILE,40,1.0,15,1.0,15,1.0,40,1.0,2,1.0,2,1.0
R1165,FRAGILE,2,1.0,5,1.0,15,1.0,15,1.0,5,1.0,80,1.0
R1171,FRAGILE,40,1.0,40,1.0,5,1.0,80,1.0,2,1.0,2,1.0
R0712,EASY,80,1.0,15,1.0,5,1.0,80,1.0,80,1.0,80,1.0
R1147,EASY,80,1.0,5,1.0,40,1.0,80,1.0,15,1.0,5,1.0
R0059,EASY,40,1.0,15,1.0,5,1.0,15,1.0,2,1.0,80,1.0
R0071,EASY,5,1.0,15,1.0,5,1.0,15,1.0,2,1.0,5,1.0
R1057,EASY,15,1.0,40,1.0,15,1.0,5,1.0,2,1.0,2,1.0
R0357,EASY,80,1.0,80,1.0,2,1.0,15,1.0,5,1.0,80,1.0
R0658,EASY,15,1.0,2,1.0,5,1.0,5,1.0,5,1.0,80,1.0
R0247,EASY,15,1.0,40,1.0,5,1.0,15,1.0,5,1.0,40,1.0
R0303,EASY,40,1.0,15,1.0,15,1.0,40,1.0,5,1.0,80,1.0
R0333,EASY,15,1.0,15,1.0,15,1.0,15,1.0,15,1.0,2,1.0
R0024,EASY,15,1.0,15,1.0,5,1.0,40,1.0,5,1.0,5,1.0
R0202,EASY,40,1.0,40,1.0,2,1.0,15,1.0,15,1.0,2,1.0
R0912,EASY,15,1.0,40,1.0,15,1.0,15,1.0,15,1.0,15,1.0
R0236,EASY,40,1.0,40,1.0,2,1.0,40,1.0,2,1.0,15,1.0
R0477,EASY,40,1.0,15,1.0,15,1.0,40,1.0,80,1.0,80,1.0
R0948,EASY,15,1.0,15,1.0,2,1.0,5,1.0,5,1.0,80,1.0
R0332,EASY,40,1.0,15,1.0,80,1.0,15,1.0,2,1.0,2,1.0
R0301,EASY,15,1.0,15,1.0,2,1.0,15,1.0,2,1.0,2,1.0
R0684,EASY,80,1.0,40,1.0,40,1.0,15,1.0,2,1.0,80,1.0
R0324,EASY,15,1.0,5,1.0,5,1.0,80,1.0,5,1.0,2,1.0
R1115,EASY,40,1.0,40,1.0,15,1.0,40,1.0,2,1.0,80,1.0
R0142,EASY,15,1.0,40,1.0,15,1.0,40,1.0,2,1.0,80,1.0
R0632,EASY,5,1.0,40,1.0,5,1.0,15,1.0,2,1.0,2,1.0
R0434,EASY,40,1.0,15,1.0,80,1.0,40,1.0,2,1.0,2,1.0
R0584,EASY,15,1.0,15,1.0,15,1.0,15,1.0,5,1.0,2,1.0
R0359,EASY,40,1.0,40,1.0,15,1.0,40,1.0,80,1.0,80,1.0
R1124,EASY,15,1.0,15,1.0,15,1.0,40,1.0,2,1.0,80,1.0
R0872,EASY,15,1.0,40,1.0,2,1.0,15,1.0,2,1.0,80,1.0
R0115,EASY,15,1.0,5,1.0,15,1.0,40,1.0,5,1.0,80,1.0
R0574,EASY,15,1.0,15,1.0,5,1.0,15,1.0,2,1.0,80,1.0
