rocket_id,lat,keff,Pi,DIPDT_ceil,probe_frac,Kp_probe,best_kd,sr,fsat,regime
R0048,3,25.861,232.8,126.7,0.125,15.83,0.57,1.0,0.4053,saturation
R0048,3,25.861,232.8,126.7,0.25,31.67,0.57,1.0,0.4045,saturation
R0048,3,25.861,232.8,126.7,0.5,63.33,0.57,1.0,0.4079,saturation
R0048,3,25.861,232.8,126.7,0.75,95.0,0.57,1.0,0.4039,saturation
R0200,4,9.159,146.5,95.0,0.125,11.88,0.57,1.0,0.0261,linear
R0200,4,9.159,146.5,95.0,0.25,23.75,0.57,1.0,0.0263,linear
R0200,4,9.159,146.5,95.0,0.5,47.5,0.57,1.0,0.0251,linear
R0200,4,9.159,146.5,95.0,0.75,71.25,0.57,1.0,0.0251,linear
R0207,5,22.899,572.5,76.0,0.125,9.5,0.475,0.9,0.5773,saturation
R0207,5,22.899,572.5,76.0,0.25,19.0,0.57,0.95,0.6276,saturation
R0207,5,22.899,572.5,76.0,0.5,38.0,0.57,0.8,0.6298,saturation
R0207,5,22.899,572.5,76.0,0.75,57.0,2.85,0.65,0.7999,saturation
R1119,4,11.061,177.0,95.0,0.125,11.88,0.57,1.0,0.0929,linear
R1119,4,11.061,177.0,95.0,0.25,23.75,0.57,1.0,0.0867,linear
R1119,4,11.061,177.0,95.0,0.5,47.5,0.57,1.0,0.0872,linear
R1119,4,11.061,177.0,95.0,0.75,71.25,0.57,1.0,0.0832,linear
R1513,6,24.076,866.7,63.3,0.125,7.92,0.396,1.0,0.5933,saturation
R1513,6,24.076,866.7,63.3,0.25,15.83,0.57,1.0,0.6836,saturation
R1513,6,24.076,866.7,63.3,0.5,31.67,0.57,0.8,0.684,saturation
R1513,6,24.076,866.7,63.3,0.75,47.5,0.57,0.65,0.6865,saturation
R1641,4,25.462,407.4,95.0,0.125,11.88,0.57,1.0,0.569,saturation
R1641,4,25.462,407.4,95.0,0.25,23.75,0.57,0.95,0.5663,saturation
R1641,4,25.462,407.4,95.0,0.5,47.5,0.57,0.9,0.5698,saturation
R1641,4,25.462,407.4,95.0,0.75,71.25,0.57,0.95,0.5678,saturation
R2058,4,17.187,275.0,95.0,0.125,11.88,0.57,1.0,0.4823,saturation
R2058,4,17.187,275.0,95.0,0.25,23.75,0.57,1.0,0.4837,saturation
R2058,4,17.187,275.0,95.0,0.5,47.5,0.57,1.0,0.4837,saturation
R2058,4,17.187,275.0,95.0,0.75,71.25,0.57,1.0,0.4793,saturation
R2069,5,18.167,454.2,76.0,0.125,9.5,0.475,1.0,0.2085,transitional
R2069,5,18.167,454.2,76.0,0.25,19.0,0.57,1.0,0.2372,transitional
R2069,5,18.167,454.2,76.0,0.5,38.0,0.57,1.0,0.2354,transitional
R2069,5,18.167,454.2,76.0,0.75,57.0,0.57,1.0,0.2321,transitional
R2072,6,33.474,1205.1,63.3,0.125,7.92,0.396,0.9,0.6567,saturation
R2072,6,33.474,1205.1,63.3,0.25,15.83,1.583,0.4,0.8257,saturation
R2072,6,33.474,1205.1,63.3,0.5,31.67,0.57,0.6,0.7287,saturation
R2072,6,33.474,1205.1,63.3,0.75,47.5,2.375,0.45,0.8412,saturation
R2229,2,26.117,104.5,190.0,0.125,23.75,0.57,1.0,0.0,linear
R2229,2,26.117,104.5,190.0,0.25,47.5,0.57,1.0,0.0,linear
R2229,2,26.117,104.5,190.0,0.5,95.0,0.57,1.0,0.0,linear
R2229,2,26.117,104.5,190.0,0.75,142.5,0.57,1.0,0.0,linear
