rocket_id,td,Iyy,wind,latency,Kp,sr
R0024,156.25481013841963,0.0051563210769216,0.05,1,1,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,2,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,5,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,270,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,1,320,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,1,0.4
R0024,156.25481013841963,0.0051563210769216,0.05,3,2,0.6
R0024,156.25481013841963,0.0051563210769216,0.05,3,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,5,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,3,270,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,3,320,0.4
R0024,156.25481013841963,0.0051563210769216,0.05,6,1,0.2
R0024,156.25481013841963,0.0051563210769216,0.05,6,2,0.0
R0024,156.25481013841963,0.0051563210769216,0.05,6,3,0.2
R0024,156.25481013841963,0.0051563210769216,0.05,6,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,6,8,0.2
R0024,156.25481013841963,0.0051563210769216,0.05,6,12,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,6,18,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,6,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.05,6,40,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,6,60,0.6
R0024,156.25481013841963,0.0051563210769216,0.05,6,90,0.8
R0024,156.25481013841963,0.0051563210769216,0.05,6,130,0.0
R0024,156.25481013841963,0.0051563210769216,0.05,6,190,0.0
R0024,156.25481013841963,0.0051563210769216,0.05,6,270,0.0
R0024,156.25481013841963,0.0051563210769216,0.05,6,320,0.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,1,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,1,2,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,5,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,270,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,1,320,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,1,0.4
R0024,156.25481013841963,0.0051563210769216,0.12,3,2,0.4
R0024,156.25481013841963,0.0051563210769216,0.12,3,3,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,3,8,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,12,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,18,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,40,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,60,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,90,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,130,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,190,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,3,270,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,3,320,0.6
R0024,156.25481013841963,0.0051563210769216,0.12,6,1,0.0
R0024,156.25481013841963,0.0051563210769216,0.12,6,2,0.2
R0024,156.25481013841963,0.0051563210769216,0.12,6,3,0.2
R0024,156.25481013841963,0.0051563210769216,0.12,6,5,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,6,8,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,6,12,0.6
R0024,156.25481013841963,0.0051563210769216,0.12,6,18,0.8
R0024,156.25481013841963,0.0051563210769216,0.12,6,27,1.0
R0024,156.25481013841963,0.0051563210769216,0.12,6,40,1.0
