rocket_id,regime_label,Kp_sweep,Kd,best_Kp_exp1,sr,rms_deg,peak_deg,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s
R0091,FRAGILE,1,1.0,40.0,0.2,13.460996246705577,25.444464996177295,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,2,1.0,40.0,0.4,13.459710601324767,24.88268124741732,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,3,1.0,40.0,0.8,9.590635595979226,17.407876750054285,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,5,1.0,40.0,1.0,8.110139150126459,15.307980741545544,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,8,1.0,40.0,0.8,7.042817247118208,14.327929203011243,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,12,1.0,40.0,0.8,6.020405443429857,11.369667395469246,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,20,1.0,40.0,1.0,4.8493733920992685,10.868314512977792,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,30,1.0,40.0,0.8,3.946467307721645,9.356911006745452,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,40,1.0,40.0,1.0,3.228294930251196,7.741190526463764,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,60,1.0,40.0,1.0,3.0852592257811127,8.100937538445587,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,80,1.0,40.0,0.8,3.2623312127662083,8.749262238091308,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,120,1.0,40.0,0.8,5.154102216305359,16.035819730360107,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,160,1.0,40.0,0.4,12.838565717000055,44.685452563956844,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,240,1.0,40.0,0.0,57.64007477531017,187.27423442937967,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
R0091,FRAGILE,320,1.0,40.0,0.0,169.66098365487744,534.2802928173649,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759
