rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.05,1,2,320,160.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.05,3,8,190,23.75,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.05,6,12,18,1.5,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.12,1,2,320,160.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.12,3,3,270,90.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.12,6,5,40,8.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,1,2,320,160.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,3,5,270,54.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.22,6,12,40,3.3333333333333335,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,1,2,320,160.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,3,5,190,38.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.32,6,5,27,5.4,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,1,2,320,160.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,3,5,190,38.0,False
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,8,27,3.375,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,1,320,320.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,3,130,43.333333333333336,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,1,320,320.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,3,130,43.333333333333336,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,1,320,320.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,3,130,43.333333333333336,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,6,3,190,63.333333333333336,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.42,1,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.42,3,2,320,160.0,False
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.42,6,3,190,63.333333333333336,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.05,1,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.05,3,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.05,6,2,90,45.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.12,1,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.12,3,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.12,6,2,90,45.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.22,1,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.22,3,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.22,6,2,60,30.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.32,1,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.32,3,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.32,6,5,60,12.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.42,1,2,320,160.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.42,3,1,320,320.0,False
R0728,EASY,97.65740686673432,9.378674994338272,0.0079703986380995,168.58,2,0.2052231926742617,0.42,6,8,60,7.5,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.05,1,8,320,40.0,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.05,3,2,320,160.0,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.05,6,27,190,7.037037037037037,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.12,1,12,320,26.666666666666668,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.12,3,8,320,40.0,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.12,6,12,270,22.5,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,1,12,320,26.666666666666668,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,3,12,320,26.666666666666668,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.22,6,8,270,33.75,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,1,12,320,26.666666666666668,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,3,8,320,40.0,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.32,6,18,320,17.77777777777778,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,1,18,320,17.77777777777778,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,3,5,320,64.0,False
R0800,FRAGILE,36.13163509162807,8.20944537910379,0.0148495861330134,213.33,6,0.3922001346604206,0.42,6,18,130,7.222222222222222,False
R1383,EASY,66.77175176142748,6.216564420983854,0.0230062106939767,50.74,2,0.1517911240108468,0.05,1,1,270,270.0,False
