system,K_rudder,T_yaw,latency_steps,keff,Pi,k_damp,d_sigma,tau_ou,u_max,slew_max,design_idx,Kp_probe,best_kd,sr,fsat,regime
marine,0.46296568425577994,34.047615057464995,3,0.0136,0.12,0.029370632812671806,0.03018650671093638,2.0,1.0,inf,0,63.333,0.01,1.0,0.7353,saturation
marine,0.07985934012967395,28.904773890951603,5,0.0028,0.07,0.034596361271417575,0.021374627282253467,2.0,1.0,inf,1,38.0,0.01,1.0,0.7728,saturation
marine,0.1943567059212295,17.568569298549157,3,0.0111,0.1,0.05691983126267326,0.01988967485136326,2.0,1.0,inf,2,63.333,0.01,1.0,0.5862,saturation
marine,0.05299473671278261,38.28828628764931,3,0.0014,0.01,0.02611764842352244,0.0342465475758146,2.0,1.0,inf,3,63.333,0.01,1.0,0.9007,saturation
marine,0.3738829499179773,38.774034055762314,2,0.0096,0.04,0.025790455503336706,0.022494694526648266,2.0,1.0,inf,4,95.0,0.01,1.0,0.7299,saturation
marine,0.15281524390175888,33.41759686472423,6,0.0046,0.16,0.02992435404760073,0.01728644776946818,2.0,1.0,inf,5,31.667,0.01,1.0,0.4362,saturation
marine,0.22004587327715813,21.85061599587775,5,0.0101,0.25,0.045765300172254,0.010861323709062912,2.0,1.0,inf,6,38.0,0.01,1.0,0.4884,saturation
marine,0.457378173143229,11.692150685293576,4,0.0391,0.63,0.08552746427206101,0.03838431156848464,2.0,1.0,inf,7,47.5,0.01,1.0,0.4832,saturation
marine,0.06654455848344237,31.325704045328152,1,0.0021,0.0,0.03192266640050626,0.019732483742540177,2.0,1.0,inf,8,190.0,0.01,1.0,0.963,saturation
marine,0.37869007412520284,13.14374211593447,3,0.0288,0.26,0.07608183355847162,0.014806280924184168,2.0,1.0,inf,9,63.333,0.01,1.0,0.5973,saturation
marine,0.13821592003077743,37.49973152072396,4,0.0037,0.06,0.02666685758662984,0.03757100838454338,2.0,1.0,inf,10,47.5,0.01,1.0,0.6113,saturation
marine,0.42739844474521616,7.242531303293912,4,0.059,0.94,0.13807327274446143,0.03648606529476012,2.0,1.0,inf,11,47.5,0.01,1.0,0.5335,saturation
marine,0.18526337614184174,31.90689025511526,1,0.0058,0.01,0.03134119282714121,0.038932968691951966,2.0,1.0,inf,12,190.0,0.01,1.0,0.9338,saturation
marine,0.26183725417038106,8.77573667228234,5,0.0298,0.75,0.11395054766837324,0.009496857824614832,2.0,1.0,inf,13,38.0,0.01,1.0,0.357,saturation
marine,0.20528483596046804,10.702259277800371,5,0.0192,0.48,0.09343821468372512,0.02584098570441577,2.0,1.0,inf,14,38.0,0.01,1.0,0.4993,saturation
marine,0.21126261762292564,6.324346763901067,2,0.0334,0.13,0.15811909709124913,0.008313473549063366,2.0,1.0,inf,15,95.0,0.01,1.0,0.6906,saturation
marine,0.20834093447706908,10.324682344835427,2,0.0202,0.08,0.09685528005616717,0.029445818712308718,2.0,1.0,inf,16,95.0,0.01,1.0,0.8518,saturation
marine,0.1619964706725495,14.55481706044882,5,0.0111,0.28,0.06870577595354287,0.021679417046634928,2.0,1.0,inf,17,38.0,0.01,1.0,0.5252,saturation
marine,0.23610417560192898,27.378943472712454,4,0.0086,0.14,0.03652441888404721,0.02405889808921005,2.0,1.0,inf,18,47.5,0.01,1.0,0.6372,saturation
marine,0.38320951659918495,29.733774323008426,6,0.0129,0.46,0.033631788185941314,0.024750835740232312,2.0,1.0,inf,19,31.667,0.01,1.0,0.3977,saturation
marine,0.4837941297877585,26.11425068709183,6,0.0185,0.67,0.03829326799310753,0.013265168007747307,2.0,1.0,inf,20,31.667,0.01,1.0,0.2762,transitional
marine,0.3190467992611323,28.613682145650273,6,0.0112,0.4,0.0349483158060458,0.029802224424276776,2.0,1.0,inf,21,31.667,0.01,1.0,0.5528,saturation
marine,0.2429489762220126,38.64167843093389,5,0.0063,0.16,0.025878793070216857,0.013331789652263743,2.0,1.0,inf,22,38.0,0.01,1.0,0.4026,saturation
marine,0.10134326973315355,17.31714413203464,5,0.0059,0.15,0.05774624224268711,0.0070913437070687525,2.0,1.0,inf,23,38.0,0.01,1.0,0.673,saturation
marine,0.08798767373901478,26.4961598146998,4,0.0033,0.05,0.03774131825115314,0.02851456407538919,2.0,1.0,inf,24,47.5,0.01,1.0,0.734,saturation
marine,0.4803939779159695,17.022551529986487,4,0.0282,0.45,0.058745599814365425,0.026712174690729687,2.0,1.0,inf,25,47.5,0.01,1.0,0.6453,saturation
marine,0.19690717564003446,37.733154581382045,1,0.0052,0.01,0.026501892330343644,0.008636416721472528,2.0,1.0,inf,26,190.0,0.01,1.0,0.9517,saturation
marine,0.4559424445510583,7.513768098827542,6,0.0607,2.18,0.13308901563731268,0.026656530611800514,2.0,1.0,inf,27,31.667,0.01,1.0,0.4202,saturation
marine,0.3751000201642175,35.37971292280382,3,0.0106,0.1,0.028264785590033856,0.010186647767857288,2.0,1.0,inf,28,63.333,0.01,1.0,0.5608,saturation
marine,0.484108491725177,30.081382922834514,4,0.0161,0.26,0.03324315250283619,0.03927706181466363,2.0,1.0,inf,29,47.5,0.01,1.0,0.5408,saturation
