system,lat,keff,Pi,g_over_l,d_sigma,d_tau,design_idx,best_sr,best_Kp,best_lg,sr_list
pendulum,2,131.1495,524.6,23.061,0.23495480018043607,0.5,0,1.0,0.3812,100.0,"[1.0, 1.0, 1.0, 0.6, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,2,36.3889,145.56,13.988,0.1800848411786911,0.5,1,1.0,1.374,100.0,"[1.0, 1.0, 0.8666666666666667, 0.5333333333333333, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,3,780.4079,7023.67,53.012,0.4107681264071221,0.5,2,1.0,0.0987,231.0,"[0.0, 0.06666666666666667, 1.0, 1.0, 0.5333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,5,40.3355,1008.39,21.267,0.39265906140394413,0.5,3,1.0,0.7536,152.0,"[0.2, 1.0, 1.0, 0.4666666666666667, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,6,28.4726,1025.01,14.627,0.34072923834986035,0.5,4,1.0,0.8897,152.0,"[0.7333333333333333, 1.0, 0.9333333333333333, 0.6666666666666666, 0.26666666666666666, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,4,522.938,8367.01,52.48,0.4261890076251136,0.5,5,0.8,0.1104,231.0,"[0.0, 0.0, 0.8, 0.6, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,5,255.3785,6384.46,21.423,0.46038700973102087,0.5,6,1.0,0.119,152.0,"[0.2, 1.0, 1.0, 0.6666666666666666, 0.4666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,2,23.8338,95.34,13.604,0.30470990058902947,0.5,7,1.0,2.0979,100.0,"[1.0, 1.0, 1.0, 0.8, 0.5333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,6,36.3438,1308.38,19.95,0.4236989564667655,0.5,8,0.8,0.697,152.0,"[0.0, 0.8, 0.7333333333333333, 0.4, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,5,271.4356,6785.89,56.96,0.22002184504448188,0.5,9,0.5333,0.2587,351.1,"[0.0, 0.0, 0.0, 0.5333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,4,38.5742,617.19,18.563,0.11386317369011004,0.5,10,1.0,0.6481,100.0,"[1.0, 1.0, 1.0, 0.6, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,4,61.4298,982.88,30.739,0.23962742831917608,0.5,11,1.0,0.6186,152.0,"[0.0, 1.0, 0.8, 0.4666666666666667, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,1,73.9425,73.94,27.515,0.32525887873206916,0.5,12,1.0,1.3524,100.0,"[1.0, 1.0, 1.0, 0.6, 0.26666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
pendulum,6,38.0816,1370.94,20.314,0.49860363554708176,0.5,13,0.8,1.011,231.0,"[0.0, 0.6, 0.8, 0.4, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
