system,lat,keff,Pi,d_sigma,d_tau,design_idx,best_sr,best_Kp,best_lg,sr_list
quad,5,6.8829,172.07,0.055379380437503824,0.3,0,1.0,2.9058,100.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]"
quad,6,75.132,2704.75,0.7278497903121851,0.3,1,1.0,0.2218,100.0,"[1.0, 1.0, 0.8666666666666667, 0.6666666666666666, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,3,2.3296,20.97,0.02766329172405122,0.3,2,1.0,14.3086,100.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
quad,5,16.1019,402.55,0.42063722582057467,0.3,3,1.0,1.2421,100.0,"[1.0, 1.0, 1.0, 0.7333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,5,7.7268,193.17,0.18028550759905274,0.3,4,1.0,2.5884,100.0,"[1.0, 1.0, 1.0, 1.0, 0.8, 0.9333333333333333, 0.7333333333333333, 0.5333333333333333, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6]"
quad,6,25.7819,928.15,0.34824413569212165,0.3,5,1.0,0.6464,100.0,"[1.0, 1.0, 1.0, 0.6666666666666666, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,3,4.0665,36.6,0.05919392842538649,0.3,6,1.0,8.1971,100.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
quad,3,4.4888,40.4,0.040784023932732394,0.3,7,1.0,7.4259,100.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
quad,5,7.5659,189.15,0.08182845799253537,0.3,8,1.0,2.6434,100.0,"[1.0, 1.0, 1.0, 1.0, 0.8666666666666667, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5333333333333333, 0.4666666666666667, 0.5333333333333333, 0.4666666666666667]"
quad,5,21.7039,542.6,0.37865297994229224,0.3,9,1.0,0.9215,100.0,"[1.0, 1.0, 1.0, 0.8666666666666667, 0.3333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,3,19.6345,176.71,0.2971594975729159,0.3,10,1.0,1.6977,100.0,"[1.0, 1.0, 1.0, 1.0, 0.7333333333333333, 0.26666666666666666, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,5,8.8874,222.18,0.07691632994125265,0.3,11,1.0,2.2504,100.0,"[1.0, 1.0, 1.0, 1.0, 0.7333333333333333, 0.7333333333333333, 0.4666666666666667, 0.13333333333333333, 0.26666666666666666, 0.06666666666666667, 0.13333333333333333, 0.0]"
quad,4,12.9143,206.63,0.3547503460929917,0.3,12,1.0,1.9358,100.0,"[1.0, 1.0, 1.0, 1.0, 0.6, 0.4, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,3,14.1924,127.73,0.16966869739292612,0.3,13,1.0,2.3487,100.0,"[1.0, 1.0, 1.0, 1.0, 0.8, 0.4666666666666667, 0.4, 0.2, 0.0, 0.06666666666666667, 0.06666666666666667, 0.0]"
quad,2,18.4825,73.93,0.4877615531884733,0.3,14,1.0,2.7053,100.0,"[1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.4666666666666667, 0.5333333333333333, 0.4, 0.5333333333333333, 0.4666666666666667]"
quad,4,79.3251,1269.2,1.4669921196554208,0.3,15,1.0,0.7281,231.0,"[0.9333333333333333, 0.9333333333333333, 1.0, 0.8, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,6,147.2689,5301.68,1.34637245797386,0.3,16,0.9333,0.1132,100.0,"[0.9333333333333333, 0.8666666666666667, 0.8666666666666667, 0.6, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,4,51.3228,821.16,1.0668180475916322,0.3,17,1.0,0.4871,100.0,"[1.0, 1.0, 1.0, 0.7333333333333333, 0.26666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,1,26.5427,26.54,0.7236300582007269,0.3,18,1.0,3.7675,100.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
quad,4,42.9599,687.36,1.0396384578254487,0.3,19,1.0,0.5819,100.0,"[1.0, 1.0, 1.0, 0.9333333333333333, 0.26666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,5,12.0084,300.21,0.08376265547736107,0.3,20,1.0,1.6655,100.0,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,5,297.2402,7431.01,4.072664790816576,0.3,21,0.4667,0.1554,231.0,"[0.2, 0.3333333333333333, 0.4666666666666667, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,3,70.168,631.51,1.0941836001172862,0.3,22,1.0,0.4751,100.0,"[1.0, 1.0, 1.0, 0.5333333333333333, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,2,113.5981,454.39,1.1244789407453328,0.3,23,1.0,0.4401,100.0,"[1.0, 1.0, 1.0, 0.7333333333333333, 0.4, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
quad,4,19.335,309.36,0.271078521857709,0.3,24,1.0,1.293,100.0,"[1.0, 1.0, 1.0, 0.9333333333333333, 0.4666666666666667, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
