system,arm,F_max,Ixx,latency_steps,gust_strength,keff,Pi,d_sigma,tau_ou,u_max,slew_max,design_idx,Kp_probe,best_kd,sr,fsat,regime,l_pend,m_bob,I_body,tau_max,g_over_l,K_rudder,T_yaw,k_damp
quad,0.14188923928549266,0.33454102920472933,0.0017452097419908585,5,0.076669521993735,27.1989,679.97,0.16682608687293665,0.3,1.0,inf,0,38.0,1.0,1.0,0.8615,saturation,,,,,,,,
quad,0.08016353666681363,1.686222198620747,0.0010589284281115022,6,0.10327154157860491,127.6512,4595.44,1.0546192905508083,0.3,1.0,inf,1,31.667,2.0,1.0,0.9177,saturation,,,,,,,,
quad,0.07703675111190636,0.5902424536395819,0.007877700742911959,3,0.13871377015919162,5.772,51.95,0.0640528541024226,0.3,1.0,inf,2,63.333,0.01,1.0,0.8492,saturation,,,,,,,,
quad,0.12359314756842485,0.7643820166946989,0.0030757379772772746,5,0.36959385317462373,30.7154,767.88,0.9081764695052225,0.3,1.0,inf,3,38.0,1.0,1.0,0.8825,saturation,,,,,,,,
quad,0.05941500522902794,0.7426088031455822,0.0023486391667813635,5,0.3243676868032325,18.7862,469.66,0.4874920128126821,0.3,1.0,inf,4,38.0,1.0,1.0,0.7592,saturation,,,,,,,,
quad,0.06627862317631783,2.2563282050788014,0.0032262951293567845,6,0.16516446653472494,46.3523,1668.68,0.6124607528774947,0.3,1.0,inf,5,31.667,2.0,1.0,0.8085,saturation,,,,,,,,
quad,0.06064272278099845,1.1154301525668733,0.007828958659934918,3,0.18216341970898947,8.6401,77.76,0.12591232123102097,0.3,1.0,inf,6,63.333,0.01,1.0,0.9019,saturation,,,,,,,,
quad,0.10833048096566658,0.39974390778333013,0.0030580988789567815,3,0.09351841959597441,14.1606,127.45,0.10594199511353161,0.3,1.0,inf,7,63.333,0.1,0.6,0.8994,saturation,,,,,,,,
quad,0.06304360596786503,0.89635931082849,0.003380814636754212,5,0.12154654784578778,16.7148,417.87,0.1625303369124359,0.3,1.0,inf,8,38.0,1.0,1.0,0.7923,saturation,,,,,,,,
quad,0.17402056597462445,0.806972984824686,0.0036535352738943875,5,0.22899129512462535,38.4367,960.92,0.7041338592772988,0.3,1.0,inf,9,38.0,1.0,1.0,0.8858,saturation,,,,,,,,
quad,0.17049179636442455,1.1658860645140199,0.006350394538523623,3,0.19153234857901696,31.301,281.71,0.479613071523498,0.3,1.0,inf,10,63.333,1.0,1.0,0.8405,saturation,,,,,,,,
quad,0.14363057562950698,0.5207649639290334,0.0036450164822690724,5,0.0865323172919025,20.5206,513.01,0.14205531373226607,0.3,1.0,inf,11,38.0,1.0,1.0,0.8048,saturation,,,,,,,,
quad,0.07360074477356215,1.7310893741908677,0.0055072461711237605,4,0.3914045618226872,23.1349,370.16,0.724407736801566,0.3,1.0,inf,12,47.5,1.0,1.0,0.8104,saturation,,,,,,,,
quad,0.1617198202966899,0.35359417677283533,0.0011655979292489649,3,0.1400103778638503,49.0591,441.53,0.5495026633121981,0.3,1.0,inf,13,63.333,1.0,1.0,0.9187,saturation,,,,,,,,
quad,0.13038765893320312,1.0917168886106163,0.004568432498338377,2,0.37391921514707777,31.1587,124.63,0.9320668771656153,0.3,1.0,inf,14,95.0,0.57,1.0,0.9453,saturation,,,,,,,,
quad,0.14886525757142977,2.102779958649594,0.002704889736759156,4,0.24595824218308943,115.7278,1851.64,2.2771360765493784,0.3,1.0,inf,15,47.5,2.0,1.0,0.8983,saturation,,,,,,,,
quad,0.194511827147332,1.8941893215418062,0.0017660988605247047,6,0.09443494325730008,208.6193,7510.29,1.5760757893587345,0.3,1.0,inf,16,31.667,2.0,1.0,0.9458,saturation,,,,,,,,
quad,0.10728445846040391,1.7590555712871327,0.0023186076940951224,4,0.283113642879304,81.3934,1302.29,1.8434861762743502,0.3,1.0,inf,17,47.5,2.0,1.0,0.8544,saturation,,,,,,,,
quad,0.09928210836742768,1.7226905123115899,0.0039510963391705956,1,0.38805629390419544,43.2873,43.29,1.343833157754096,0.3,1.0,inf,18,190.0,0.32,1.0,0.9761,saturation,,,,,,,,
quad,0.1667190191781257,1.4011166496783223,0.003551706131233062,4,0.3384293953440201,65.7692,1052.31,1.7806578578264223,0.3,1.0,inf,19,47.5,1.0,1.0,0.9357,saturation,,,,,,,,
quad,0.06513182446378604,1.9163524171368425,0.00559941384145729,5,0.05932224700548932,22.2908,557.27,0.1057873251102889,0.3,1.0,inf,20,38.0,1.0,1.0,0.7817,saturation,,,,,,,,
quad,0.08983215990085258,2.0570327095155965,0.0004112676696053826,5,0.16831287183733357,449.3125,11232.81,6.050005735639627,0.3,1.0,inf,21,38.0,2.0,1.0,0.9654,saturation,,,,,,,,
quad,0.13214803928747865,0.7607209117988079,0.0007848905669303797,3,0.19897300250947525,128.0787,1152.71,2.0387365531907298,0.3,1.0,inf,22,63.333,2.0,1.0,0.8867,saturation,,,,,,,,
quad,0.09646129514538437,2.1433726584407986,0.0011648162635380663,2,0.1066926252196862,177.498,709.99,1.5150178076981584,0.3,1.0,inf,23,95.0,2.0,1.0,0.9046,saturation,,,,,,,,
quad,0.05410846958222745,1.8506999015729602,0.00254519487880016,4,0.17347385097908086,39.3442,629.51,0.5460145529508628,0.3,1.0,inf,24,47.5,1.0,1.0,0.8989,saturation,,,,,,,,
quad,0.06331656876385328,0.4709585138058153,0.003251789670057407,3,0.21598837061427356,9.1702,82.53,0.15845207544521653,0.3,1.0,inf,25,63.333,0.01,1.0,0.9165,saturation,,,,,,,,
