rocket_id,alpha,alpha_ref,lat,keff,Pi,Kp_probe,best_kd,sr,fsat,regime
R1513,1.0,0.1429,6,24.076,866.7,31.67,0.57,0.65,0.7932,saturation
R1513,0.7,0.1429,6,24.076,866.7,31.67,0.57,0.55,0.8117,saturation
R1513,0.5,0.1429,6,24.076,866.7,31.67,0.57,0.6,0.8197,saturation
R1513,0.35,0.1429,6,24.076,866.7,31.67,0.57,0.65,0.8305,saturation
R1513,0.25,0.1429,6,24.076,866.7,31.67,0.57,0.9,0.8345,saturation
R1513,0.18,0.1429,6,24.076,866.7,31.67,0.57,1.0,0.8359,saturation
R1513,0.12,0.1429,6,24.076,866.7,31.67,0.57,1.0,0.8311,saturation
R1513,0.08,0.1429,6,24.076,866.7,31.67,0.57,1.0,0.8228,saturation
R1513,0.05,0.1429,6,24.076,866.7,31.67,0.57,0.0,0.7068,saturation
R1641,1.0,0.2,4,25.462,407.4,47.5,0.57,0.9,0.7117,saturation
R1641,0.7,0.2,4,25.462,407.4,47.5,0.57,1.0,0.7468,saturation
R1641,0.5,0.2,4,25.462,407.4,47.5,0.57,1.0,0.7676,saturation
R1641,0.35,0.2,4,25.462,407.4,47.5,0.57,1.0,0.7883,saturation
R1641,0.25,0.2,4,25.462,407.4,47.5,0.57,1.0,0.789,saturation
R1641,0.18,0.2,4,25.462,407.4,47.5,0.57,1.0,0.7955,saturation
R1641,0.12,0.2,4,25.462,407.4,47.5,0.57,1.0,0.7944,saturation
R1641,0.08,0.2,4,25.462,407.4,47.5,0.57,1.0,0.744,saturation
R1641,0.05,0.2,4,25.462,407.4,47.5,0.57,0.7,0.5867,saturation
R2058,1.0,0.2,4,17.187,275.0,47.5,0.57,1.0,0.6818,saturation
R2058,0.7,0.2,4,17.187,275.0,47.5,0.57,1.0,0.7081,saturation
R2058,0.5,0.2,4,17.187,275.0,47.5,0.57,1.0,0.7223,saturation
R2058,0.35,0.2,4,17.187,275.0,47.5,0.57,1.0,0.7234,saturation
R2058,0.25,0.2,4,17.187,275.0,47.5,0.57,1.0,0.7161,saturation
R2058,0.18,0.2,4,17.187,275.0,47.5,0.57,1.0,0.6994,saturation
R2058,0.12,0.2,4,17.187,275.0,47.5,0.57,1.0,0.6562,saturation
R2058,0.08,0.2,4,17.187,275.0,47.5,0.57,1.0,0.5767,saturation
R2058,0.05,0.2,4,17.187,275.0,47.5,4.75,0.8,0.9488,saturation
R2072,1.0,0.1429,6,33.474,1205.1,31.67,3.167,0.05,0.8839,saturation
R2072,0.7,0.1429,6,33.474,1205.1,31.67,0.57,0.35,0.8261,saturation
R2072,0.5,0.1429,6,33.474,1205.1,31.67,0.57,0.45,0.8357,saturation
R2072,0.35,0.1429,6,33.474,1205.1,31.67,0.57,0.6,0.8417,saturation
R2072,0.25,0.1429,6,33.474,1205.1,31.67,0.57,0.65,0.8453,saturation
R2072,0.18,0.1429,6,33.474,1205.1,31.67,0.57,1.0,0.8517,saturation
R2072,0.12,0.1429,6,33.474,1205.1,31.67,0.57,0.95,0.8567,saturation
R2072,0.08,0.1429,6,33.474,1205.1,31.67,0.57,0.0,0.8256,saturation
R2072,0.05,0.1429,6,33.474,1205.1,31.67,0.57,0.0,0.6716,saturation
