u_max,R=0.1,R=0.25,R=0.5,R=1,R=2,R=4,R=8,R=16,R=32,R=64
2.0000,0.4688,0.5000,0.5000,0.5000,0.5000,0.5000,0.4688,0.5000,0.4688,0.5000
3.0000,0.7188,0.7188,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500
4.0000,0.2812,0.7812,0.9062,0.8750,0.8125,0.8125,0.8750,0.8750,0.8438,0.7812
5.0000,0.2812,0.5000,0.6562,0.9375,0.9688,1.0000,1.0000,0.9688,1.0000,1.0000
6.0000,0.2500,0.4688,0.5938,0.7500,0.8438,1.0000,1.0000,1.0000,1.0000,1.0000
7.0000,0.2500,0.4688,0.5625,0.7500,0.7812,1.0000,1.0000,1.0000,1.0000,1.0000
8.0000,0.2500,0.5000,0.5312,0.7500,0.7500,1.0000,0.9688,1.0000,1.0000,1.0000
9.0000,0.2500,0.5000,0.5312,0.7500,0.7500,0.9062,1.0000,1.0000,1.0000,1.0000
10.0000,0.2500,0.5000,0.5938,0.7500,0.7500,0.9062,1.0000,1.0000,1.0000,1.0000
11.0000,0.2500,0.5000,0.5000,0.7500,0.7500,0.9062,1.0000,1.0000,1.0000,1.0000
12.0000,0.2500,0.5000,0.5312,0.7500,0.7500,0.8750,1.0000,1.0000,1.0000,1.0000
