design,p,slew,u_opt,peak_success,success_at_u12,drop
aggressive,8,25,2.000,0.750,0.500,-0.250
aggressive,8,45,3.000,1.000,0.750,-0.250
aggressive,8,80,3.000,1.000,1.000,0.000
aggressive,10,25,2.000,0.458,0.250,-0.208
aggressive,10,45,4.500,0.917,0.521,-0.396
aggressive,10,80,4.500,1.000,1.000,0.000
aggressive,12,25,2.500,0.271,0.250,-0.021
aggressive,12,45,4.000,0.521,0.479,-0.042
aggressive,12,80,6.500,1.000,0.750,-0.250
gentle,8,25,3.000,1.000,1.000,0.000
gentle,8,45,2.500,1.000,1.000,0.000
gentle,8,80,2.500,1.000,1.000,0.000
gentle,10,25,3.500,0.646,0.542,-0.104
gentle,10,45,5.000,1.000,1.000,0.000
gentle,10,80,4.500,1.000,1.000,0.000
gentle,12,25,3.000,0.333,0.250,-0.083
gentle,12,45,5.000,0.750,0.583,-0.167
gentle,12,80,7.000,1.000,1.000,0.000
