slew,u_max,success_rate
20.000,2.000,0.2625
20.000,2.500,0.2000
20.000,3.000,0.1875
20.000,3.500,0.1875
20.000,4.000,0.1875
20.000,4.500,0.1875
20.000,5.000,0.1875
20.000,5.500,0.1875
20.000,6.000,0.1875
20.000,6.500,0.1875
20.000,7.000,0.1875
20.000,7.500,0.1875
20.000,8.000,0.1875
20.000,8.500,0.1875
20.000,9.000,0.1875
20.000,9.500,0.1875
20.000,10.000,0.1875
20.000,10.500,0.1875
20.000,11.000,0.1875
20.000,11.500,0.1875
20.000,12.000,0.1875
35.000,2.000,0.3875
35.000,2.500,0.4250
35.000,3.000,0.5500
35.000,3.500,0.5125
35.000,4.000,0.4500
35.000,4.500,0.4000
35.000,5.000,0.4000
35.000,5.500,0.4000
35.000,6.000,0.4000
35.000,6.500,0.4000
35.000,7.000,0.4000
35.000,7.500,0.4000
35.000,8.000,0.4000
35.000,8.500,0.4000
35.000,9.000,0.4000
35.000,9.500,0.4000
35.000,10.000,0.4000
35.000,10.500,0.4000
35.000,11.000,0.4000
35.000,11.500,0.4000
35.000,12.000,0.4000
50.000,2.000,0.4000
50.000,2.500,0.4375
50.000,3.000,0.5750
50.000,3.500,0.6125
50.000,4.000,0.7500
50.000,4.500,0.7750
50.000,5.000,0.7250
50.000,5.500,0.6125
50.000,6.000,0.5750
50.000,6.500,0.5750
50.000,7.000,0.5750
50.000,7.500,0.5750
50.000,8.000,0.5750
50.000,8.500,0.5750
50.000,9.000,0.5750
50.000,9.500,0.5750
50.000,10.000,0.5750
50.000,10.500,0.5750
50.000,11.000,0.5750
50.000,11.500,0.5750
50.000,12.000,0.5750
80.000,2.000,0.4000
80.000,2.500,0.4375
80.000,3.000,0.5750
80.000,3.500,0.6375
80.000,4.000,0.7875
80.000,4.500,0.8000
80.000,5.000,0.8500
80.000,5.500,1.0000
80.000,6.000,1.0000
80.000,6.500,1.0000
80.000,7.000,1.0000
80.000,7.500,1.0000
80.000,8.000,1.0000
80.000,8.500,0.9750
80.000,9.000,0.8250
80.000,9.500,0.8000
80.000,10.000,0.8000
80.000,10.500,0.8000
80.000,11.000,0.8000
80.000,11.500,0.8000
80.000,12.000,0.8000
