p0,u_max,success_no_drift,success_max_drift,delta,med_t_first_fail_s
4,3.000,1.0000,0.9583,-0.0417,2.6850
4,4.500,1.0000,1.0000,0.0000,NaN
4,6.000,1.0000,1.0000,0.0000,NaN
4,8.000,1.0000,1.0000,0.0000,NaN
4,12.000,1.0000,1.0000,0.0000,NaN
6,3.000,1.0000,1.0000,0.0000,NaN
6,4.500,1.0000,1.0000,0.0000,NaN
6,6.000,1.0000,1.0000,0.0000,NaN
6,8.000,1.0000,1.0000,0.0000,NaN
6,12.000,1.0000,1.0000,0.0000,NaN
8,3.000,1.0000,1.0000,0.0000,NaN
8,4.500,0.8333,0.9583,0.1250,0.7300
8,6.000,0.7917,0.9167,0.1250,0.9575
8,8.000,0.7917,0.9167,0.1250,0.9875
8,12.000,0.7917,0.9167,0.1250,0.9350
